Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,,,,,,,,
Adrian Peterson,WAS,,942.1,5.1,,204.6,0.8,2,145.8
Alex Collins,BAL,,1106.5,7.8,,297.4,1.1,1.7,190.9
Alfred Blue,HOU,,486.3,3.3,,178.5,0.8,1,89.1
Alfred Morris,SF,,903.4,5.6,,125,0.5,1.3,137
Alvin Kamara,NO,,602.2,5.7,,782.4,5,1.2,195.1
Ameer Abdullah,DET,,113.8,0.9,,72.1,0.4,0.8,24.7
Andy Janovich,DEN,,26.4,0.2,,37.1,0.2,0.2,8.6
Anthony Sherman,KC,,46.9,0.4,,29.4,0.1,0.1,10.6
Austin Ekeler,LAC,,252.2,1.8,,187.2,1.1,0.6,60.3
Benny Cunningham,CHI,,13.6,0.1,,189.9,0.65,0.3,27.1
Bilal Powell,NYJ,,902.2,5.9,,185.1,0.8,1.4,146.1
Boston Scott,NO,,45.5,0.5,,20,0.15,0.1,9
Cameron Artis-Payne,CAR,,36,0.3,,11.9,0,0.1,6.7
Carlos Hyde,CLE,,853.4,6.9,,299,1.2,1.5,161
Chase Edmonds,ARI,,156.4,1.35,,78.5,0.4,0.5,32.1
Chris Carson,SEA,,823.1,4.6,,191.7,1.1,1.4,133
Chris Ivory,BUF,,250.3,1.7,,85,0.4,0.6,44.7
Chris Thompson,WAS,,308.2,1.7,,471.6,2.9,1,103.2
Christian McCaffrey,CAR,,458.4,2.6,,811.4,4.25,1.2,168.4
Christine Michael,IND,,9.6,0.1,,2.7,0,0,1.7
C.J. Anderson,CAR,,693,4.1,,159.9,0.65,1.2,111.7
CJ Ham,MIN,,15.5,0.2,,37.2,0.2,0.1,7.3
C.J. Prosise,SEA,,138.2,0.9,,162.3,0.7,0.4,39.2
Corey Clement,PHI,,219.6,1.8,,294.6,1.8,0.6,72.2
Corey Grant,JAC,,149.2,1.1,,53.3,0.35,0.7,27.1
Dalvin Cook,MIN,,1169.2,8.1,,380.8,1.7,2.2,209.7
Damien Williams,KC,,143.7,0.6,,201.1,1.2,0.4,44.3
Darren Sproles,PHI,,277.2,1.8,,223.4,0.9,0.5,65.3
David Fluellen,TEN,,37.1,0.3,,23.5,0.1,0.2,8.1
David Johnson,ARI,,1033.3,9.6,,753.1,4.1,2.4,255.7
DeAndre Washington,OAK,,,,,,,,
Derek Watt,LAC,,31.1,0.2,,25.4,0.1,0.2,7.5
Derrick Coleman,ARI,,0.4,0,,33,0.2,0.1,4.5
Derrick Henry,TEN,,1137.4,7.05,,284.2,1.5,1.7,188.9
Devontae Booker,DEN,,352,2.7,,270.3,1.1,1,83.2
Devonta Freeman,ATL,,961.9,7.1,,388.6,2.3,1.5,188.4
Dion Lewis,TEN,,639.7,4.3,,294.7,1.6,1.3,126.6
D'Onta Foreman,HOU,,,,,,0.2,0,
Doug Martin,OAK,,531.3,3.6,,126.1,0.6,1,88.7
Duke Johnson,CLE,,375.7,3.2,,516.2,2.6,0.9,122.4
Elijah McGuire,NYJ,,101.3,0.8,,118.3,0.7,0.3,30
Ezekiel Elliott,DAL,,1407.5,9.7,,331.9,1.5,2.3,236.8
Frank Gore,MIA,,396.2,2.3,,98.4,0.5,0.7,64.8
Giovani Bernard,CIN,,598.3,3.8,,383,1.3,1.1,126.6
Isaiah Crowell,NYJ,,578.7,3.4,,139.8,0.3,1,92.1
Ito Smith,ATL,,80.6,0.6,,40.3,0.2,0.3,16.5
Jacquizz Rodgers,TB,,104.6,0.8,,48.5,0.2,0.5,20.3
Jalen Richard,OAK,,107.6,0.7,,136.1,0.7,0.4,31.7
Jamaal Williams,GB,,856.6,6.2,,333.2,2,1.6,165.6
James Conner,PIT,,130,0.8,,26.5,0.1,0.3,20.8
James Develin,NE,,3,0,,49.1,0.2,0.1,6.7
James White,NE,,266.6,3.2,,431.5,2.7,0.7,103.9
Jamize Olawale,DAL,,10.7,0.1,,27.8,0.1,0.1,5.3
Javorius Allen,BAL,,398.4,3.7,,210.2,1.1,0.8,87.7
Jay Ajayi,PHI,,1017.4,5.6,,249.9,1.3,1.7,165.1
J.D. McKissic,SEA,,,,,,,,
Jeremy Hill,NE,,398.5,2.7,,89.1,0.4,0.9,65.5
Joe Mixon,CIN,,934.9,6.5,,230.2,1,1.5,158.5
John Kelly,LAR,,173.3,1.2,,89.3,0.5,0.5,35.6
Jonathan Stewart,NYG,,336.5,2.8,,44.1,0.2,0.6,54.9
Jordan Howard,CHI,,1175.4,8.6,,181.1,0.7,1.8,187.7
Jordan Wilkins,IND,,209.3,1.5,,92.2,0.5,0.6,41.2
Justin Davis,LAR,,,,,,,,
Kalen Ballage,MIA,,124.8,0.9,,64,0.3,0.4,25.5
Kareem Hunt,KC,,1225.9,9.8,,374.4,2,2,227.4
Keith Smith,OAK,,4.2,0.1,,36.9,0.2,0.1,5.3
Kenneth Dixon,BAL,,437,3.3,,209.4,1,0.9,89.2
Kenyan Drake,MIA,,951.9,5.6,,380.3,1.3,1.7,172.7
Kerryon Johnson,DET,,657,4.5,,292.8,1.25,1.3,127.7
Kyle Juszczyk,SF,,17.3,0.1,,370.3,2,0.3,51
Lamar Miller,HOU,,992,5.4,,228.5,1.1,1.7,158
Latavius Murray,MIN,,420.1,3.7,,85.4,0.4,0.8,73.6
LeGarrette Blount,DET,,485.7,3.8,,28.5,0.1,0.8,73.6
Leonard Fournette,JAC,,1233.6,9.5,,362.2,1.3,2.1,220.8
LeSean McCoy,BUF,,1139.7,6.5,,480,2.6,2,213.2
Le'Veon Bell,PIT,,1177.3,8.7,,710,3.6,2.2,258.6
Malcolm Brown,LAR,,183.8,1.1,,46.2,0.2,0.5,29.9
Marcus Murphy,BUF,,65.5,0.6,,25,0.1,0.4,12.3
Mark Ingram,NO,,472.4,3.2,,205,0.8,0.8,90.3
Mark Walton,CIN,,196,1.4,,101.7,0.5,0.5,40.4
Marlon Mack,IND,,779.5,5.1,,360.1,1.5,1.4,158.6
Marshawn Lynch,OAK,,786.9,5.5,,182.3,0.5,1.1,131.1
Matt Breida,SF,,698,4.7,,252.4,1.2,1.4,128.2
Melvin Gordon,LAC,,1124.7,9,,482.8,2.1,2,223.6
Michael Burton,CHI,,48.5,0.4,,32.2,0.05,0.2,11
Mike Davis,SEA,,,,,,,,
Mike Gillislee,NO,,424.5,3.9,,32,0.2,0.8,68.4
Nick Chubb,CLE,,182.6,1.3,,71.8,0.4,0.5,34.8
Nyheim Hines,IND,,352.6,2,,183.2,0.9,0.8,72.2
Patrick DiMarco,BUF,,4.4,0.05,,85.4,0.4,0.1,11.5
Peyton Barber,TB,,961.2,7.6,,238.7,1,1.5,169.2
Phillip Lindsay,DEN,,169.2,1.2,,63.2,0.3,0.5,31.7
Raheem Mostert,SF,,64.1,0.5,,25.6,0.1,0.3,11.9
Rashaad Penny,SEA,,241.8,1.7,,116.2,0.6,0.6,48.3
Rex Burkhead,NE,,443.1,4.4,,318.2,1.8,0.9,111.3
Robert Kelley,WAS,,79.4,0.6,,24.5,0.1,0.2,14.5
Robert Turbin,IND,,,,,,,,
Rod Smith,DAL,,288.8,2.9,,229.6,1.2,0.6,75.3
Ronald Jones II,TB,,366.1,2.6,,175.8,0.8,0.8,73.1
Roosevelt Nix,PIT,,27,0.2,,30.5,0.05,0.1,7.9
Royce Freeman,DEN,,1027,7.3,,345.7,1.6,1.9,186.8
Samaje Perine,WAS,,,,,,,,
Saquon Barkley,NYG,,1090.8,7.4,,375.1,1.7,2,197.7
Senorise Perry,MIA,,,,,,,,
Shane Smith,NYG,,11.4,0.1,,17.9,0.1,0.1,3.9
Sony Michel,NE,,243.2,1.8,,103.7,0.5,0.6,47.2
Spencer Ware,KC,,240,1.5,,77,0.3,0.5,41.6
Stevan Ridley,PIT,,,,,,,,
Taiwan Jones,BUF,,23.9,0.2,,11,0,0.1,4.5
Tarik Cohen,CHI,,348.1,1.9,,322,1.2,1.2,83.4
Tavon Austin,DAL,,149.3,0.9,,57.4,0.3,0.3,27.5
Tevin Coleman,ATL,,662,4.2,,238.8,1.5,1.1,122.1
Theo Riddick,DET,,250.4,1.8,,318.2,1.4,0.6,74.8
T.J. Logan,ARI,,151.4,1.1,,72.2,0.4,0.4,30.5
T.J. Yeldon,JAC,,345,3,,376.4,1.2,0.8,95.9
Todd Gurley,LAR,,1280.8,11.2,,715.4,4.3,2.3,287.7
Tommy Bohanon,JAC,,2.7,0.1,,55.9,0.3,0.1,8
Trenton Cannon,NYJ,,144.3,1,,80.2,0.4,0.5,30.2
Trey Edmunds,NO,,,,,,,,
Tyler Ervin,HOU,,,,,,,,
Ty Montgomery,GB,,396,2.9,,185.9,0.9,0.9,79.3
Wayne Gallman,NYG,,291.5,1.6,,198.2,0.8,0.7,62.3
Wendell Smallwood,PHI,,8,0.3,,3.5,0.05,0,1.5
Zach Line,NO,,8.3,0.1,,40.7,0.3,0.1,7.1
Alex Armah,CAR,,8.4,0.1,,24.9,0.1,0.1,4.3
Tre Madden,SEA,,6.9,0.1,,29.1,0.1,0.1,4.7
De'Anthony Thomas,KC,,0,0,,73.8,0.5,0.2,10.1
Detrez Newsome,LAC,,163.5,1.2,,64.9,0.3,0.5,31
Mike Boone,MIN,,152.3,1.1,,87.3,0.5,0.5,32.6
Ricky Ortiz,ATL,,30.8,0.2,,56.3,0.3,0.2,11.6
