Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
A.J. Derby,MIA,,333.1,2.1,0.3,45.2
Alan Cross,TB,,,,,
Antonio Gates,LAC,,487.8,3.7,0.2,71
Antony Auclair,TB,,,,,
Austin Hooper,ATL,,425.2,2.5,0.3,57.4
Austin Seferian-Jenkins,JAC,,466.8,2.5,0.4,61
Benjamin Watson,NO,,555.8,3.8,0.2,77.8
Blake Jarwin,DAL,,393.8,2.5,0.3,54
Cameron Brate,TB,,600.9,4,0.4,83.5
Charles Clay,BUF,,637.8,3.3,0.4,82.9
Chris Manhertz,CAR,,,,,
C.J. Uzomah,CIN,,,,,
Dallas Goedert,PHI,,250,1.7,0.3,34.7
Daniel Brown,CHI,,,,,
Darrell Daniels,SEA,,,,,
Darren Fells,CLE,,,,,
David Morgan,MIN,,,,,
David Njoku,CLE,,410.9,2.5,0.3,56.3
Delanie Walker,TEN,,869.3,4.9,0.4,115.8
Demetrius Harris,KC,,,,,
Derek Carrier,OAK,,,,,
Dion Sims,CHI,,,,,
Dwayne Allen,NE,,,,,
Ed Dickson,SEA,,,,,
Eric Ebron,IND,,748.2,4.4,0.5,104
Eric Saubert,ATL,,,,,
Eric Tomlinson,NYJ,,,,,
Erik Swoope,IND,,,,,
Evan Engram,NYG,,801.5,5,0.5,109.9
Gabe Holmes,ARI,,,,,
Garrett Celek,SF,,219.3,1.8,0.1,32.3
Geoff Swaim,DAL,,,,,
George Kittle,SF,,676.4,4.7,0.4,94.9
Gerald Everett,LAR,,234.7,1.6,0.2,33.4
Greg Olsen,CAR,,831.1,5,0.4,112.3
Hakeem Valles,DET,,,,,
Hayden Hurst,BAL,,357.3,2.3,0.3,48.9
Ian Thomas,CAR,,236.3,1.5,0.2,32.7
Jack Doyle,IND,,724.9,4.6,0.5,99.6
Jacob Hollister,NE,,,,,
Jake Butt,DEN,,440.6,2.8,0.3,60.3
James O'Shaughnessy,JAC,,166.2,1.1,0.2,23
Jared Cook,OAK,,677.7,4.2,0.3,92.2
Jeff Heuerman,DEN,,251.4,1.6,0.2,34.6
Jeremy Sprinkle,WAS,,,,,
Jermaine Gresham,ARI,,334.3,2.1,0.2,46.1
Jesse James,PIT,,195.2,1.2,0.2,26.4
Jimmy Graham,GB,,609,4.9,0.3,89.7
Jonnu Smith,TEN,,191.7,1.1,0.2,26
Jordan Leggett,NYJ,,,,,
Jordan Reed,WAS,,681.6,4.9,0.4,96.8
Josh Hill,NO,,265.5,1.8,0.2,37.4
Khari Lee,BUF,,,,,
Kyle Rudolph,MIN,,576,4.9,0.3,86.8
Lance Kendricks,GB,,,,,
Lee Smith,OAK,,,,,
Levine Toilolo,DET,,,,,
Logan Paulsen,ATL,,,,,
Logan Thomas,BUF,,,,,
Luke Stocker,TEN,,,,,
Luke Willson,DET,,226,1.7,0.3,32.6
MarQueis Gray,MIA,,,,,
Maxx Williams,BAL,,,,,
Michael Roberts,DET,,,,,
Mike Gesicki,MIA,,210.1,1.4,0.2,29.3
Nick Boyle,BAL,,230.8,1.2,0.2,30.3
Nick Vannett,SEA,,230.9,2.05,0.2,32.1
Niles Paul,JAC,,200,1.1,0.2,26.4
O.J. Howard,TB,,436.5,3.5,0.3,64.2
Rhett Ellison,NYG,,232.2,1.6,0.2,32.5
Richard Rodgers,PHI,,,,,
Ricky Seals-Jones,ARI,,721.4,4.4,0.5,98.3
Rico Gathers,DAL,,,,,
Rob Gronkowski,NE,,1099.1,8.4,0.5,159.9
Ross Travis,IND,,,,,
Ryan Griffin,HOU,,486.7,2.6,0.3,63.8
Seth DeValve,CLE,,,,,
Travis Kelce,KC,,970.5,7,0.5,137.9
Trey Burton,CHI,,536.9,3.8,0.3,76.1
Tyler Eifert,CIN,,622.8,5.4,0.3,94
Tyler Higbee,LAR,,312,1.9,0.2,42.5
Tyler Kroft,CIN,,,,,
Vance McDonald,PIT,,557.2,3.3,0.4,74.8
Vernon Davis,WAS,,483.9,3.4,0.2,68.7
Virgil Green,LAC,,,,,
Will Dissly,SEA,,348.5,2.2,0.3,48
Xavier Grimble,PIT,,,,,
Zach Ertz,PHI,,877.3,5.9,0.5,122
Jaylen Samuels,PIT,,92.6,0.5,0.6,44
