Player,Team,Rec,Rec Yds,Rec Tds,Rush Att,Rush Yds,Rush Tds,FL,FPts
Adam Humphries,TB,,562.6,3.2,,,,0.4,75.5
Adam Thielen,MIN,,954.9,5.5,,,,0.5,127.3
A.J. Green,CIN,,1137.5,6.1,,,,0.6,149.4
Albert Wilson,MIA,,392.4,2.2,,,,0.3,53.4
Alex Erickson,CIN,,,,,,,0,
Allen Hurns,DAL,,687.3,3.6,,,,0.4,90.1
Allen Robinson,CHI,,857.7,5.1,,,,0.5,115.6
Alshon Jeffery,PHI,,742.4,5.8,,,,0.4,108.8
Amara Darboh,NE,,78,0.5,,,,0.1,10.9
Amari Cooper,OAK,,951.6,6.45,,,,0.6,135.6
Andre Holmes,BUF,,112.1,0.85,,,,0.1,16.2
Andre Roberts,NYJ,,12.2,0,,,,0.5,0.6
Andy Jones,DET,,,,,,,0,
Anthony Miller,CHI,,299,1.9,,,,0.4,41.9
Antonio Brown,PIT,,1514.6,10.8,,,,0.7,215.4
Antonio Callaway,CLE,,211.9,1.3,,,,0.3,29.9
ArDarius Stewart,NYJ,,,,,,,0,
Auden Tate,CIN,,196.7,1.3,,,,0.3,28
Austin Carr,NO,,23.8,0.2,,,,0.1,3.3
Bradley Marquez,DET,,40.9,0.25,,,,0.1,5.9
Brandin Cooks,LAR,,863.8,5.5,,,,0.5,122.3
Brandon LaFell,OAK,,608.6,3.2,,,,0.3,79.5
Brandon Marshall,SEA,,343.2,2.2,,,,0.2,44.9
Bruce Ellington,HOU,,486.6,2.9,,,,0.4,67.3
Calvin Ridley,ATL,,328.4,2.1,,,,0.4,46.8
Cameron Meredith,NO,,725.6,4.8,,,,0.4,100.9
Chad Hansen,NE,,197,0.7,,,,0.2,26.4
Chad Williams,ARI,,448.4,2.7,,,,0.4,66.8
Charone Peake,NYJ,,,,,,,0,
Chester Rogers,IND,,348.2,1.8,,,,0.3,52.4
Chris Conley,KC,,505.8,3,,,,0.4,68
Chris Godwin,TB,,538.2,3.2,,,,0.4,73.1
Chris Hogan,NE,,740.9,5.3,,,,0.4,106.5
Chris Moore,BAL,,210.5,1.7,,,,0.5,30.9
Christian Kirk,ARI,,312.5,2,,,,0.4,43.9
Cody Core,CIN,,,,,,,0,
Cody Latimer,NYG,,366.8,2.6,,,,0.3,52.2
Cole Beasley,DAL,,426.7,2.6,,,,0.3,57.8
Cooper Kupp,LAR,,925.5,6.4,,,,0.5,130.3
Cordarrelle Patterson,NE,,292.4,1.4,,,,0.5,39
Corey Davis,TEN,,773.3,4.8,,,,0.5,105.5
Courtland Sutton,DEN,,327.9,2.1,,,,0.4,45.7
Curtis Samuel,CAR,,236.4,1.2,,,,0.4,35.1
DaeSean Hamilton,DEN,,210.1,1.4,,,,0.3,29.7
Damiere Byrd,CAR,,145.1,1.1,,,,0.2,21.8
Damion Ratley,CLE,,146.1,0.9,,,,0.3,20.6
Danny Amendola,MIA,,918.2,6.4,,,,0.4,129.9
Dante Pettis,SF,,283.1,1.8,,,,0.3,39.6
Darrius Heyward-Bey,PIT,,28.5,0.2,,,,0,4
Davante Adams,GB,,1023.4,7.8,,,,0.6,148.1
David Moore,SEA,,154.7,1,,,,0.3,21.7
DeAndre Hopkins,HOU,,1229.5,8.7,,,,0.7,174
De'Anthony Thomas,KC,,,,,,,0,
Dede Westbrook,JAC,,661.2,3.4,,,,0.5,85.7
Demarcus Robinson,KC,,159.8,1.1,,,,0.2,22.4
Demaryius Thomas,DEN,,927.8,6.1,,,,0.5,128.5
Deonte Thompson,DAL,,56.1,0.3,,,,0.1,7.4
DeSean Jackson,TB,,734.7,4,,,,0.4,101.4
Devante Parker,MIA,,739.8,4.5,,,,0.5,100.1
Devin Funchess,CAR,,857.3,5.85,,,,0.5,121.4
D.J. Chark,JAC,,263.6,1.7,,,,0.3,37
D.J. Moore,CAR,,669.1,4.1,,,,0.5,93.2
Donte Moncrief,JAC,,504.1,3.2,,,,0.3,69.5
Doug Baldwin,SEA,,999.2,8.1,,,,0.5,147.9
Dwayne Harris,OAK,,32.1,0.2,,,,0.4,3.8
Emmanuel Sanders,DEN,,730.9,3.8,,,,0.4,94.9
Equanimeous St. Brown,GB,,219.4,1.5,,,,0.3,31.3
Freddie Martino,TB,,68.4,0.5,,,,0.1,9.5
Geremy Davis,LAC,,43.5,0.3,,,,0.1,5.9
Geronimo Allison,GB,,466,2.6,,,,0.4,61.8
Golden Tate,DET,,943.7,4.9,,,,0.6,124.2
Isaiah McKenzie,DEN,,139.2,0.8,,,,0.2,18.8
Jakeem Grant,MIA,,247.6,1.7,,,,0.5,36.3
James Washington,PIT,,738.6,4.6,,,,0.5,102.2
Jamison Crowder,WAS,,887.1,5.7,,,,0.6,127
Jarius Wright,CAR,,,,,,,0,
Jaron Brown,SEA,,304.6,2.1,,,,0.2,43
Jarvis Landry,CLE,,1003,6.5,,,,0.6,138.3
Jaydon Mickens,JAC,,,,,,,0,
J.D. McKissic,SEA,,164.2,0.7,,,,0.3,36.5
Jeremy Kerley,BUF,,399.1,2.5,,,,0.3,54.7
Jermaine Kearse,NYJ,,682.4,3.6,,,,0.4,89.2
J.J. Nelson,ARI,,423.5,2.4,,,,0.3,58.3
J'Mon Moore,GB,,,,,,,0,
John Brown,BAL,,517.6,3.3,,,,0.4,70.4
John Ross,CIN,,630.4,3.8,,,,0.5,92
Jordan Lasley,BAL,,138.1,0.9,,,,0.3,19.8
Jordy Nelson,OAK,,545.5,3,,,,0.3,72.4
Josh Bellamy,CHI,,154.6,0.9,,,,0.1,20.7
Josh Doctson,WAS,,650.9,4,,,,0.4,89.2
Josh Gordon,CLE,,1095.1,5.8,,,,0.6,143.4
Josh Malone,CIN,,177.9,1.2,,,,0.3,28
Josh Reynolds,LAR,,150.2,1,,,,0.2,21
JuJu Smith-Schuster,PIT,,1006,7.5,,,,0.7,144.7
Julian Edelman,NE,,,,,,,0,
Julio Jones,ATL,,1369.3,8.6,,,,0.7,188.2
Justin Hardy,ATL,,160.8,1.1,,,,0.2,22.7
Justin Hunter,PIT,,,0.3,,,,0,
Justin Watson,TB,,109,0.7,,,,0.2,15.3
Kaelin Clay,NYG,,129.1,0.7,,,,0.2,17
Keelan Cole,JAC,,768.1,4.6,,,,0.5,103.9
Keenan Allen,LAC,,1411.7,8.7,,,,0.7,192.5
Keke Coutee,HOU,,204.6,1.3,,,,0.3,29.2
Kelvin Benjamin,BUF,,732.4,4.8,,,,0.4,101.4
Kendrick Bourne,SF,,325.4,1.7,,,,0.3,42.9
Kenny Golladay,DET,,765.4,4.3,,,,0.5,103.3
Kenny Stills,MIA,,703.5,4.2,,,,0.4,94.8
Kevin White,CHI,,639.5,3,,,,0.5,82.5
Laquon Treadwell,MIN,,202.8,1.2,,,,0.2,27.5
Larry Fitzgerald,ARI,,1085,5.9,,,,0.5,143.3
Mack Hollins,PHI,,151.9,1,,,,0.2,20.8
Marcus Johnson,IND,,124,0.8,,,,0.2,17.2
Marquez Valdes-Scantling,GB,,195.6,1.3,,,,0.3,27.6
Marquise Goodwin,SF,,986.6,5.6,,,,0.6,136.3
Marvin Hall,ATL,,64.7,0.5,,,,0.1,9.2
Marvin Jones,DET,,983.4,7.4,,,,0.5,142.2
Matt Slater,NE,,10.6,0,,,,0,1.2
Maurice Harris,WAS,,79.4,0.5,,,,0.2,10.9
Michael Campanaro,TEN,,,0.1,,,,0,
Michael Crabtree,BAL,,866.3,5.2,,,,0.5,117.8
Michael Gallup,DAL,,259.4,1.7,,,,0.3,36.6
