Player,Sack,Int,FR,FF,TD,Safety,PA,YA,FPts
Arizona Cardinals,36.8,17.6,10.9,,3.8,,330.3,5386.3,133.9
Atlanta Falcons,34.6,16.2,11.5,,3.5,,380.6,5954.5,114.8
Baltimore Ravens,37.4,17.8,12.2,,3.5,,306.9,5183.1,141.7
Buffalo Bills,34.6,18.5,8.6,,3.6,,370.7,5800.5,116.4
Carolina Panthers,38.4,14.5,12.5,,3.1,,348.1,5627.5,125.1
Chicago Bears,38.3,15.3,10.5,,3.6,,340.6,5488.4,126
Cincinnati Bengals,35.7,15.8,10.8,,3.8,,358.7,5894.1,122.1
Cleveland Browns,30.9,12.1,9.1,,3,,418,6067.4,88.4
Dallas Cowboys,34.05,15.8,11.1,,2.6,,380.1,5945.5,105.4
Denver Broncos,39.5,18,12.2,,3.8,,312.2,5293.9,144.4
Detroit Lions,32.5,16.6,10.5,,3.5,,380.5,5868.9,113.9
Green Bay Packers,33.9,11.1,11,,3.4,,406.3,5814.9,96.9
Houston Texans,40.4,16,12,,3.1,,360.3,5669.5,125.4
Indianapolis Colts,30.3,11.6,7.8,,2.1,,435.4,6014.7,75.2
Jacksonville Jaguars,42.6,20,11.1,,4,,282.5,5062.3,158.3
Kansas City Chiefs,33.4,16,10.9,,2.5,,373.7,5950.6,109.7
Los Angeles Chargers,39.5,17.25,11.4,,2.8,,321.5,5479.2,133.9
Los Angeles Rams,41.4,18.6,11,,3.9,,335.2,5772.5,138.5
Miami Dolphins,35.5,13.7,11,,2.7,,383.6,5842.9,105.1
Minnesota Vikings,38.5,18.9,12,,3.4,,286.5,5142.5,149.9
New England Patriots,34.5,16.5,11,,3.6,,385.1,6083.6,115.4
New Orleans Saints,33.5,15.4,10.9,,3.5,,382.5,6035.8,113.1
New York Giants,32.7,14.3,9.9,,2.7,,375.5,5711.8,103.7
New York Jets,39.2,14.1,11.4,,2.8,,347.1,5529.7,118.1
Oakland Raiders,33.1,12.8,9.1,,3.1,,394.2,5928.9,96.5
Philadelphia Eagles,37.2,16.9,11.8,,2.8,,298.1,5167.8,136.1
Pittsburgh Steelers,34.8,14.9,9.9,,3.3,,369.2,5920.9,112.5
San Francisco 49ers,31.4,12.4,9.9,,2.8,,403.5,6150.3,91.2
Seattle Seahawks,40.6,16.5,10.1,,3.2,,316.6,5307.4,131.9
Tampa Bay Buccaneers,32.3,14.4,10.3,,3.1,,419.4,6285.9,94.9
Tennessee Titans,38.5,12.6,11.6,,2.7,,376.5,5561.7,107.7
Washington Redskins,37.7,18.2,9.1,,4.4,,367.7,5843.7,125.3
