Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,27.1,32.4,30.4,124.5
Aldrick Rosas,NYG,21.8,29.5,27.9,101.2
Brandon McManus,DEN,24.4,32.4,26.1,110
Brett Maher,DAL,23.3,29.3,40,118.2
Caleb Sturgis,LAC,26.5,30.1,44.5,135.2
Chandler Catanzaro,TB,25,30.8,33.4,117.7
Chris Boswell,PIT,27.8,32.1,41.8,138.3
Cody Parkey,CHI,24.3,28.2,25.5,110.4
Daniel Carlson,MIN,1.8,2.1,2.6,8.5
Dustin Hopkins,WAS,22.7,31,37.2,113.2
Graham Gano,CAR,27.5,31.6,36.3,130.8
Greg Zuerlein,LAR,28.9,32.3,42.1,143.8
Harrison Butker,KC,30.3,35.5,40,142.5
Jake Elliott,PHI,28.7,33,39.2,136.8
Jason Myers,NYJ,22.5,29.3,32.6,108.5
Jason Sanders,MIA,24.7,29.9,31.3,117
Josh Lambo,JAC,29.7,33.1,37.1,139.6
Justin Tucker,BAL,30.7,34.1,38.4,147.9
Ka'imi Fairbairn,HOU,22.6,28.4,34.9,112.4
Mason Crosby,GB,27.1,34.4,39.7,130.9
Matt Bryant,ATL,28.8,31.9,44.2,146.4
Matt Prater,DET,29.7,35.4,40.4,141.2
Mike Nugent,OAK,24.1,30.7,35.6,118
Phil Dawson,ARI,25.3,30.5,31,118.2
Randy Bullock,CIN,25.2,30,32.9,122
Robbie Gould,SF,27.6,31.1,32.1,128.5
Ryan Succop,TEN,27.2,32.1,33.5,128.2
Sebastian Janikowski,SEA,25.5,30.2,37.3,123
Stephen Gostkowski,NE,29,34.1,50.4,148.9
Steven Hauschka,BUF,25.4,29.9,31.9,119.5
Wil Lutz,NO,26.5,29.5,48.2,139.2
Zane Gonzalez,CLE,22.1,28.2,29.1,105.5
