Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,79,352.6,4.2,22.1,139.7,0.3,,74.9
Adrian Peterson,WAS,152.8,514.8,2.9,18.5,99.5,0.7,,79.9
Alex Collins,BAL,221.7,891.9,6,34.3,241.2,0.6,,150.1
Alfred Blue,HOU,42,157.4,0.8,17.7,149.3,0.4,,37
Alfred Morris,SF,99.9,422.1,3.7,30.4,230.5,0.6,,88.9
Alvin Kamara,NO,177.1,892.4,6.5,74.5,697.8,3.6,,218.9
Ameer Abdullah,DET,51.7,195.4,1.4,11.6,87.8,0.2,,36.7
Andy Janovich,DEN,7.3,36.9,0.6,5.1,45.5,0.3,,13.5
Anthony Sherman,KC,4.5,16.9,0.2,4.1,36.9,0.1,,7.1
Austin Ekeler,LAC,61.3,288.7,2.4,29.7,243,1.3,,74.8
Benny Cunningham,CHI,18.8,68,0.1,9.2,77.7,0.2,,16.6
Bilal Powell,NYJ,124,501.7,3,32,223.1,0.4,,90.8
Boston Scott,NO,18,69.3,0.7,8.9,75.9,0.2,,19.8
Cameron Artis-Payne,CAR,30.5,144.9,0.9,15.1,99.5,0.3,,30.7
Carlos Hyde,CLE,183.3,762.4,4.9,29,191.8,0.5,,125.4
Chase Edmonds,ARI,64.1,264.1,1.6,34.5,276.2,0.65,,67.1
Chris Carson,SEA,114.9,415.9,3.7,48.2,449.6,2.7,,123.6
Chris Ivory,BUF,107.9,385.2,2.2,24.5,184.6,0.9,,73.2
Chris Thompson,WAS,65.3,282.9,1.6,65.8,638.6,3.5,,121.7
Christian McCaffrey,CAR,183,804.3,4.7,78.7,765,3.9,,204.6
Christine Michael,IND,42.2,170.5,0.9,21,156.1,0.8,,41.8
C.J. Anderson,CAR,136.7,568.1,3,12.2,98.2,0.6,,87.3
CJ Ham,MIN,7.2,30.1,0.5,4.3,37.9,0.2,,10.8
C.J. Prosise,SEA,43.1,155.6,0.6,13.7,132.9,0.6,,33.9
Corey Clement,PHI,63.3,259.5,3.3,25.1,224.4,1.2,,75
Corey Grant,JAC,51.4,261.5,2.6,10.2,98.8,0.35,,54
Dalvin Cook,MIN,258.2,1117.1,8.2,42,309.6,0.9,,193.9
Damien Williams,KC,7.9,29,0.1,2.7,20,0.2,,6.3
Darren Sproles,PHI,40.4,155.1,0.6,42.8,354.2,0.9,,59.5
David Fluellen,TEN,14.3,84.7,0.5,5.4,30.2,0.3,,16.4
David Johnson,ARI,281.3,1031.4,9.2,79.7,823.6,4,,255.2
DeAndre Washington,OAK,31.6,112.8,1.3,13.2,87,0.3,,28.8
Derek Watt,LAC,10.6,47.3,0.3,2.2,27.6,0.2,,10.9
Derrick Coleman,ARI,,,0,,,,,
Derrick Henry,TEN,223.2,1005.3,7.2,16.8,162.3,0.7,,162.1
Devontae Booker,DEN,129.9,550.5,2.2,21.9,149.1,0.5,,82.6
Devonta Freeman,ATL,219.7,1035.2,7.4,46.5,396.1,2.2,,198.2
Dion Lewis,TEN,105.3,539.7,3.2,42.5,333.9,2.1,,117.9
D'Onta Foreman,HOU,67.4,245.1,1.8,11,98.6,0.2,,46
Doug Martin,OAK,130.8,410.1,3.2,17.2,158.5,0.1,,75.9
Duke Johnson,CLE,70.3,314.9,2.9,60.7,500.1,1.6,,105.7
Elijah McGuire,NYJ,18.1,68.4,0.4,5.9,50.3,0.1,,14.2
Ezekiel Elliott,DAL,303,1514.4,11.8,39.1,318.2,1.3,,259.4
Frank Gore,MIA,101.5,445.4,1.9,28.9,255.6,0.8,,84.6
Giovani Bernard,CIN,91.8,385.9,1.7,39.1,324.7,1.4,,89.6
Isaiah Crowell,NYJ,177.8,695.2,3.7,29.2,211.2,0.5,,112.9
Ito Smith,ATL,,,,,,,,
Jacquizz Rodgers,TB,35.7,139.3,1,6.1,46.4,0.2,,25
Jalen Richard,OAK,25,95.3,0.8,12.7,105.1,0.5,,27.4
Jamaal Williams,GB,156.9,681.2,5.2,22.2,216.2,0.8,,124.3
James Conner,PIT,68.1,272.4,2.6,16.5,102.3,0.7,,57
James Develin,NE,0,0,0,2,15.2,0.2,,2.6
James White,NE,44.3,216.2,1.7,51.7,393.8,3.2,,89.6
Jamize Olawale,DAL,,,,,,0.1,,
Javorius Allen,BAL,89.6,356,2.7,18.5,129.5,0.3,,65.2
Jay Ajayi,PHI,229.2,943.3,6.1,24.9,177.2,0.4,,147.8
J.D. McKissic,SEA,12.8,55,0.2,9.8,90,0.2,,16.9
Jeremy Hill,NE,53.4,205.4,2.2,9.8,66.9,0.2,,41.7
Joe Mixon,CIN,234.8,960.6,6.2,35.9,281.6,0.9,,164.8
John Kelly,LAR,,,,,,,,
Jonathan Stewart,NYG,96.3,352.1,2.9,20.3,133.6,0.6,,67.8
Jordan Howard,CHI,274.1,1262.6,7.3,34.4,238.1,0.7,,193.1
Jordan Wilkins,IND,76.9,287.6,2,31.8,253.1,1.2,,72.3
Justin Davis,LAR,12.8,41.7,0.2,6.6,38.5,0.1,,9.4
Kalen Ballage,MIA,48.7,190.1,0.8,19.9,155.5,0.6,,42.5
Kareem Hunt,KC,269.4,1197.1,8.1,52.1,449.8,2.3,,224.6
Keith Smith,OAK,6.8,30.8,0.1,3.7,24.7,0.1,,7
Kenneth Dixon,BAL,41.6,195.9,1.7,27.2,220,1,,57.1
Kenyan Drake,MIA,191,825.9,5.5,46.9,351.9,1.1,,154.6
Kerryon Johnson,DET,156.7,647.3,3.4,29.8,222,1.1,,112.9
Kyle Juszczyk,SF,9.3,36,0.2,11,78.8,0.2,,12.7
Lamar Miller,HOU,224.7,926,4,35.2,320.8,1.8,,157.3
Latavius Murray,MIN,105.6,442.6,3.25,19.2,137.9,0.4,,77.1
LeGarrette Blount,DET,120.4,478.5,3.1,11.9,78.2,0.4,,74.8
Leonard Fournette,JAC,278.2,1198.6,11.1,37.1,295.6,0.8,,218.4
LeSean McCoy,BUF,255.8,1059.6,7.1,49.5,417.1,1.5,,195
Le'Veon Bell,PIT,315.2,1398.8,10.2,81.5,662.9,2.8,,279.3
Malcolm Brown,LAR,34.2,131.3,1,9.4,70.4,0.2,,26.3
Marcus Murphy,BUF,10.3,45.6,0.3,4.2,29.6,0.1,,9.6
Mark Ingram,NO,155.8,740.4,7.7,34.3,264.2,0.4,,146.8
Mark Walton,CIN,,,,,,,,
Marlon Mack,IND,186.9,698.4,3.8,28.5,265.8,1.5,,123.9
Marshawn Lynch,OAK,189.1,814.5,5.8,21.4,154.1,0.5,,133.1
Matt Breida,SF,109.3,489.5,3.3,44.8,385,1.1,,112.1
Melvin Gordon,LAC,293.9,1216.2,8.7,57,492.8,2,,231.3
Michael Burton,CHI,7.5,24,0.2,2.4,11.9,0,,4.5
Mike Davis,SEA,5.9,18.8,0,4.6,34.9,0.1,,6
Mike Gillislee,NO,26.1,115.9,1.2,16.8,145.5,1,,39.6
Nick Chubb,CLE,141.7,571.6,2.2,17.8,138.6,0.5,,85.1
Nyheim Hines,IND,61.4,237.8,1.5,32.9,257.8,1.5,,66
Patrick DiMarco,BUF,7.6,25.4,0.05,6.8,45.4,0.2,,8.3
Peyton Barber,TB,155.1,638.8,4.4,17.9,125,0.3,,103.6
Phillip Lindsay,DEN,13.8,54.1,0.2,7.3,65.3,0.3,,13.7
Raheem Mostert,SF,8.7,28.3,0.2,0.8,2.7,0,,4.2
Rashaad Penny,SEA,144.4,580.2,4.3,23.1,181.3,1.1,,106.3
Rex Burkhead,NE,105,536,6.1,43.5,363.2,2.9,,142.9
Robert Kelley,WAS,117.5,394.5,2.7,13.2,88.3,0,,62.6
Robert Turbin,IND,15.7,64,0.5,7.4,62.7,0.2,,16.3
Rod Smith,DAL,40.1,199.7,2,13.4,98.6,0.6,,45
Ronald Jones II,TB,129.5,505.8,3.4,21.3,160.4,0.6,,92.1
Roosevelt Nix,PIT,24.5,83.9,0.6,3.9,15.1,0,,12.4
Royce Freeman,DEN,151.8,651.7,3.2,34.8,275.3,1.1,,115.8
Samaje Perine,WAS,63.2,231.2,1.3,10.1,90.7,0.4,,40.7
Saquon Barkley,NYG,257.8,1092.4,6,64.6,488.1,2.2,,204.8
