"Player","Team","FG","FGA","XPT","FPts"
"Adam Vinatieri","IND",22.,25.,22.,88.
"Aldrick Rosas","NYG",24.,27.,25.,97.
"Austin Seibert","CLE",23.,28.,37.,106.
"Brandon McManus","DEN",22.,27.,24.,90.
"Brett Maher","DAL",26.,32.,27.,105.
"Chris Boswell","PIT",23.,29.,35.,104.
"Dan Bailey","MIN",23.,28.,23.,92.
"Daniel Carlson","OAK",23.,28.,24.,93.
"Dustin Hopkins","WAS",24.,27.,24.,96.
"Eddy Pineiro","CHI",21.,25.,31.,94.
"Greg Zuerlein","LAR",32.,37.,34.,130.
"Harrison Butker","KC",28.,32.,29.,113.
"Jake Elliott","PHI",27.,31.,27.,108.
"Jason Myers","SEA",24.,27.,35.,107.
"Jason Sanders","MIA",19.,21.,20.,77.
"Joey Slye","CAR",16.,20.,30.,78.
"Josh Lambo","JAC",23.,26.,24.,93.
"Justin Tucker","BAL",32.,35.,34.,130.
"Kaare Vedvik","NYJ",25.,30.,34.,109.
"Ka'imi Fairbairn","HOU",29.,33.,29.,116.
"Mason Crosby","GB",27.,33.,27.,108.
"Matt Bryant","ATL",26.,29.,27.,105.
"Matt Gay","TB",22.,26.,33.,99.
"Matt Prater","DET",27.,31.,29.,110.
"Michael Badgley","LAC",27.,30.,28.,109.
"Randy Bullock","CIN",22.,26.,22.,88.
"Robbie Gould","SF",32.,34.,32.,128.
"Ryan Succop","TEN",23.,27.,26.,95.
"Stephen Gostkowski","NE",30.,35.,31.,121.
"Steven Hauschka","BUF",22.,27.,23.,89.
"Wil Lutz","NO",28.,31.,29.,113.
"Zane Gonzalez","ARI",18.,24.,26.,80.
