"Player","Team","Pass Att","Pass Cmp","Pass Yds","Pass Tds","Pass Ints","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Aaron Rodgers","GB",597.,379.,4388.,28.,8.,45.,273.,2.,2.,310.8
"AJ McCarron","HOU",21.,14.,166.,1.,0.,4.,4.,0.,0.,11.
"Andy Dalton","CIN",522.,314.,3329.,25.,16.,30.,149.,0.,1.,216.1
"Baker Mayfield","CLE",566.,370.,4368.,31.,16.,43.,137.,0.,2.,280.4
"Ben Roethlisberger","PIT",670.,436.,4885.,28.,19.,31.,86.,2.,1.,290.
"Blaine Gabbert","TB",22.,14.,173.,1.,1.,1.,1.,0.,0.,9.
"Blake Bortles","LAR",23.,15.,179.,1.,0.,5.,22.,0.,0.,13.4
"Brett Hundley","ARI",22.,13.,138.,1.,1.,3.,13.,0.,0.,8.8
"Brian Hoyer","IND",0.,0.,"","","",0.,"","","",""
"Cam Newton","CAR",525.,360.,3801.,25.,17.,116.,610.,4.,1.,303.
"Carson Wentz","PHI",576.,397.,4328.,31.,15.,49.,167.,0.,2.,283.8
"Case Keenum","WAS",132.,83.,862.,5.,4.,10.,35.,0.,0.,50.
"Chad Kelly","IND",13.,8.,84.,1.,0.,4.,3.,0.,0.,7.7
"Chase Daniel","CHI",20.,13.,142.,1.,1.,4.,7.,0.,0.,8.4
"Colt McCoy","WAS",18.,11.,120.,1.,1.,4.,15.,0.,0.,8.3
"Cooper Rush","DAL",18.,11.,94.,1.,0.,3.,16.,0.,0.,9.4
"Dak Prescott","DAL",504.,342.,3726.,22.,11.,65.,307.,6.,2.,281.7
"Daniel Jones","NYG",115.,74.,808.,4.,3.,5.,18.,0.,1.,44.1
"Derek Carr","OAK",577.,401.,4326.,24.,12.,23.,49.,1.,1.,255.9
"Deshaun Watson","HOU",515.,345.,4119.,26.,17.,101.,487.,6.,3.,319.5
"DeShone Kizer","OAK",0.,0.,"","","",0.,0.,"","",""
"Drew Brees","NO",542.,398.,4129.,30.,10.,34.,38.,2.,1.,281.
"Drew Lock","DEN",0.,0.,"","","",0.,"","","",""
"Drew Stanton","CLE",23.,14.,161.,1.,1.,4.,19.,0.,0.,10.3
"Dwayne Haskins","WAS",395.,244.,2674.,15.,14.,22.,79.,1.,1.,152.9
"Eli Manning","NYG",454.,302.,3236.,17.,11.,11.,25.,1.,3.,183.9
"Gardner Minshew","JAC",18.,11.,118.,1.,0.,1.,3.,0.,0.,9.
"Jacoby Brissett","IND",538.,336.,3552.,22.,15.,52.,143.,2.,2.,226.4
"Jameis Winston","TB",558.,369.,4771.,27.9,20.,60.,320.,1.,2.,296.8
"Jared Goff","LAR",565.,361.,4407.,30.,12.,40.,97.,1.,1.,288.
"Jarrett Stidham","NE",18.,12.,137.,1.,0.,1.,4.,0.,0.,9.9
"Jimmy Garoppolo","SF",531.,346.,4365.,27.,18.,39.,107.,1.,0.,263.3
"Joe Flacco","DEN",562.,349.,3771.,21.,15.,24.,70.,0.,1.,211.8
"Josh Allen","BUF",478.,273.,3189.,18.,17.,100.,722.,8.,2.,285.8
"Josh McCown","PHI",23.,16.,171.,1.,1.,4.,16.,0.,0.,10.4
"Josh Rosen","MIA",45.,29.,316.,2.,2.,3.,19.,0.,1.,18.5
"Kirk Cousins","MIN",587.,406.,4220.,24.,14.,47.,138.,2.,2.,262.6
"Kyler Murray","ARI",563.,350.,3659.,23.,15.,101.,570.,3.,4.,283.4
"Lamar Jackson","BAL",463.,276.,2955.,22.,11.,183.,843.,6.,6.,304.5
"Marcus Mariota","TEN",436.,294.,3190.,19.,15.,69.,382.,2.,2.,223.8
"Mason Rudolph","PIT",21.,14.,151.,1.,1.,1.,3.,0.,0.,8.3
"Matt Barkley","BUF",19.,11.,130.,1.,1.,5.,4.,0.,0.,7.6
"Matthew Stafford","DET",580.,388.,4023.,24.,13.,26.,77.,0.,1.,238.6
"Matt Moore","KC",23.,15.,199.,2.,0.,4.,17.,0.,1.,17.7
"Matt Ryan","ATL",590.,404.,4689.,28.,10.,32.,122.,2.,1.,303.8
"Matt Schaub","ATL",24.,17.,151.,1.,0.,2.,3.,0.,0.,10.3
"Mike Glennon","OAK",24.,16.,174.,1.,1.,4.,5.,0.,1.,9.5
"Mitch Trubisky","CHI",497.,327.,3631.,24.,14.,61.,362.,2.,2.,261.4
"Nick Foles","JAC",577.,380.,4078.,21.,14.,27.,39.,1.,1.,229.
"Nick Mullens","SF",22.,14.,178.,1.,1.,4.,4.,0.,0.,9.5
"Patrick Mahomes","KC",570.,374.,4952.,39.,12.,50.,204.,2.,1.,362.5
"Philip Rivers","LAC",531.,353.,4406.,29.,13.,17.,31.,0.,1.,269.3
"Robert Griffin","BAL",19.,11.,121.,1.,0.,1.,5.,0.1,0.,9.3
"Russell Wilson","SEA",437.,287.,3459.,31.,11.,70.,384.,1.,2.,284.8
"Ryan Finley","CIN",16.,10.,102.,1.,0.,1.,3.,0.,0.,8.4
"Ryan Fitzpatrick","MIA",408.,263.,2868.,20.,16.,55.,294.,3.,1.,210.1
"Ryan Tannehill","TEN",18.,12.,130.,1.,1.,4.,20.,0.,0.,9.2
"Sam Darnold","NYJ",524.,325.,3729.,27.,18.,45.,149.,1.,2.,242.1
"Sean Mannion","MIN",24.,15.,154.,0.,0.,4.,3.,0.,0.,6.5
"Taysom Hill","NO",16.,12.,123.,1.,0.,38.,178.,1.,1.,32.7
"Teddy Bridgewater","NO",22.,16.,167.,1.,0.,5.,8.,0.,0.,11.5
"Tim Boyle","GB",18.,12.,134.,1.,0.,1.,3.,0.,0.,9.7
"Tom Brady","NE",603.,393.,4477.,30.,13.,23.,38.,1.,1.,282.9
"Trevor Siemian","NYJ",21.,13.,146.,1.,1.,4.,16.,0.05,0.,9.4
"Tyrod Taylor","LAC",21.,14.,177.,1.,1.,4.,17.,0.,0.,10.8
"Will Grier","CAR",22.,14.,147.,1.,1.,1.,5.,0.,0.,8.4
