"Player","Team","Rush Att","Rush Yds","Rush Tds","Rec","Rec Yds","Rec Tds","FL","FPts"
"Aaron Jones","GB",158.,832.,9.,30.,216.,1.3,2.,164.8
"Adrian Peterson","WAS",151.,604.,4.,16.,159.,0.75,2.,106.3
"Alexander Mattison","MIN",133.,524.,4.,18.,164.,1.,2.,98.8
"Alex Armah","CAR",13.,26.,2.,2.,10.,0.,0.,15.6
"Alfred Blue","JAC",64.,232.,1.,11.,76.,0.,1.,36.8
"Alfred Morris","DAL",37.,154.,1.,2.,16.,0.,0.,23.
"Alvin Kamara","NO",214.,969.,9.,95.,781.,4.,3.,253.
"Ameer Abdullah","MIN",26.,94.,2.,3.,19.,0.,1.,23.3
"Andy Janovich","DEN","","",0.1,"","",0.4,0.,""
"Anthony Sherman","KC",7.,22.,0.,15.,177.,1.15,0.,31.9
"Austin Ekeler","LAC",125.,619.,4.,41.,404.,3.,2.,144.3
"Benny Snell Jr.","PIT",58.,229.,2.,10.,90.,0.,1.,43.9
"Bilal Powell","NYJ",88.,365.,2.,14.,126.,1.,1.,67.1
"Brandon Bolden","NE",23.,180.,6.,0.,1.,0.,1.,54.1
"Brian Hill","ATL","","","","","","","",""
"Buddy Howell","HOU",57.,249.,2.,3.,26.,0.,1.,39.5
"Carlos Hyde","HOU",145.,546.,4.,12.,62.,0.1,2.,84.8
"Chase Edmonds","ARI",54.,189.,2.,10.,54.,0.,1.,36.3
"Chris Carson","SEA",262.,1153.,9.,29.,209.,0.,3.,190.2
"Chris Thompson","WAS",92.,399.,2.,50.,395.,2.,1.,103.4
"Christian McCaffrey","CAR",194.,1000.,5.,107.,867.,6.,3.,252.7
"C.J. Anderson","DET",144.,567.,3.,19.,140.,1.,2.,94.7
"CJ Ham","MIN","","","","","","",0.,""
"Corey Clement","PHI",65.,266.,3.,12.,120.,0.,1.,56.6
"Cullen Gillaspia","HOU",18.,80.,1.,9.,73.,0.,0.,21.3
"Dalvin Cook","MIN",212.,945.,7.,60.,455.,2.,3.,194.
"Damarea Crockett","OAK",0.,"","","","","","",""
"Damien Harris","NE",126.,525.,4.,15.,150.,1.,2.,97.5
"Damien Williams","KC",118.,538.,7.,43.,358.,5.,2.,161.6
"Dan Vitale","GB","","","","","","",0.,""
"Dare Ogunbowale","TB","","","","","","","",""
"Darrell Henderson","LAR",130.,610.,5.,22.,233.,1.,2.,120.3
"Darrel Williams","KC",27.,96.,1.,3.,29.,1.,0.,24.5
"Darren Sproles","PHI",27.,105.,0.6,6.,63.,1.,1.,28.8
"Darwin Thompson","KC",92.,430.,4.,28.,314.,1.2,2.,110.4
"David Fluellen","TEN","","","","","","","",""
"David Johnson","ARI",210.,766.,7.,59.,549.,4.,3.,197.5
"David Montgomery","CHI",189.,852.,7.,35.,343.,2.,3.,173.5
"DeAndre Washington","OAK",69.,215.,1.,6.,40.,0.1,3.,31.5
"Derek Watt","LAC","","","","","",0.2,0.,""
"Derrick Henry","TEN",214.,1033.,9.,14.,111.,0.,2.,168.4
"Derrius Guice","WAS",164.,715.,5.,23.,244.,1.,3.,131.9
"Devin Singletary","BUF",174.,751.,5.,25.,239.,1.,3.,135.
"Devontae Booker","DEN",73.,346.,2.,17.,134.,0.,3.,60.
"Devonta Freeman","ATL",197.,893.,6.,43.,322.,2.,2.,169.5
"Dexter Williams","GB",24.,116.,1.,4.,40.,0.,0.,21.6
"Dion Lewis","TEN",143.,554.,3.,55.,353.,1.,2.,114.7
"Dontrell Hilliard","CLE",85.,380.,3.,31.,338.,0.,1.,89.8
"Duke Johnson","HOU",136.,615.,3.,45.,412.,2.,2.,132.7
"Dwayne Washington","NO","","","","","",0.1,0.,""
"Elijhaa Penny","NYG","","","","","","",0.,""
"Ezekiel Elliott","DAL",285.,1331.,7.,69.,546.,3.,4.,247.7
"Frank Gore","BUF",151.,626.,3.,14.,134.,1.,2.,100.
"Giovani Bernard","CIN",90.,379.,4.,21.,145.,0.,1.,76.4
