"Player","Team","Rec","Rec Yds","Rec Tds","FL","FPts"
"Adam Shaheen","CHI",18.,176.,2.,0.,29.6
"Alize Mack","NO",12.,115.,1.,0.,17.5
"Anthony Firkser","TEN",9.,103.,1.,0.,16.3
"Antony Auclair","TB",12.,117.,1.,0.,17.7
"Austin Hooper","ATL",67.,642.,3.,1.,82.2
"Benjamin Watson","NE",33.,389.,2.,0.,50.9
"Blake Bell","KC",11.,123.,1.,0.,18.3
"Blake Jarwin","DAL",20.,207.,2.,0.,32.7
"Cameron Brate","TB",43.,415.,6.,1.,77.5
"Charles Clay","ARI",48.,444.,2.,1.,56.4
"Chris Herndon IV","NYJ",30.,408.,4.,0.,64.8
"Chris Manhertz","CAR",10.,154.,1.,0.,21.4
"C.J. Uzomah","CIN",36.,352.,2.,0.,47.2
"Dallas Goedert","PHI",35.,362.,5.,0.,66.2
"Dalton Schultz","DAL",10.,106.,1.,0.,16.6
"Daniel Brown","NYJ",20.,213.,1.,0.,27.3
"Darren Fells","HOU",21.,212.,4.,0.,45.2
"Darren Waller","OAK",48.,566.,2.,1.,68.6
"David Morgan","MIN",12.,98.,1.,0.,15.8
"David Njoku","CLE",53.,576.,4.,1.,81.6
"Dawson Knox","BUF",13.,130.,1.,0.,19.
"Delanie Walker","TEN",65.,729.,3.,1.,90.9
"Demetrius Harris","CLE",24.,277.,3.,0.,45.7
"Deon Yelder","KC",33.,410.,4.,1.,65.
"Derek Carrier","OAK",12.,110.,2.,0.,23.
"Drew Sample","CIN",23.,212.,2.,1.,33.2
"Durham Smythe","MIA",9.,75.,1.,0.,13.5
"Ed Dickson","SEA",17.,216.,2.,0.,33.6
"Eric Ebron","IND",49.,502.,6.,1.,86.2
"Evan Engram","NYG",70.,878.,5.,1.,117.8
"Foster Moreau","OAK",41.,400.,3.,1.,58.
"Garrett Celek","SF",11.,176.,3.,0.,35.6
"Garrett Griffin","NO",12.,98.,2.,0.,21.8
"Geoff Swaim","JAC",54.,514.,2.,1.,63.4
"George Kittle","SF",80.,1178.,4.,1.,141.8
"Gerald Everett","LAR",26.,288.,3.,0.,46.8
"Greg Olsen","CAR",41.,436.,5.,0.,73.6
"Hayden Hurst","BAL",25.,306.,3.,0.,48.6
"Hunter Henry","LAC",58.,740.,5.,1.,104.
"Ian Thomas","CAR",46.,426.,3.,0.,60.6
"Irv Smith Jr.","MIN",35.,333.,2.,1.,45.3
"Isaac Nauta","DET",12.,112.,1.,0.,17.2
"Jace Sternberger","GB",40.,406.,3.,1.,58.6
"Jack Doyle","IND",62.,521.,3.,2.,70.1
"James O'Shaughnessy","JAC",29.,270.,1.,0.,33.
"Jared Cook","NO",69.,849.,6.,1.,120.9
"Jason Witten","DAL",46.,416.,3.,1.,59.6
"Jeff Heuerman","DEN",30.,277.,2.,0.,39.7
"Jeremy Sprinkle","WAS",10.,79.,1.,0.,13.9
"Jesse James","DET",25.,287.,1.,0.,34.7
"Jimmy Graham","GB",53.,557.,3.,1.,73.7
"Jonnu Smith","TEN",23.,265.,4.,0.,50.5
"Jordan Akins","HOU",19.,244.,1.,0.,30.4
"Jordan Reed","WAS",70.,709.,3.,1.,88.9
"Jordan Thomas","HOU",26.,274.,3.,0.,45.4
"Josh Hill","NO",20.,185.,1.,1.,24.5
"Josh Oliver","JAC",38.,382.,2.,1.,50.2
"Kaden Smith","SF",11.,123.,1.,0.,18.3
"Kahale Warring","HOU",7.,80.,1.,0.,14.
"Kyle Rudolph","MIN",53.,528.,4.,1.,76.8
"Lance Kendricks","NE",11.,109.,1.,0.,16.9
"Levine Toilolo","SF",11.,151.,1.,0.,21.1
"Luke Stocker","ATL",29.,351.,5.,0.,65.1
"Marcedes Lewis","GB",25.,315.,4.,0.,55.5
"Mark Andrews","BAL",40.,611.,5.,0.,91.1
