"Player","Team","Rec","Rec Yds","Rec Tds","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Adam Humphries","TEN",50.,451.,2.,2.,13.,0.,1.,58.4
"Adam Thielen","MIN",107.,1372.,7.,4.,23.,0.,1.,181.5
"A.J. Brown","TEN","","","",0.,0.,0.,0.,""
"A.J. Green","CIN",66.,909.,7.,0.,0.,0.,2.,132.9
"Albert Wilson","MIA",57.,718.,5.,11.,23.,0.,1.,104.1
"Alex Erickson","CIN","","",0.4,"","",0.,0.,""
"Allen Lazard","GB","","",0.,0.,0.,0.,0.,""
"Allen Robinson","CHI",63.,928.,4.,1.,9.,0.,1.,117.7
"Alshon Jeffery","PHI",70.,921.,6.,0.,0.,0.,1.,128.1
"Amari Cooper","DAL",76.,1048.,9.,2.,19.,0.,1.,160.7
"Andre Roberts","BUF","","","",0.,"",0.,0.,""
"Andy Isabella","ARI","","","",0.,"",0.,0.,""
"Anthony Miller","CHI",40.,558.,8.,6.,24.,0.,1.,106.2
"Antonio Brown","OAK",92.,1158.,9.,0.,0.,0.,1.,169.8
"Antonio Callaway","CLE",44.,570.,5.,2.,6.,0.,1.,87.6
"Auden Tate","CIN","","","",0.,0.,0.,0.,""
"Austin Carr","NO","","","",0.,0.,0.,0.,""
"Bennie Fowler","NYG","","","",0.,0.,0.,0.,""
"Bobo Wilson","TB","","","","","",0.,0.,""
"Brandin Cooks","LAR",81.,1235.,5.,10.,59.,1.,1.,165.4
"Brandon Zylstra","CAR","","","",0.,0.,0.,0.,""
"Breshad Perriman","TB",33.,661.,2.,5.,2.,0.,0.,78.3
"Calvin Ridley","ATL",69.,856.,8.,6.,27.,0.,1.,136.3
"Chad Beebe","MIN",35.,412.,2.,1.,7.,0.,1.,53.9
"Chester Rogers","IND","","","","","","",0.,""
"Chris Conley","JAC","","","",0.,0.,0.,0.,""
"Chris Godwin","TB",80.,1040.,6.25,0.,0.,0.,1.,140.
"Chris Hogan","CAR",32.,404.,3.,1.,6.,0.,0.,59.
"Chris Lacy","DET","","","",0.,0.,0.,0.,""
"Chris Moore","BAL","","","","","",0.,0.,""
"Christian Kirk","ARI",70.,973.,5.,3.,37.,0.,1.,131.
"Cody Latimer","NYG",32.,526.,3.,0.,0.,0.,1.,70.6
"Cole Beasley","BUF",43.,437.,2.,0.,0.,0.,1.,55.7
"Cooper Kupp","LAR",78.,1001.,9.,5.,30.,0.,1.,157.1
"Cordarrelle Patterson","CHI","","","","","","","",""
"Corey Davis","TEN",64.,830.,4.,5.,43.,0.,1.,111.3
"Courtland Sutton","DEN",45.,778.,5.,1.,0.,0.,0.,107.8
"Curtis Samuel","CAR",48.,569.,5.,15.,175.,3.,1.,122.4
"DaeSean Hamilton","DEN",66.,649.,6.,0.,0.,0.,1.,100.9
"Damiere Byrd","ARI","","","","","",0.,0.,""
"Damion Willis","CIN","","","",0.,0.,0.,0.,""
"Danny Amendola","DET",74.,689.,3.,1.,0.,0.,1.,86.9
"Dante Pettis","SF",48.,768.,6.,2.,-3.,0.,1.,112.5
"Davante Adams","GB",108.,1305.,12.,0.,0.,0.,1.,202.5
"David Moore","SEA",35.,596.,6.,1.,4.,0.,0.,96.
"DeAndre Carter","HOU","","","","","",0.,0.,""
"DeAndre Hopkins","HOU",108.,1484.,10.,1.,-4.,0.,2.,208.
"De'Anthony Thomas","KC","","","","","",0.,0.,""
"Dede Westbrook","JAC",76.,863.,6.,7.,88.,0.,2.,131.1
"Deebo Samuel","SF",44.,640.,3.,2.,12.,0.,1.,83.2
"Demarcus Robinson","KC",23.,320.,3.,0.,0.,0.,0.,50.
"Derrick Willies","CLE","","","",0.,0.,0.,0.,""
"DeSean Jackson","PHI",49.,734.,4.,6.,39.,1.,1.,107.3
"Devante Parker","MIA",49.,655.,3.,0.,0.,0.,0.,83.5
"Devin Funchess","IND",46.,549.,4.,0.,0.,0.,0.,78.9
"Devin Smith","DAL","","","",0.,0.,0.,0.,""
"D.J. Chark","JAC",43.,540.,2.,0.,0.,0.,4.,66.
"D.J. Moore","CAR",61.,926.,3.,13.,177.,0.,3.,128.3
"D.K. Metcalf","SEA",35.,631.,6.,2.,13.,0.,1.,100.4
"Donte Moncrief","PIT",54.,805.,5.,0.,0.,0.,1.,110.5
"Dontrelle Inman","LAC","","","",0.,0.,0.,0.,""
"Emmanuel Sanders","DEN",81.,935.,4.,3.,42.,1.,1.,127.7
"Gary Jennings","SEA","","","",0.,0.,0.,0.,""
"Geronimo Allison","GB",51.6,740.,4.,0.,0.,0.,1.,98.
"Golden Tate","NYG",57.,615.,3.,3.,24.,0.,1.,81.9
"Hunter Renfrow","OAK","","","",0.,0.,0.,0.,""
"Jakeem Grant","MIA",30.,378.,3.,2.,11.,0.,1.,56.9
"Jake Kumerow","GB","","","",0.,0.,0.,0.,""
"Jakobi Meyers","NE","","","",0.,"",0.,0.,""
"Jalen Hurd","SF","","","",0.,0.,0.,0.,""
"James Washington","PIT",55.,826.,4.,0.,0.,0.,1.,106.6
"Jamison Crowder","NYJ",53.,686.,4.,6.,42.,0.,1.,96.8
"Jarius Wright","CAR","","",1.1,"","",0.,0.,""
"Jarvis Landry","CLE",73.,792.,4.,2.,42.,1.,1.,113.4
"Javon Wims","CHI","","",0.2,0.,0.,0.,0.,""
"J.J. Nelson","OAK","","","","","",0.,0.,""
"John Brown","BUF",44.,710.,5.,2.,5.,0.,0.,101.5
"John Ross","CIN",23.,216.,7.,5.,15.,0.,0.,65.1
"JoJo Natson","LAR","","","","","",0.,0.,""
"Josh Bellamy","NYJ","","","","","",0.,0.,""
"Josh Gordon","NE",54.,935.,6.,0.,0.,0.,1.,129.5
"Josh Reynolds","LAR",24.,321.,3.,4.,30.,0.,0.,53.1
"JuJu Smith-Schuster","PIT",108.,1524.,8.,1.,10.,0.,1.,201.4
"Julian Edelman","NE",87.,1072.,7.,10.,112.,0.,1.,160.4
"Julio Jones","ATL",111.,1694.,6.,2.,15.,0.,2.,206.9
"Justin Hardy","ATL","","","",0.,0.,0.,0.,""
"Justin Watson","TB","","","",0.,0.,0.,0.,""
"Keelan Cole","JAC","","","",0.,0.,0.,0.,""
"Keenan Allen","LAC",100.,1338.,6.,6.,50.,0.,1.,174.8
"Keith Kirkwood","NO","","","",0.,0.,0.,0.,""
"Keke Coutee","HOU",52.,568.,3.,6.,2.,0.,1.,75.
"Kelvin Harmon","WAS","","","",0.,0.,0.,0.,""
"Kendrick Bourne","SF","","",0.5,"","",0.,0.,""
"Kenny Golladay","DET",72.,1117.,6.,1.,9.,0.,1.,148.6
"Kenny Stills","HOU",31.,495.,4.,0.,0.,0.,0.,73.5
"Larry Fitzgerald","ARI",77.,817.,6.,0.,0.,0.,1.,117.7
"Mack Hollins","PHI","","","",0.,0.,0.,0.,""
"Marqise Lee","JAC",82.,950.,3.,2.,18.,0.,1.,114.8
"Marquez Valdes-Scantling","GB",56.,833.,3.,2.,30.,0.,1.,104.3
"Marquise Brown","BAL",38.,597.,5.,16.,115.,0.,2.,101.2
"Marquise Goodwin","SF",44.,723.,5.,5.,26.,0.,0.,104.9
"Marvin Jones","DET",56.,829.,7.,0.,0.,0.,1.,124.9
"Mecole Hardman","KC",33.,551.,4.,2.,9.,0.,1.,80.
"Michael Crabtree","ARI",39.,416.,4.,0.,0.,0.,0.,65.6
"Michael Gallup","DAL",45.,739.,4.1,0.,0.,0.,0.,97.9
"Michael Thomas","NO",125.,1381.,8.,0.,0.,0.,1.,186.1
"Mike Evans","TB",99.,1508.,6.,0.,0.,0.,1.,186.8
"Mike Williams","LAC",46.,712.,8.,4.,19.,1.,1.,127.1
"Miles Boykin","BAL",41.,613.,5.,3.,13.,0.,1.,92.6
"Mohamed Sanu","ATL",69.,860.,4.,6.,34.,0.,1.,113.4
"Nelson Agholor","PHI",61.,708.,4.,3.,33.,0.,1.,98.1
"N'Keal Harry","NE",44.,601.,4.,2.,11.,0.,1.,85.2
"Noah Brown","DAL","","","",0.,0.,0.,0.,""
"Odell Beckham Jr.","CLE",88.,1216.,9.,7.,29.,0.,1.,178.5
"Parris Campbell","IND",33.,435.,3.,2.,11.,0.,1.,62.6
"Paul Richardson","WAS",44.,631.,4.,2.,11.,0.,0.,88.2
"Phillip Dorsett","NE",30.,327.,3.,4.,26.,0.,0.,53.3
"Preston Williams","MIA","","","",0.,0.,0.,0.,""
"Quincy Enunwa","NYJ",53.,644.,3.,1.,0.,0.,1.,82.4
"Randall Cobb","DAL",48.,514.,3.,4.,8.,0.,1.,70.2
"Rashard Higgins","CLE",35.,458.,3.,0.,1.,0.,1.,63.9
"Richie James","SF","","","",0.,0.,0.,0.,""
"Robby Anderson","NYJ",54.,815.,8.,2.,-2.,0.,2.,129.3
"Robert Foster","BUF",40.,664.,4.,0.,0.,0.,0.,90.4
"Robert Woods","LAR",89.,1181.,6.,16.,117.,1.,1.,171.8
"Russell Gage","ATL","","","",0.,0.,0.,0.,""
"Russell Shepard","NYG","","","","","",0.,0.,""
"Ryan Grant","OAK","","","",0.,0.,0.,0.,""
"Ryan Switzer","PIT","","",1.2,"","","",0.,33.7
"Sammy Watkins","KC",53.,771.,5.,4.,36.,0.,1.,110.7
"Seth Roberts","BAL","","","","","",0.,0.,""
"Stefon Diggs","MIN",99.,1085.,8.,10.,50.,0.,1.,161.5
"Sterling Shepard","NYG",74.,956.,4.,4.,27.,0.,1.,122.3
"Tajae Sharpe","TEN",28.,349.,3.,1.,17.,0.,0.,54.6
"Tavon Austin","DAL","","","","","",0.,0.,""
"Taylor Gabriel","CHI",53.,569.,3.,9.,60.,0.,1.,80.9
"Taywan Taylor","CLE",32.,427.,2.,2.,10.,0.,1.,55.7
"Ted Ginn","NO",42.,542.,3.,10.,60.,0.,1.,78.2
"Terry McLaurin","WAS","","","",0.,0.,0.,0.,""
"Tim Patrick","DEN","","","","","",0.,0.,""
"Travis Benjamin","LAC","","","","","",0.,0.,""
"Tre'Quan Smith","NO",37.,512.,5.,1.,6.,0.,0.,81.8
"Trevor Davis","GB","","","",0.,"",0.,0.,""
"Trey Quinn","WAS",41.,431.,3.,4.,8.,0.,1.,61.9
"T.Y. Hilton","IND",70.,1089.,4.,0.,0.,0.,1.,132.9
"Tyler Boyd","CIN",77.,967.,6.,2.,3.,0.,1.,133.
"Tyler Lockett","SEA",68.,1128.,9.,11.,58.,0.,1.,172.6
"Tyreek Hill","KC",75.,1288.,9.,17.,115.,1.,1.,200.3
"Tyrell Williams","OAK",59.,842.,4.,1.,10.,0.,1.,109.2
"Vyncint Smith","HOU","","","",0.,0.,0.,0.,""
"Will Fuller","HOU",55.,770.,6.,1.,5.,0.,1.,113.5
"Willie Snead","BAL",47.,488.,3.,1.,11.,0.,1.,67.9
"Zach Pascal","IND","","","","","",0.,0.,""
"Zay Jones","BUF",51.,595.,8.,1.,0.,0.,1.,107.5
