Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Kareem Jackson,Den,CB,,,,,,,,,,,72,1,1,1,1,0,0,20.1,,,,,,,,,,,,,,,,,,1778
Donte Jackson,Car,CB,,,,,,,,,,,73,1,1,1,3,0,0,17.5,,,,,,,,,,,,,,,,,,1779
James Bradberry,Car,CB,,,,,,,,,,,75,1,1,1,2,0,0,19.8,,,,,,,,,,,,,,,,,,1780
Marshon Lattimore,NO,CB,,,,,,,,,,,70,0,1,1,3,0,0,22.1,,,,,,,,,,,,,,,,,,1781
Denzel Ward,Cle,CB,,,,,,,,,,,66,0,1,1,3,0,0,19.9,,,,,,,,,,,,,,,,,,1782
Kenny Moore II,Ind,CB,,,,,,,,,,,67,1,1,1,3,0,0,18.7,,,,,,,,,,,,,,,,,,1783
Prince Amukamara,Chi,CB,,,,,,,,,,,68,0,1,1,2,0,0,19.2,,,,,,,,,,,,,,,,,,1784
Kendall Fuller,KC,CB,,,,,,,,,,,75,0,1,1,2,0,0,15.7,,,,,,,,,,,,,,,,,,1785
Eli Apple,NO,CB,,,,,,,,,,,72,0,1,1,2,0,0,19,,,,,,,,,,,,,,,,,,1786
Chidobe Awuzie,Dal,CB,,,,,,,,,,,73,0,1,1,2,0,0,17.4,,,,,,,,,,,,,,,,,,1787
Logan Ryan,Ten,CB,,,,,,,,,,,71,1,0,0,2,0,0,14.4,,,,,,,,,,,,,,,,,,1788
Jaire Alexander,GB,CB,,,,,,,,,,,72,1,0,0,2,0,0,17,,,,,,,,,,,,,,,,,,1789
Adoree' Jackson,Ten,CB,,,,,,,,,,,74,0,0,0,2,0,0,15.2,,,,,,,,,,,,,,,,,,1790
Minkah Fitzpatrick,Mia,CB,,,,,,,,,,,73,0,0,0,2,0,0,15,,,,,,,,,,,,,,,,,,1791
Isaiah Oliver,Atl,CB,,,,,,,,,,,68,0,1,0,2,0,0,18.4,,,,,,,,,,,,,,,,,,1792
Janoris Jenkins,NYG,CB,,,,,,,,,,,67,0,1,1,2,0,0,18.6,,,,,,,,,,,,,,,,,,1793
Joe Haden,Pit,CB,,,,,,,,,,,67,0,1,1,2,0,0,18,,,,,,,,,,,,,,,,,,1794
Tre Flowers,Sea,CB,,,,,,,,,,,70,0,1,1,2,0,0,15.7,,,,,,,,,,,,,,,,,,1795
Lamarcus Joyner,Oak,CB,,,,,,,,,,,72,1,0,0,1,0,0,14.1,,,,,,,,,,,,,,,,,,1796
Johnathan Joseph,Hou,CB,,,,,,,,,,,69,0,0,0,2,0,0,17.7,,,,,,,,,,,,,,,,,,1797
Pierre Desir,Ind,CB,,,,,,,,,,,69,0,1,1,2,0,0,15,,,,,,,,,,,,,,,,,,1798
Ronald Darby,Phi,CB,,,,,,,,,,,68,0,0,0,2,0,0,18.3,,,,,,,,,,,,,,,,,,1799
Jalen Ramsey,Jax,CB,,,,,,,,,,,66,0,0,0,2,0,0,18.2,,,,,,,,,,,,,,,,,,1800
Quinton Dunbar,Wsh,CB,,,,,,,,,,,65,1,0,0,2,0,0,18.9,,,,,,,,,,,,,,,,,,1801
Chris Harris Jr.,Den,CB,,,,,,,,,,,64,1,0,0,3,0,0,18,,,,,,,,,,,,,,,,,,1802
Josh Norman,Wsh,CB,,,,,,,,,,,65,0,1,1,2,0,0,17,,,,,,,,,,,,,,,,,,1803
Stephon Gilmore,NE,CB,,,,,,,,,,,53,1,1,1,3,0,0,23.8,,,,,,,,,,,,,,,,,,1804
Desmond Trufant,Atl,CB,,,,,,,,,,,66,1,0,0,2,0,0,16,,,,,,,,,,,,,,,,,,1805
Terrance Mitchell,Cle,CB,,,,,,,,,,,62,0,1,1,2,0,0,19.5,,,,,,,,,,,,,,,,,,1806
Byron Jones,Dal,CB,,,,,,,,,,,67,0,0,0,2,0,0,17.3,,,,,,,,,,,,,,,,,,1807
Jimmy Smith,Bal,CB,,,,,,,,,,,65,0,0,0,2,0,0,18,,,,,,,,,,,,,,,,,,1808
Trumaine Johnson,NYJ,CB,,,,,,,,,,,62,0,1,1,3,0,0,17.5,,,,,,,,,,,,,,,,,,1809
Deandre Baker,NYG,CB,,,,,,,,,,,64,1,1,1,1,0,0,15.4,,,,,,,,,,,,,,,,,,1810
Shaquill Griffin,Sea,CB,,,,,,,,,,,66,0,0,0,2,0,0,14.6,,,,,,,,,,,,,,,,,,1811
A.J. Bouye,Jax,CB,,,,,,,,,,,67,0,0,0,1,0,0,15.7,,,,,,,,,,,,,,,,,,1812
Kyle Fuller,Chi,CB,,,,,,,,,,,59,0,0,0,3,0,0,21.7,,,,,,,,,,,,,,,,,,1813
Xavien Howard,Mia,CB,,,,,,,,,,,55,0,1,0,3,0,0,21.7,,,,,,,,,,,,,,,,,,1814
Byron Murphy,Ari,CB,,,,,,,,,,,63,0,1,0,1,0,0,14.6,,,,,,,,,,,,,,,,,,1815
Desmond King,LAC,CB,,,,,,,,,,,59,1,0,0,2,0,0,13.5,,,,,,,,,,,,,,,,,,1816
Darryl Roberts,NYJ,CB,,,,,,,,,,,61,0,0,0,1,0,0,14.4,,,,,,,,,,,,,,,,,,1817
Steven Nelson,Pit,CB,,,,,,,,,,,57,0,0,0,2,0,0,18.4,,,,,,,,,,,,,,,,,,1818
Trae Waynes,Min,CB,,,,,,,,,,,62,0,0,0,1,0,0,14.9,,,,,,,,,,,,,,,,,,1819
Vernon Hargreaves,TB,CB,,,,,,,,,,,61,0,1,1,1,0,0,12.9,,,,,,,,,,,,,,,,,,1820
Marlon Humphrey,Bal,CB,,,,,,,,,,,51,0,1,1,2,0,0,19.8,,,,,,,,,,,,,,,,,,1821
Darius Slay,Det,CB,,,,,,,,,,,52,0,0,0,3,0,0,21,,,,,,,,,,,,,,,,,,1822
Tre'Davious White,Buf,CB,,,,,,,,,,,59,0,0,0,2,0,0,15.2,,,,,,,,,,,,,,,,,,1823
William Jackson,Cin,CB,,,,,,,,,,,55,0,0,0,2,0,0,16.8,,,,,,,,,,,,,,,,,,1824
Bradley Roby,Hou,CB,,,,,,,,,,,53,0,1,1,1,0,0,17.4,,,,,,,,,,,,,,,,,,1825
Carlton Davis,TB,CB,,,,,,,,,,,57,0,1,1,1,0,0,13.8,,,,,,,,,,,,,,,,,,1826
Marcus Peters,LAR,CB,,,,,,,,,,,54,0,0,0,2,0,0,16.1,,,,,,,,,,,,,,,,,,1827
Rashaan Melvin,Det,CB,,,,,,,,,,,56,0,1,0,1,0,0,15.2,,,,,,,,,,,,,,,,,,1828
Damontae Kazee,Atl,CB,,,,,,,,,,,55,0,1,1,2,0,0,13.6,,,,,,,,,,,,,,,,,,1829
Gareon Conley,Oak,CB,,,,,,,,,,,52,0,0,0,2,0,0,17.6,,,,,,,,,,,,,,,,,,1830
J.C. Jackson,NE,CB,,,,,,,,,,,51,0,0,0,3,0,0,15.9,,,,,,,,,,,,,,,,,,1831
Casey Hayward,LAC,CB,,,,,,,,,,,54,0,0,0,2,0,0,14.9,,,,,,,,,,,,,,,,,,1832
Richard Sherman,SF,CB,,,,,,,,,,,51,1,0,0,1,0,0,13.6,,,,,,,,,,,,,,,,,,1833
Kevin King,GB,CB,,,,,,,,,,,55,0,0,0,1,0,0,12,,,,,,,,,,,,,,,,,,1834
Aqib Talib,LAR,CB,,,,,,,,,,,52,0,1,1,2,0,0,14.7,,,,,,,,,,,,,,,,,,1835
Jason Verrett,SF,CB,,,,,,,,,,,54,0,1,0,1,0,0,12.5,,,,,,,,,,,,,,,,,,1836
Dre Kirkpatrick,Cin,CB,,,,,,,,,,,51,0,0,0,2,0,0,14.6,,,,,,,,,,,,,,,,,,1837
Malcolm Butler,Ten,CB,,,,,,,,,,,48,1,1,1,2,0,0,14,,,,,,,,,,,,,,,,,,1838
Bryce Callahan,Den,CB,,,,,,,,,,,51,1,0,0,2,0,0,11.9,,,,,,,,,,,,,,,,,,1839
Bashaud Breeland,KC,CB,,,,,,,,,,,48,0,1,0,2,0,0,15.2,,,,,,,,,,,,,,,,,,1840
K'Waun Williams,SF,CB,,,,,,,,,,,50,0,1,0,1,0,0,10.3,,,,,,,,,,,,,,,,,,1841
Patrick Robinson,NO,CB,,,,,,,,,,,44,1,1,0,2,0,0,15.9,,,,,,,,,,,,,,,,,,1842
Avonte Maddox,Phi,CB,,,,,,,,,,,48,0,1,1,1,0,0,12.1,,,,,,,,,,,,,,,,,,1843
Jason McCourty,NE,CB,,,,,,,,,,,49,0,1,0,1,0,0,13,,,,,,,,,,,,,,,,,,1844
M.J. Stewart,TB,CB,,,,,,,,,,,50,0,0,0,1,0,0,9.9,,,,,,,,,,,,,,,,,,1845
Mike Hilton,Pit,CB,,,,,,,,,,,46,1,0,0,1,0,0,10.7,,,,,,,,,,,,,,,,,,1846
