Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
J.J. Watt,Hou,"DE, EDR",,,,,,,,,,,58.0,12.0,4.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1238
Khalil Mack,Chi,"DE, EDR",,,,,,,,,,,61.0,12.0,4.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1239
Danielle Hunter,Min,"DE, EDR",,,,,,,,,,,70.0,13.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1240
Joey Bosa,LAC,"DE, EDR",,,,,,,,,,,64.0,13.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1241
Calais Campbell,Jax,"DE, EDR",,,,,,,,,,,69.0,10.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1242
Cameron Jordan,NO,"DE, EDR",,,,,,,,,,,54.0,13.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1243
DeMarcus Lawrence,Dal,"DE, EDR",,,,,,,,,,,66.0,9.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1244
Trey Flowers,Det,"DE, EDR",,,,,,,,,,,62.0,9.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1245
Dee Ford,SF,"DE, EDR",,,,,,,,,,,48.0,10.0,4.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1246
Justin Houston,Ind,"DE, EDR",,,,,,,,,,,45.0,10.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1247
Bradley Chubb,Den,"DE, EDR",,,,,,,,,,,56.0,10.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1248
Frank Clark,KC,"DE, EDR",,,,,,,,,,,43.0,12.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1249
