Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
J.J. Watt,Hou,DE,,,,,,,,,,,58,13,4,3,0,0,0,,,,,,,,,,,,,,,,,,,1106
Khalil Mack,Chi,DE,,,,,,,,,,,61,12,4,3,0,0,0,,,,,,,,,,,,,,,,,,,1107
Danielle Hunter,Min,DE,,,,,,,,,,,70,13,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1108
Joey Bosa,LAC,DE,,,,,,,,,,,64,13,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1109
Calais Campbell,Jax,DE,,,,,,,,,,,69,10,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1110
DeMarcus Lawrence,Dal,DE,,,,,,,,,,,66,9,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1111
Cameron Jordan,NO,DE,,,,,,,,,,,54,13,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1112
Trey Flowers,Det,DE,,,,,,,,,,,62,9,3,2,0,0,0,,,,,,,,,,,,,,,,,,,1113
Dee Ford,SF,DE,,,,,,,,,,,48,10,4,3,0,0,0,,,,,,,,,,,,,,,,,,,1114
Justin Houston,Ind,DE,,,,,,,,,,,45,10,4,2,0,0,0,,,,,,,,,,,,,,,,,,,1115
Bradley Chubb,Den,DE,,,,,,,,,,,56,10,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1116
Frank Clark,KC,DE,,,,,,,,,,,43,12,3,2,0,0,0,,,,,,,,,,,,,,,,,,,1117
Jadeveon Clowney,Hou,DE,,,,,,,,,,,52,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1118
Myles Garrett,Cle,DE,,,,,,,,,,,40,11,2,2,0,0,0,,,,,,,,,,,,,,,,,,,1119
Melvin Ingram,LAC,DE,,,,,,,,,,,48,8,2,1,1,0,0,,,,,,,,,,,,,,,,,,,1120
Carlos Dunlap,Cin,DE,,,,,,,,,,,45,7,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1121
Dante Fowler Jr.,LAR,DE,,,,,,,,,,,44,7,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1122
Ezekiel Ansah,Sea,DE,,,,,,,,,,,47,9,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1123
Nick Bosa,SF,DE,,,,,,,,,,,44,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1124
Marcus Davenport,NO,DE,,,,,,,,,,,43,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1125
Everson Griffen,Min,DE,,,,,,,,,,,46,9,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1126
Derek Barnett,Phi,DE,,,,,,,,,,,38,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,1127
Brandon Graham,Phi,DE,,,,,,,,,,,42,6,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1128
Jerry Hughes,Buf,DE,,,,,,,,,,,39,6,2,1,0,0,0,,,,,,,,,,,,,,,,,,,1129
Jabaal Sheard,Ind,DE,,,,,,,,,,,48,6,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1130
