Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Bears D/ST,Chi,D/ST,,,,,,,,,,,900.0,44.0,17.0,11.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2289
Jaguars D/ST,Jax,D/ST,,,,,,,,,,,880.0,41.0,10.0,7.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2290
Bills D/ST,Buf,D/ST,,,,,,,,,,,898.0,31.0,15.0,10.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2291
Rams D/ST,LAR,D/ST,,,,,,,,,,,921.0,44.0,14.0,9.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2292
Vikings D/ST,Min,D/ST,,,,,,,,,,,918.0,41.0,11.0,7.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2293
Saints D/ST,NO,D/ST,,,,,,,,,,,913.0,48.0,15.0,10.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2294
Eagles D/ST,Phi,D/ST,,,,,,,,,,,877.0,44.0,14.0,9.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2295
Chargers D/ST,LAC,D/ST,,,,,,,,,,,920.0,41.0,10.0,7.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2296
Patriots D/ST,NE,D/ST,,,,,,,,,,,871.0,37.0,12.0,8.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2297
Titans D/ST,Ten,D/ST,,,,,,,,,,,953.0,41.0,13.0,8.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2298
Broncos D/ST,Den,D/ST,,,,,,,,,,,912.0,41.0,13.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2299
Colts D/ST,Ind,D/ST,,,,,,,,,,,935.0,41.0,15.0,10.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2300
Browns D/ST,Cle,D/ST,,,,,,,,,,,897.0,42.0,14.0,9.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2301
Steelers D/ST,Pit,D/ST,,,,,,,,,,,897.0,47.0,13.0,8.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2302
Panthers D/ST,Car,D/ST,,,,,,,,,,,917.0,48.0,15.0,10.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2303
Texans D/ST,Hou,D/ST,,,,,,,,,,,908.0,31.0,15.0,10.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2304
Ravens D/ST,Bal,D/ST,,,,,,,,,,,919.0,32.0,12.0,8.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2305
Redskins D/ST,Wsh,D/ST,,,,,,,,,,,953.0,47.0,14.0,9.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2306
Chiefs D/ST,KC,D/ST,,,,,,,,,,,964.0,45.0,13.0,8.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2307
Cowboys D/ST,Dal,D/ST,,,,,,,,,,,940.0,35.0,13.0,9.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2308
Lions D/ST,Det,D/ST,,,,,,,,,,,887.0,35.0,12.0,8.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2309
49ers D/ST,SF,D/ST,,,,,,,,,,,924.0,42.0,14.0,9.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2310
Seahawks D/ST,Sea,D/ST,,,,,,,,,,,962.0,36.0,12.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2311
Jets D/ST,NYJ,D/ST,,,,,,,,,,,934.0,34.0,12.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2312
Cardinals D/ST,Ari,D/ST,,,,,,,,,,,899.0,43.0,15.0,10.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2313
Falcons D/ST,Atl,D/ST,,,,,,,,,,,937.0,39.0,14.0,9.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2314
Packers D/ST,GB,D/ST,,,,,,,,,,,893.0,39.0,9.0,6.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2315
Giants D/ST,NYG,D/ST,,,,,,,,,,,968.0,34.0,10.0,7.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2316
Bengals D/ST,Cin,D/ST,,,,,,,,,,,932.0,34.0,10.0,7.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2317
Buccaneers D/ST,TB,D/ST,,,,,,,,,,,929.0,33.0,12.0,7.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2318
Raiders D/ST,Oak,D/ST,,,,,,,,,,,918.0,26.0,10.0,6.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2319
Dolphins D/ST,Mia,D/ST,,,,,,,,,,,933.0,21.0,10.0,6.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2320
