Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Aaron Donald,LAR,DT,,,,,,,,,,,58.0,16.0,2.0,1.0,0.0,0.0,0.0,4.1,,,,,,,,,,,,,,,,,,965
DeForest Buckner,SF,DT,,,,,,,,,,,65.0,9.0,0.0,0.0,0.0,0.0,0.0,3.6,,,,,,,,,,,,,,,,,,966
Akiem Hicks,Chi,DT,,,,,,,,,,,56.0,7.0,2.0,1.0,0.0,0.0,0.0,6.7,,,,,,,,,,,,,,,,,,967
Jurrell Casey,Ten,DT,,,,,,,,,,,62.0,6.0,2.0,1.0,0.0,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,968
Chris Jones,KC,DT,,,,,,,,,,,37.0,11.0,2.0,1.0,0.0,0.0,0.0,8.6,,,,,,,,,,,,,,,,,,969
Kenny Clark,GB,DT,,,,,,,,,,,66.0,6.0,1.0,1.0,0.0,0.0,0.0,4.4,,,,,,,,,,,,,,,,,,970
Cameron Heyward,Pit,DT,,,,,,,,,,,52.0,8.0,1.0,1.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,971
Grady Jarrett,Atl,DT,,,,,,,,,,,55.0,6.0,2.0,1.0,0.0,0.0,0.0,3.1,,,,,,,,,,,,,,,,,,972
Jonathan Allen,Wsh,DT,,,,,,,,,,,60.0,6.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,973
Fletcher Cox,Phi,DT,,,,,,,,,,,44.0,9.0,1.0,1.0,0.0,0.0,0.0,2.4,,,,,,,,,,,,,,,,,,974
Daron Payne,Wsh,DT,,,,,,,,,,,58.0,5.0,1.0,1.0,0.0,0.0,0.0,4.1,,,,,,,,,,,,,,,,,,975
Kawann Short,Car,DT,,,,,,,,,,,50.0,5.0,1.0,1.0,0.0,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,976
B.J. Hill,NYG,DT,,,,,,,,,,,57.0,5.0,0.0,0.0,0.0,0.0,0.0,2.6,,,,,,,,,,,,,,,,,,977
Geno Atkins,Cin,DT,,,,,,,,,,,42.0,8.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,978
Stephon Tuitt,Pit,DT,,,,,,,,,,,48.0,5.0,1.0,0.0,0.0,0.0,0.0,4.7,,,,,,,,,,,,,,,,,,979
Linval Joseph,Min,DT,,,,,,,,,,,63.0,2.0,1.0,1.0,0.0,0.0,0.0,2.3,,,,,,,,,,,,,,,,,,980
Sheldon Rankins,NO,DT,,,,,,,,,,,38.0,7.0,1.0,1.0,0.0,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,981
Denico Autry,Ind,DT,,,,,,,,,,,37.0,7.0,1.0,1.0,0.0,0.0,0.0,3.9,,,,,,,,,,,,,,,,,,982
Damon Harrison,Det,DT,,,,,,,,,,,61.0,3.0,1.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,983
Ndamukong Suh,TB,DT,,,,,,,,,,,55.0,5.0,0.0,0.0,0.0,0.0,0.0,3.8,,,,,,,,,,,,,,,,,,984
Larry Ogunjobi,Cle,DT,,,,,,,,,,,47.0,4.0,1.0,1.0,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,985
Leonard Williams,NYJ,DT,,,,,,,,,,,45.0,5.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,986
Rodney Gunter,Ari,DT,,,,,,,,,,,43.0,4.0,1.0,1.0,0.0,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,987
Quinnen Williams,NYJ,DT,,,,,,,,,,,44.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,988
Sheldon Richardson,Cle,DT,,,,,,,,,,,49.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,989
Ed Oliver,Buf,DT,,,,,,,,,,,43.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,990
Michael Brockers,LAR,DT,,,,,,,,,,,56.0,2.0,0.0,0.0,0.0,0.0,0.0,2.2,,,,,,,,,,,,,,,,,,991
Adam Gotsis,Den,DT,,,,,,,,,,,43.0,3.0,1.0,1.0,0.0,0.0,0.0,6.4,,,,,,,,,,,,,,,,,,992
Tyrone Crawford,Dal,DT,,,,,,,,,,,39.0,5.0,1.0,1.0,0.0,0.0,0.0,3.1,,,,,,,,,,,,,,,,,,993
Dean Lowry,GB,DT,,,,,,,,,,,42.0,3.0,1.0,0.0,0.0,0.0,0.0,3.7,,,,,,,,,,,,,,,,,,994
Corey Peters,Ari,DT,,,,,,,,,,,48.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,995
Vita Vea,TB,DT,,,,,,,,,,,43.0,4.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,996
Margus Hunt,Ind,DT,,,,,,,,,,,33.0,4.0,1.0,0.0,0.0,0.0,0.0,3.1,,,,,,,,,,,,,,,,,,997
Derek Wolfe,Den,DT,,,,,,,,,,,46.0,3.0,0.0,0.0,0.0,0.0,0.0,5.5,,,,,,,,,,,,,,,,,,998
Christian Wilkins,Mia,DT,,,,,,,,,,,41.0,3.0,1.0,0.0,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,999
Dalvin Tomlinson,NYG,DT,,,,,,,,,,,54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1000
Javon Hargrave,Pit,DT,,,,,,,,,,,42.0,4.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,1001
Lawrence Guy,NE,DT,,,,,,,,,,,51.0,2.0,1.0,0.0,0.0,0.0,0.0,1.6,,,,,,,,,,,,,,,,,,1002
Davon Godchaux,Mia,DT,,,,,,,,,,,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,1003
Maurice Hurst,Oak,DT,,,,,,,,,,,37.0,3.0,1.0,1.0,0.0,0.0,0.0,3.1,,,,,,,,,,,,,,,,,,1004
Malik Jackson,Phi,DT,,,,,,,,,,,32.0,5.0,1.0,0.0,0.0,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,1005
Gerald McCoy,Car,DT,,,,,,,,,,,31.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1006
Dexter Lawrence,NYG,DT,,,,,,,,,,,36.0,3.0,1.0,0.0,0.0,0.0,0.0,1.7,,,,,,,,,,,,,,,,,,1007
Eddie Goldman,Chi,DT,,,,,,,,,,,43.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1008
Jarran Reed,Sea,DT,,,,,,,,,,,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,1009
Marcell Dareus,Jax,DT,,,,,,,,,,,40.0,3.0,1.0,0.0,0.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,1010
Henry Anderson,NYJ,DT,,,,,,,,,,,33.0,4.0,0.0,0.0,0.0,0.0,0.0,3.2,,,,,,,,,,,,,,,,,,1011
Da'Shawn Hand,Det,DT,,,,,,,,,,,33.0,3.0,1.0,1.0,0.0,0.0,0.0,2.2,,,,,,,,,,,,,,,,,,1012
Shelby Harris,Den,DT,,,,,,,,,,,38.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1013
Poona Ford,Sea,DT,,,,,,,,,,,42.0,2.0,0.0,0.0,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,1014
D.J. Reader,Hou,DT,,,,,,,,,,,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,1015
Taven Bryan,Jax,DT,,,,,,,,,,,36.0,3.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,1016
David Onyemata,NO,DT,,,,,,,,,,,35.0,3.0,1.0,0.0,0.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,1017
Matt Ioannidis,Wsh,DT,,,,,,,,,,,30.0,4.0,1.0,1.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,1018
Derrick Nnadi,KC,DT,,,,,,,,,,,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,1019
Vincent Taylor,Mia,DT,,,,,,,,,,,37.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,1020
Michael Pierce,Bal,DT,,,,,,,,,,,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,1021
Zach Allen,Ari,DT,,,,,,,,,,,35.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1022
Mike Daniels,Det,DT,,,,,,,,,,,34.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1023
P.J. Hall,Oak,DT,,,,,,,,,,,36.0,2.0,0.0,0.0,0.0,0.0,0.0,2.2,,,,,,,,,,,,,,,,,,1024
Bilal Nichols,Chi,DT,,,,,,,,,,,29.0,2.0,1.0,1.0,0.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,1025
Malcom Brown,NO,DT,,,,,,,,,,,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1026
Greg Gaines,LAR,DT,,,,,,,,,,,36.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1027
Brandon Mebane,LAC,DT,,,,,,,,,,,37.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,1028
Jerry Tillery,LAC,DT,,,,,,,,,,,30.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1029
Antwaun Woods,Dal,DT,,,,,,,,,,,36.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,1030
Brandon Williams,Bal,DT,,,,,,,,,,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7,,,,,,,,,,,,,,,,,,1031
Maliek Collins,Dal,DT,,,,,,,,,,,27.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1032
Solomon Thomas,SF,DT,,,,,,,,,,,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1033
Adam Butler,NE,DT,,,,,,,,,,,24.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1034
Quinton Jefferson,Sea,DT,,,,,,,,,,,30.0,3.0,0.0,0.0,0.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,1035
Jack Crawford,Atl,DT,,,,,,,,,,,25.0,3.0,0.0,0.0,0.0,0.0,0.0,1.6,,,,,,,,,,,,,,,,,,1036
Abry Jones,Jax,DT,,,,,,,,,,,32.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4,,,,,,,,,,,,,,,,,,1037
Dre'Mont Jones,Den,DT,,,,,,,,,,,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,1038
Johnathan Hankins,Oak,DT,,,,,,,,,,,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1039
DaQuan Jones,Ten,DT,,,,,,,,,,,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,1040
Tyler Lancaster,GB,DT,,,,,,,,,,,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,1041
Tim Jernigan,Phi,DT,,,,,,,,,,,22.0,3.0,0.0,0.0,0.0,0.0,0.0,1.6,,,,,,,,,,,,,,,,,,1042
Harrison Phillips,Buf,DT,,,,,,,,,,,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1043
Chris Wormley,Bal,DT,,,,,,,,,,,26.0,2.0,0.0,0.0,0.0,0.0,0.0,2.9,,,,,,,,,,,,,,,,,,1044
Ryan Glasgow,Cin,DT,,,,,,,,,,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1045
A'Shawn Robinson,Det,DT,,,,,,,,,,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9,,,,,,,,,,,,,,,,,,1046
Khalen Saunders,KC,DT,,,,,,,,,,,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1047
Jaleel Johnson,Min,DT,,,,,,,,,,,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,1048
Shamar Stephen,Min,DT,,,,,,,,,,,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1049
Justin Jones,LAC,DT,,,,,,,,,,,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1050
Deadrin Senat,Atl,DT,,,,,,,,,,,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,1051
Danny Shelton,NE,DT,,,,,,,,,,,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,1052
Andrew Billings,Cin,DT,,,,,,,,,,,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,1053
Angelo Blackson,Hou,DT,,,,,,,,,,,25.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,,,,,,,,,,,,,,,,,,1054
Beau Allen,TB,DT,,,,,,,,,,,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1055
Brandon Dunn,Hou,DT,,,,,,,,,,,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1056
Corey Liuget,Oak,DT,,,,,,,,,,,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,,,,,,,,,,,,,,,,,,1057
Carlos Watkins,Hou,DT,,,,,,,,,,,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1058
Roy Robertson-Harris,Chi,DT,,,,,,,,,,,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,1059
Patrick Ricard,Bal,DT,,,,,,,,,,,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1060
Xavier Williams,KC,DT,,,,,,,,,,,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1061
Dontari Poe,Car,DT,,,,,,,,,,,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1062
Star Lotulelei,Buf,DT,,,,,,,,,,,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,1063
Damion Square,LAC,DT,,,,,,,,,,,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,1064
Jihad Ward,Ind,DT,,,,,,,,,,,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1065
Trysten Hill,Dal,DT,,,,,,,,,,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,1066
Jordan Phillips,Buf,DT,,,,,,,,,,,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8,,,,,,,,,,,,,,,,,,1067
Sebastian Joseph-Day,LAR,DT,,,,,,,,,,,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,1068
Tyson Alualu,Pit,DT,,,,,,,,,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,1069
Al Woods,Sea,DT,,,,,,,,,,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1070
Kingsley Keke,GB,DT,,,,,,,,,,,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1071
Austin Johnson,Ten,DT,,,,,,,,,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1072
Steve McLendon,NYJ,DT,,,,,,,,,,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1073
D.J. Jones,SF,DT,,,,,,,,,,,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,1074
Tyquan Lewis,Ind,DT,,,,,,,,,,,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,1075
Daylon Mack,Bal,DT,,,,,,,,,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1076
William Gholston,TB,DT,,,,,,,,,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,1077
Allen Bailey,Atl,DT,,,,,,,,,,,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,1078
Jalyn Holmes,Min,DT,,,,,,,,,,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1079
Kyle Love,Car,DT,,,,,,,,,,,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,1080
Brent Urban,Ten,DT,,,,,,,,,,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1081
Devaroe Lawrence,Cle,DT,,,,,,,,,,,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,1082
Montravius Adams,GB,DT,,,,,,,,,,,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1083
