Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Saints Coach,NO,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,94.0,,,,,,,,,,,2428
Rams Coach,LAR,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,83.0,,,,,,,,,,,2429
Eagles Coach,Phi,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,93.0,,,,,,,,,,,2430
Patriots Coach,NE,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,96.0,,,,,,,,,,,2431
Chargers Coach,LAC,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,69.0,,,,,,,,,,,2432
Chiefs Coach,KC,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,63.0,,,,,,,,,,,2433
Bears Coach,Chi,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,36.0,,,,,,,,,,,2434
Browns Coach,Cle,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,60.0,,,,,,,,,,,2435
Falcons Coach,Atl,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,28.0,,,,,,,,,,,2436
Vikings Coach,Min,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,22.0,,,,,,,,,,,2437
Packers Coach,GB,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,35.0,,,,,,,,,,,2438
Cowboys Coach,Dal,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,33.0,,,,,,,,,,,2439
Texans Coach,Hou,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,25.0,,,,,,,,,,,2440
Steelers Coach,Pit,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,31.0,,,,,,,,,,,2441
Seahawks Coach,Sea,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-4.0,,,,,,,,,,,2442
Jaguars Coach,Jax,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-11.0,,,,,,,,,,,2443
Titans Coach,Ten,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-10.0,,,,,,,,,,,2444
Panthers Coach,Car,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-12.0,,,,,,,,,,,2445
Lions Coach,Det,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-18.0,,,,,,,,,,,2446
Ravens Coach,Bal,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-6.0,,,,,,,,,,,2447
49ers Coach,SF,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-26.0,,,,,,,,,,,2448
Colts Coach,Ind,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-35.0,,,,,,,,,,,2449
Buccaneers Coach,TB,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-54.0,,,,,,,,,,,2450
Broncos Coach,Den,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-62.0,,,,,,,,,,,2451
Bills Coach,Buf,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-24.0,,,,,,,,,,,2452
Jets Coach,NYJ,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-23.0,,,,,,,,,,,2453
Cardinals Coach,Ari,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-59.0,,,,,,,,,,,2454
Bengals Coach,Cin,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-54.0,,,,,,,,,,,2455
Raiders Coach,Oak,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-71.0,,,,,,,,,,,2456
Giants Coach,NYG,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-64.0,,,,,,,,,,,2457
Redskins Coach,Wsh,HC,,,,,,,,,,,,,,,,,,,,,,,,4.0,-108.0,,,,,,,,,,,2458
Dolphins Coach,Mia,HC,,,,,,,,,,,,,,,,,,,,,,,,4.0,-127.0,,,,,,,,,,,2459
