Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Greg Zuerlein,LAR,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,9.0,11.0,4.0,6.0,44.0,45.0,2321
Justin Tucker,Bal,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,21.0,10.0,12.0,4.0,6.0,31.0,32.0,2322
Wil Lutz,NO,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,9.0,3.0,5.0,47.0,48.0,2323
Harrison Butker,KC,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,7.0,9.0,3.0,5.0,50.0,53.0,2324
Stephen Gostkowski,NE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,7.0,9.0,3.0,5.0,47.0,50.0,2325
Ka'imi Fairbairn,Hou,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,19.0,9.0,11.0,4.0,5.0,38.0,40.0,2326
Robbie Gould,SF,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,8.0,10.0,3.0,5.0,37.0,37.0,2327
Mike Badgley,LAC,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,8.0,10.0,3.0,5.0,40.0,42.0,2328
Matt Bryant,Atl,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,9.0,3.0,5.0,43.0,43.0,2329
Brett Maher,Dal,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,18.0,8.0,10.0,3.0,5.0,39.0,43.0,2330
Matt Prater,Det,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,9.0,3.0,5.0,35.0,36.0,2331
Jake Elliott,Phi,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,18.0,8.0,10.0,3.0,5.0,41.0,43.0,2332
Mason Crosby,GB,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,18.0,8.0,10.0,3.0,5.0,40.0,43.0,2333
Ryan Succop,Ten,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,9.0,3.0,5.0,32.0,33.0,2334
Aldrick Rosas,NYG,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,18.0,8.0,10.0,3.0,5.0,33.0,34.0,2335
Matt Gay,TB,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,8.0,10.0,3.0,5.0,35.0,37.0,2336
Adam Vinatieri,Ind,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,7.0,9.0,3.0,4.0,31.0,33.0,2337
Dan Bailey,Min,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,7.0,10.0,3.0,5.0,34.0,37.0,2338
Jason Myers,Sea,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,7.0,8.0,3.0,4.0,41.0,42.0,2339
Daniel Carlson,Oak,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,32.0,34.0,2340
Chris Boswell,Pit,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,4.0,39.0,42.0,2341
Austin Seibert,Cle,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,40.0,43.0,2342
Joey Slye,Car,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,36.0,39.0,2343
Brandon McManus,Den,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,4.0,29.0,31.0,2344
Stephen Hauschka,Buf,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,30.0,32.0,2345
Eddy Pineiro,Chi,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,35.0,37.0,2346
Josh Lambo,Jax,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,30.0,31.0,2347
Zane Gonzalez,Ari,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,18.0,7.0,10.0,3.0,5.0,31.0,35.0,2348
Randy Bullock,Cin,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,4.0,32.0,34.0,2349
Dustin Hopkins,Wsh,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,6.0,8.0,3.0,4.0,28.0,29.0,2350
Kaare Vedvik,NYJ,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,7.0,9.0,3.0,5.0,33.0,35.0,2351
