Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Saquon Barkley,NYG,RB,0.0,0.0,0.0,281.0,1293.0,10.0,116.0,88.0,710.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,128
Alvin Kamara,NO,RB,0.0,0.0,0.0,206.0,914.0,10.0,103.0,82.0,731.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,129
Christian McCaffrey,Car,RB,0.0,0.0,0.0,225.0,1018.0,7.0,115.0,93.0,767.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,130
Ezekiel Elliott,Dal,RB,0.0,0.0,0.0,268.0,1186.0,9.0,81.0,65.0,514.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,131
David Johnson,Ari,RB,0.0,0.0,0.0,270.0,1080.0,8.0,93.0,64.0,632.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,132
Le'Veon Bell,NYJ,RB,0.0,0.0,0.0,250.0,1124.0,6.0,83.0,64.0,509.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,133
Todd Gurley II,LAR,RB,0.0,0.0,0.0,228.0,1054.0,12.0,58.0,43.0,396.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,134
Joe Mixon,Cin,RB,0.0,0.0,0.0,259.0,1165.0,9.0,67.0,52.0,399.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,135
James Conner,Pit,RB,0.0,0.0,0.0,235.0,1028.0,10.0,63.0,50.0,411.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,136
Nick Chubb,Cle,RB,0.0,0.0,0.0,259.0,1184.0,9.0,46.0,36.0,290.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,137
Dalvin Cook,Min,RB,0.0,0.0,0.0,261.0,1167.0,6.0,69.0,54.0,423.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,138
Devonta Freeman,Atl,RB,0.0,0.0,0.0,209.0,885.0,8.0,62.0,49.0,421.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,139
Derrick Henry,Ten,RB,0.0,0.0,0.0,285.0,1264.0,12.0,23.0,18.0,154.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,140
