Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
John Johnson III,LAR,S,,,,,,,,,,,119,0,1,1,3,0,0,18.2,,,,,,,,,,,,,,,,,,2070
Jamal Adams,NYJ,S,,,,,,,,,,,107,2,3,2,1,0,0,15.2,,,,,,,,,,,,,,,,,,2071
Landon Collins,Wsh,S,,,,,,,,,,,118,1,1,1,1,0,0,9.4,,,,,,,,,,,,,,,,,,2072
Shawn Williams,Cin,S,,,,,,,,,,,109,1,1,1,3,0,0,17.3,,,,,,,,,,,,,,,,,,2073
Keanu Neal,Atl,S,,,,,,,,,,,114,0,3,2,1,0,0,11.6,,,,,,,,,,,,,,,,,,2074
Jordan Poyer,Buf,S,,,,,,,,,,,98,2,1,1,3,0,0,14.6,,,,,,,,,,,,,,,,,,2075
Budda Baker,Ari,S,,,,,,,,,,,111,2,1,1,1,0,0,8,,,,,,,,,,,,,,,,,,2076
Bradley McDougald,Sea,S,,,,,,,,,,,93,0,2,2,2,0,0,17.4,,,,,,,,,,,,,,,,,,2077
Clayton Geathers,Ind,S,,,,,,,,,,,108,0,1,1,1,0,0,7.5,,,,,,,,,,,,,,,,,,2078
Malcolm Jenkins,Phi,S,,,,,,,,,,,92,1,2,2,1,0,0,11.7,,,,,,,,,,,,,,,,,,2079
Jessie Bates,Cin,S,,,,,,,,,,,103,0,0,0,2,0,0,12.1,,,,,,,,,,,,,,,,,,2080
Antoine Bethea,NYG,S,,,,,,,,,,,99,2,1,1,1,0,0,7.4,,,,,,,,,,,,,,,,,,2081
Harrison Smith,Min,S,,,,,,,,,,,86,2,1,1,2,0,0,11.8,,,,,,,,,,,,,,,,,,2082
Tyrann Mathieu,KC,S,,,,,,,,,,,92,2,1,0,2,0,0,11.4,,,,,,,,,,,,,,,,,,2083
Vonn Bell,NO,S,,,,,,,,,,,98,1,1,1,1,0,0,7.2,,,,,,,,,,,,,,,,,,2084
Kevin Byard,Ten,S,,,,,,,,,,,86,2,0,0,3,0,0,15,,,,,,,,,,,,,,,,,,2085
Reshad Jones,Mia,S,,,,,,,,,,,92,0,0,0,3,0,0,15.2,,,,,,,,,,,,,,,,,,2086
Ronnie Harrison,Jax,S,,,,,,,,,,,90,1,1,0,2,0,0,11.9,,,,,,,,,,,,,,,,,,2087
Tony Jefferson,Bal,S,,,,,,,,,,,89,1,1,1,1,0,0,9.8,,,,,,,,,,,,,,,,,,2088
D.J. Swearinger,Ari,S,,,,,,,,,,,75,1,3,2,3,0,0,19.6,,,,,,,,,,,,,,,,,,2089
Justin Reid,Hou,S,,,,,,,,,,,86,0,1,1,2,0,0,16.4,,,,,,,,,,,,,,,,,,2090
Eddie Jackson,Chi,S,,,,,,,,,,,74,1,2,1,3,0,0,18.7,,,,,,,,,,,,,,,,,,2091
Justin Evans,TB,S,,,,,,,,,,,95,0,0,0,2,0,0,9.8,,,,,,,,,,,,,,,,,,2092
Eric Reid,Car,S,,,,,,,,,,,93,1,0,0,1,0,0,9.9,,,,,,,,,,,,,,,,,,2093
Earl Thomas,Bal,S,,,,,,,,,,,84,0,1,0,3,0,0,17.1,,,,,,,,,,,,,,,,,,2094
Ha Ha Clinton-Dix,Chi,S,,,,,,,,,,,84,1,2,1,2,0,0,12.1,,,,,,,,,,,,,,,,,,2095
Justin Simmons,Den,S,,,,,,,,,,,91,0,0,0,2,0,0,9.7,,,,,,,,,,,,,,,,,,2096
Quandre Diggs,Det,S,,,,,,,,,,,82,0,0,0,2,0,0,13.6,,,,,,,,,,,,,,,,,,2097
Karl Joseph,Oak,S,,,,,,,,,,,86,2,0,0,1,0,0,8.3,,,,,,,,,,,,,,,,,,2098
Jaquiski Tartt,SF,S,,,,,,,,,,,86,1,0,0,1,0,0,7.7,,,,,,,,,,,,,,,,,,2099
Kenny Vaccaro,Ten,S,,,,,,,,,,,79,2,0,0,2,0,0,10,,,,,,,,,,,,,,,,,,2100
Nasir Adderley,LAC,S,,,,,,,,,,,80,1,0,0,2,0,0,12.2,,,,,,,,,,,,,,,,,,2101
Jabrill Peppers,NYG,S,,,,,,,,,,,85,1,0,0,1,0,0,8.2,,,,,,,,,,,,,,,,,,2102
Morgan Burnett,Cle,S,,,,,,,,,,,83,1,0,0,1,0,0,11,,,,,,,,,,,,,,,,,,2103
Damarious Randall,Cle,S,,,,,,,,,,,79,0,0,0,3,0,0,14.9,,,,,,,,,,,,,,,,,,2104
Johnathan Abram,Oak,S,,,,,,,,,,,80,1,1,1,2,0,0,11.2,,,,,,,,,,,,,,,,,,2105
Darnell Savage Jr.,GB,S,,,,,,,,,,,77,1,0,0,2,0,0,12,,,,,,,,,,,,,,,,,,2106
Sean Davis,Pit,S,,,,,,,,,,,86,0,0,0,1,0,0,10.2,,,,,,,,,,,,,,,,,,2107
Marcus Maye,NYJ,S,,,,,,,,,,,80,0,1,1,2,0,0,10.5,,,,,,,,,,,,,,,,,,2108
Adrian Amos,GB,S,,,,,,,,,,,74,1,0,0,2,0,0,14.9,,,,,,,,,,,,,,,,,,2109
Patrick Chung,NE,S,,,,,,,,,,,85,1,0,0,1,0,0,7.3,,,,,,,,,,,,,,,,,,2110
Rashaan Gaulden,Car,S,,,,,,,,,,,77,1,0,0,2,0,0,9.9,,,,,,,,,,,,,,,,,,2111
Adrian Phillips,LAC,S,,,,,,,,,,,76,0,1,1,2,0,0,11.2,,,,,,,,,,,,,,,,,,2112
Terrell Edmunds,Pit,S,,,,,,,,,,,80,1,0,0,1,0,0,7.8,,,,,,,,,,,,,,,,,,2113
Devin McCourty,NE,S,,,,,,,,,,,79,0,1,1,1,0,0,8.6,,,,,,,,,,,,,,,,,,2114
Jeff Heath,Dal,S,,,,,,,,,,,78,0,1,1,1,0,0,8,,,,,,,,,,,,,,,,,,2115
Anthony Harris,Min,S,,,,,,,,,,,75,0,0,0,2,0,0,12.6,,,,,,,,,,,,,,,,,,2116
Mike Edwards,TB,S,,,,,,,,,,,74,1,0,0,1,0,0,9.5,,,,,,,,,,,,,,,,,,2117
Eric Weddle,LAR,S,,,,,,,,,,,73,1,0,0,1,0,0,7.2,,,,,,,,,,,,,,,,,,2118
Micah Hyde,Buf,S,,,,,,,,,,,69,0,0,0,2,0,0,12.2,,,,,,,,,,,,,,,,,,2119
Xavier Woods,Dal,S,,,,,,,,,,,68,0,1,1,2,0,0,13.4,,,,,,,,,,,,,,,,,,2120
Tracy Walker,Det,S,,,,,,,,,,,69,1,0,0,2,0,0,10.8,,,,,,,,,,,,,,,,,,2121
Bobby McCain,Mia,S,,,,,,,,,,,68,1,0,0,1,0,0,9.4,,,,,,,,,,,,,,,,,,2122
Jarrod Wilson,Jax,S,,,,,,,,,,,68,1,0,0,1,0,0,10,,,,,,,,,,,,,,,,,,2123
Ricardo Allen,Atl,S,,,,,,,,,,,71,0,0,0,2,0,0,10.3,,,,,,,,,,,,,,,,,,2124
Marcus Williams,NO,S,,,,,,,,,,,63,1,1,1,2,0,0,9.6,,,,,,,,,,,,,,,,,,2125
Rodney McLeod,Phi,S,,,,,,,,,,,59,1,1,0,2,0,0,12.3,,,,,,,,,,,,,,,,,,2126
Montae Nicholson,Wsh,S,,,,,,,,,,,69,0,0,0,1,0,0,6.6,,,,,,,,,,,,,,,,,,2127
Jimmie Ward,SF,S,,,,,,,,,,,65,1,0,0,1,0,0,8.6,,,,,,,,,,,,,,,,,,2128
Daniel Sorensen,KC,S,,,,,,,,,,,62,1,0,0,2,0,0,8.9,,,,,,,,,,,,,,,,,,2129
Malik Hooker,Ind,S,,,,,,,,,,,64,0,0,0,2,0,0,9.3,,,,,,,,,,,,,,,,,,2130
Tashaun Gipson,Hou,S,,,,,,,,,,,59,0,0,0,1,0,0,7.9,,,,,,,,,,,,,,,,,,2131
Tre Boston,Car,S,,,,,,,,,,,55,0,1,0,2,0,0,10.3,,,,,,,,,,,,,,,,,,2132
M.J. Stewart,TB,S,,,,,,,,,,,50,0,0,0,1,0,0,9.9,,,,,,,,,,,,,,,,,,2133
Will Parks,Den,S,,,,,,,,,,,48,0,1,0,1,0,0,7.6,,,,,,,,,,,,,,,,,,2134
Tedric Thompson,Sea,S,,,,,,,,,,,52,0,0,0,1,0,0,5.7,,,,,,,,,,,,,,,,,,2135
Juan Thornhill,KC,S,,,,,,,,,,,41,0,0,0,1,0,0,6.1,,,,,,,,,,,,,,,,,,2136
Jahleel Addae,Hou,S,,,,,,,,,,,44,0,0,0,0,0,0,3.7,,,,,,,,,,,,,,,,,,2137
Marquise Blair,Sea,S,,,,,,,,,,,36,0,0,0,1,0,0,5.6,,,,,,,,,,,,,,,,,,2138
Will Harris,Det,S,,,,,,,,,,,36,0,0,0,1,0,0,4.4,,,,,,,,,,,,,,,,,,2139
Derwin James,LAC,S,,,,,,,,,,,33,1,0,0,1,0,0,4.7,,,,,,,,,,,,,,,,,,2140
Michael Thomas,NYG,S,,,,,,,,,,,30,0,0,0,1,0,0,4.5,,,,,,,,,,,,,,,,,,2141
Tarvarius Moore,SF,S,,,,,,,,,,,30,0,0,0,1,0,0,4.3,,,,,,,,,,,,,,,,,,2142
Duron Harmon,NE,S,,,,,,,,,,,27,0,0,0,1,0,0,5.9,,,,,,,,,,,,,,,,,,2143
Andrew Sendejo,Phi,S,,,,,,,,,,,27,0,0,0,1,0,0,3.3,,,,,,,,,,,,,,,,,,2144
