Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Travis Kelce,KC,TE,0.0,0.0,0.0,0.0,0.0,0.0,142.0,98.0,1230.0,10.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,775
George Kittle,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,125.0,82.0,1149.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,776
Zach Ertz,Phi,TE,0.0,0.0,0.0,0.0,0.0,0.0,119.0,86.0,872.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,777
O.J. Howard,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,86.0,58.0,799.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,778
Evan Engram,NYG,TE,0.0,0.0,0.0,4.0,14.0,0.0,101.0,66.0,789.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,779
Hunter Henry,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,79.0,54.0,687.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,780
Jared Cook,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,86.0,57.0,727.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,781
Vance McDonald,Pit,TE,0.0,0.0,0.0,0.0,0.0,0.0,82.0,55.0,657.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,782
David Njoku,Cle,TE,0.0,0.0,0.0,0.0,0.0,0.0,81.0,52.0,625.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,783
Delanie Walker,Ten,TE,0.0,0.0,0.0,0.0,0.0,0.0,81.0,56.0,666.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,784
Austin Hooper,Atl,TE,0.0,0.0,0.0,0.0,0.0,0.0,79.0,61.0,616.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,785
Trey Burton,Chi,TE,0.0,0.0,0.0,0.0,0.0,0.0,79.0,54.0,590.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,786
Mark Andrews,Bal,TE,0.0,0.0,0.0,0.0,0.0,0.0,75.0,48.0,650.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,787
Eric Ebron,Ind,TE,0.0,0.0,0.0,4.0,14.0,0.0,70.0,43.0,486.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,788
Greg Olsen,Car,TE,0.0,0.0,0.0,0.0,0.0,0.0,73.0,47.0,600.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,789
Jack Doyle,Ind,TE,0.0,0.0,0.0,0.0,0.0,0.0,75.0,57.0,519.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,790
Jordan Reed,Wsh,TE,0.0,0.0,0.0,0.0,0.0,0.0,89.0,60.0,610.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,791
Jimmy Graham,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,68.0,45.0,530.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,792
Kyle Rudolph,Min,TE,0.0,0.0,0.0,0.0,0.0,0.0,69.0,50.0,499.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,793
Chris Herndon,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,54.0,35.0,449.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,794
Darren Waller,Oak,TE,0.0,0.0,0.0,0.0,0.0,0.0,66.0,45.0,486.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,795
T.J. Hockenson,Det,TE,0.0,0.0,0.0,0.0,0.0,0.0,64.0,43.0,471.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,796
Will Dissly,Sea,TE,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35.0,438.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,797
Tyler Eifert,Cin,TE,0.0,0.0,0.0,0.0,0.0,0.0,56.0,39.0,466.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,798
Noah Fant,Den,TE,0.0,0.0,0.0,0.0,0.0,0.0,63.0,41.0,460.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,799
Dallas Goedert,Phi,TE,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,440.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,800
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34.0,385.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,801
Jordan Thomas,Hou,TE,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,276.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,802
Jason Witten,Dal,TE,0.0,0.0,0.0,0.0,0.0,0.0,67.0,48.0,471.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,803
Mike Gesicki,Mia,TE,0.0,0.0,0.0,0.0,0.0,0.0,61.0,41.0,458.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,804
Benjamin Watson,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,278.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,805
Matt LaCosse,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,151.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,806
Irv Smith Jr.,Min,TE,0.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,284.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,807
Hayden Hurst,Bal,TE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,295.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,808
Dawson Knox,Buf,TE,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,262.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,809
Josh Oliver,Jax,TE,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,177.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,810
