Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
DeAndre Hopkins,Hou,WR,0.0,0.0,0.0,0.0,0.0,0.0,154.0,101.0,1346.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,393
Davante Adams,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,147.0,98.0,1204.0,11.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,394
Tyreek Hill,KC,WR,0.0,0.0,0.0,17.0,127.0,1.0,131.0,83.0,1279.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,395
Michael Thomas,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,146.0,113.0,1312.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,396
Julio Jones,Atl,WR,0.0,0.0,0.0,2.0,11.0,0.0,147.0,95.0,1420.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,397
Odell Beckham Jr.,Cle,WR,0.0,0.0,0.0,4.0,23.0,0.0,140.0,88.0,1216.0,10.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,398
JuJu Smith-Schuster,Pit,WR,0.0,0.0,0.0,0.0,0.0,0.0,151.0,102.0,1306.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,399
Mike Evans,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,143.0,84.0,1351.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,400
Antonio Brown,Oak,WR,0.0,0.0,0.0,0.0,0.0,0.0,155.0,99.0,1215.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,401
Keenan Allen,LAC,WR,0.0,0.0,0.0,4.0,26.0,0.0,143.0,98.0,1232.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,402
