"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
1,"Collins, Landon","WAS","DB",85.6,27.9,0.,12.,3.4,2.8,0.4,0.,0.,0.,121.6
2,"Bethea, Antoine","NYG","DB",93.1,19.9,1.7,9.2,2.3,1.,0.,0.,0.,0.,119.5
3,"Clinton-Dix, Ha Ha","CHI","DB",83.3,11.6,0.6,14.5,5.8,1.2,0.6,0.2,0.,0.,117.6
4,"Mathieu, Tyrann","KCC","DB",81.3,19.5,1.8,16.2,3.3,0.,0.,0.,4.,0.,115.7
5,"Baker, Budda","ARZ","DB",86.4,25.6,2.1,6.9,0.2,1.2,1.2,0.2,0.,0.,111.
6,"Abram, Johnathan","OAK","DB",76.5,17.,1.3,14.,4.3,0.8,0.4,0.,0.,0.,110.1
7,"Poyer, Jordan","BUF","DB",75.9,26.1,2.,6.9,3.3,0.8,0.5,0.2,4.,0.,105.9
8,"Jackson, Kareem","DEN","DB",70.8,13.6,0.7,14.5,4.8,1.,0.5,0.2,0.,0.,104.
9,"Bates, Jessie","CIN","DB",70.6,33.7,0.2,8.1,2.,0.2,0.,0.,0.,0.,100.1
10,"Williams, Shawn","CIN","DB",69.6,24.6,0.5,9.5,3.5,0.6,0.6,0.2,0.,0.,100.1
11,"Moore, Kenny","IND","DB",69.3,17.4,1.8,11.2,3.3,1.8,0.,0.,0.,0.,99.3
12,"Adams, Jamal","NYJ","DB",72.4,23.9,2.7,8.4,0.4,1.7,1.1,0.,0.,0.,99.1
13,"Jones, Reshad","MIA","DB",73.9,20.6,0.7,7.9,3.,0.,0.,0.2,0.,0.,98.9
14,"Johnson, John","LAR","DB",68.7,28.4,0.,9.,2.8,0.4,0.,0.,0.,0.,97.9
15,"Amos, Adrian","GBP","DB",73.3,18.,0.5,10.4,1.5,0.5,0.5,0.,0.,0.,97.2
16,"Reid, Justin","HOU","DB",66.,18.3,0.9,11.8,2.6,1.9,1.6,0.2,0.,0.,96.7
17,"Randall, Damarious","CLE","DB",71.6,13.,0.2,10.6,3.1,0.,0.,0.,3.,19.,95.
18,"Byard, Kevin","TEN","DB",64.5,25.6,2.2,7.1,4.,0.,0.,0.,0.,0.,94.6
19,"Jenkins, Malcolm","PHI","DB",74.2,16.5,0.,6.,1.,2.,0.6,0.,0.,0.,93.
20,"Smith, Harrison","MIN","DB",66.3,17.,2.4,7.6,3.1,0.4,0.4,0.,0.,0.,91.9
21,"Jackson, Eddie","CHI","DB",61.4,14.5,0.6,11.5,3.6,1.9,1.9,0.1,3.,0.,91.6
22,"Evans, Justin","TBB","DB",71.1,19.8,0.,6.5,1.8,0.,0.,0.2,0.,0.,91.1
23,"Bell, Vonn","NOS","DB",62.9,18.4,2.4,7.8,2.8,1.9,1.1,0.,0.,0.,90.9
24,"Phillips, Adrian","LAC","DB",58.5,25.,0.3,11.2,2.9,0.6,0.6,0.,6.,5.,89.5
25,"Davis, Sean","PIT","DB",64.5,22.9,0.5,8.1,2.2,0.,0.,0.,0.,0.,89.
26,"Fuller, Kyle","CHI","DB",45.7,9.8,0.,24.4,6.9,0.,0.,0.2,0.,0.,88.8
27,"Thomas, Earl","BAL","DB",51.7,12.5,1.,16.8,6.1,0.,0.,0.,13.,0.,87.9
28,"Kazee, Damontae","ATL","DB",58.8,17.6,0.6,9.7,4.7,0.4,0.,0.,0.,0.,87.7
29,"Tartt, Jaquiski","SFO","DB",67.8,16.8,0.7,5.7,1.8,1.3,0.2,0.2,0.,0.,87.7
30,"Geathers, Clayton","IND","DB",62.,26.5,0.,7.,1.9,1.,0.2,0.,0.,0.,87.2
31,"Burnett, Morgan","CLE","DB",54.9,19.6,1.2,12.9,3.3,0.8,0.4,0.,8.,14.,86.7
32,"Harrison, Ronnie","JAC","DB",68.7,9.5,0.,9.4,1.7,0.,0.,0.,0.,0.,86.3
33,"Swearinger, D.J.","ARZ","DB",65.6,12.2,2.,6.7,1.3,2.3,0.5,0.,6.,0.,85.9
34,"Amukamara, Prince","CHI","DB",61.1,8.9,0.2,13.7,2.2,1.2,0.6,0.2,0.,0.,85.7
35,"Reid, Eric","CAR","DB",60.8,22.6,0.7,7.3,2.2,0.9,0.,0.,0.,0.,85.4
36,"Neal, Keanu","ATL","DB",58.,20.2,0.4,6.8,2.9,1.7,1.7,0.,0.,0.,84.6
37,"Lattimore, Marshon","NOS","DB",51.8,10.3,0.2,15.9,3.9,1.9,1.6,0.,0.,0.,84.3
