"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"Watt, J.J.","HOU","DL",47.5,12.5,15.,6.4,0.,6.7,0.,0.,96.9
2,"Peters, Corey","ARZ","DL",56.9,17.9,10.6,3.3,0.,2.1,0.4,0.,92.8
3,"Houston, Justin","IND","DL",42.2,15.2,14.,1.4,0.6,4.4,3.3,0.,88.
4,"Campbell, Calais","JAC","DL",49.9,18.9,10.2,2.1,0.,1.6,1.2,0.2,84.8
5,"Donald, Aaron","LAR","DL",39.8,16.4,15.2,1.,0.,4.2,1.1,0.,84.7
6,"Clowney, Jadeveon","SEA","DL",45.5,11.4,13.,0.6,0.4,3.2,2.3,0.,83.9
7,"Oliver, Ed","BUF","DL",40.1,17.6,10.4,6.3,0.,3.5,0.,0.,79.5
8,"Jordan, Cameron","NOS","DL",39.,12.3,11.9,8.6,0.1,0.7,0.7,0.,79.2
9,"Hunter, Danielle","MIN","DL",45.1,19.6,11.9,0.2,0.,0.,0.,0.2,78.9
10,"Buckner, DeForest","SFO","DL",46.5,19.4,8.4,5.,0.,0.5,0.5,0.,78.8
11,"Clark, Frank","KCC","DL",35.,9.,14.1,2.7,0.9,3.8,2.2,0.2,78.1
12,"Flowers, Trey","DET","DL",43.1,26.7,8.1,1.5,0.,2.6,0.8,0.,77.5
13,"Bosa, Joey","LAC","DL",42.8,12.5,11.3,1.2,0.,2.4,1.4,0.,76.8
14,"Ford, Dee","SFO","DL",42.2,15.4,9.6,1.5,0.,3.2,0.8,0.,74.6
15,"Clark, Kenny","GBP","DL",40.1,29.3,6.4,4.4,0.,0.7,0.7,0.,73.2
16,"Barnett, Derek","PHI","DL",32.5,10.2,13.7,0.3,0.,4.5,0.,0.,69.8
17,"Suh, Ndamukong","TBB","DL",41.6,17.7,7.3,3.5,0.,0.7,0.7,0.,69.8
18,"Garrett, Myles","CLE","DL",33.2,12.6,12.6,2.1,0.,1.9,0.9,0.,69.6
19,"Heyward, Cameron","PIT","DL",31.4,20.8,10.3,3.7,0.,1.4,1.1,0.,68.5
20,"Ferrell, Clelin","OAK","DL",39.1,22.6,6.8,2.1,0.,1.,0.,0.,67.1
21,"Bennett, Michael","NEP","DL",33.6,19.6,9.8,0.9,0.,2.5,0.,0.,66.4
22,"Casey, Jurrell","TEN","DL",38.2,25.6,6.3,0.9,0.,1.,0.8,0.,66.2
23,"Jones, Chris","KCC","DL",29.5,16.9,10.4,4.6,0.6,1.3,0.,0.2,65.9
24,"Dunlap, Carlos","CIN","DL",32.8,15.8,7.1,7.8,0.4,0.9,0.8,0.2,65.4
25,"Vernon, Olivier","CLE","DL",32.8,20.,9.3,1.3,0.,0.4,0.4,0.,63.6
26,"Hicks, Akiem","CHI","DL",38.1,13.5,6.8,2.6,0.,1.2,0.8,0.,63.1
27,"Brockers, Michael","LAR","DL",40.,26.7,3.,3.3,0.,0.,0.,0.,62.6
28,"Hill, B.J.","NYG","DL",36.5,18.3,6.,3.1,0.4,0.7,0.,0.,62.3
29,"Ingram, Melvin","LAC","DL",33.5,12.5,7.8,2.5,0.4,1.4,1.4,0.2,61.5
30,"Allen, Jonathan","WAS","DL",33.3,25.,7.,0.4,0.,0.,0.,0.,60.3
31,"Griffen, Everson","MIN","DL",33.5,15.5,7.5,1.3,0.,1.5,0.3,0.,59.3
32,"Graham, Brandon","PHI","DL",33.6,9.3,7.4,2.8,0.,2.2,1.2,0.,59.2
33,"Lawrence, Dexter","NYG","DL",38.,25.3,2.1,2.4,0.,1.5,0.,0.,58.7
34,"Harrison, Damon","DET","DL",41.8,19.8,2.5,0.8,0.,1.,0.2,0.,58.7
35,"McKinley, Takkarist","ATL","DL",28.4,9.2,10.2,2.9,0.,2.4,0.,0.,58.6
36,"Winovich, Chase","NEP","DL",32.6,22.2,6.5,0.9,0.,1.,0.,0.,58.5
37,"Lawrence, Demarcus","DAL","DL",29.6,16.4,7.4,0.8,0.5,2.,1.,0.,57.3
38,"Tuitt, Stephon","PIT","DL",29.6,17.7,6.6,4.2,0.,0.5,0.1,0.,56.5
39,"Williams, Leonard","NYJ","DL",32.4,20.6,4.7,2.4,0.8,0.,0.,0.,56.1
40,"Allen, Zach","ARZ","DL",34.6,13.7,5.9,1.4,0.,1.,0.,0.,55.8
41,"Gunter, Rodney","ARZ","DL",36.1,13.7,4.3,2.2,0.,2.,0.,0.,55.8
42,"Nkemdiche, Robert","MIA","DL",29.7,17.,6.5,1.1,0.,1.8,1.,0.,55.3
43,"Ioannidis, Matt","WAS","DL",30.1,16.6,6.,2.1,0.,0.8,0.8,0.,54.1
44,"Ngakoue, Yannick","JAC","DL",27.,4.6,10.1,2.2,0.,1.5,0.,0.,53.2
45,"Wise, Deatrich","NEP","DL",25.1,21.6,8.2,0.3,0.,0.6,0.,0.,53.
46,"Ogunjobi, Larry","CLE","DL",33.1,19.5,3.8,0.,0.,1.1,0.,0.,51.6
47,"Reed, Jarran","SEA","DL",27.8,11.5,7.7,0.9,0.2,0.8,0.6,0.,51.6
48,"Short, Kawann","CAR","DL",29.,18.9,5.,1.9,0.,1.,0.4,0.,51.6
49,"Hubbard, Sam","CIN","DL",30.9,15.3,5.4,1.2,0.,0.3,0.3,0.2,51.
50,"Lowry, Dean","GBP","DL",31.4,14.2,4.2,3.9,0.,0.,0.,0.2,50.8
51,"Payne, Da'Ron","WAS","DL",29.1,14.1,5.,2.3,0.,0.9,0.9,0.,50.4
52,"Addison, Mario","CAR","DL",22.5,16.2,9.2,0.,0.,1.5,0.,0.,50.4
53,"Harris, Charles","MIA","DL",28.4,10.2,7.,0.8,0.,0.8,0.,0.,49.2
54,"Jarrett, Grady","ATL","DL",26.7,18.1,5.9,0.2,0.,1.3,0.,0.,49.1
55,"Autry, Denico","IND","DL",25.9,13.9,6.6,2.3,0.,0.4,0.4,0.,49.1
56,"Hughes, Jerry","BUF","DL",26.,11.2,5.8,1.5,0.,2.9,0.,0.,47.6
57,"Cox, Fletcher","PHI","DL",25.7,9.3,7.1,0.6,0.,0.9,0.9,0.,46.9
58,"Quinn, Robert","DAL","DL",26.3,14.1,5.9,0.4,0.,1.,0.,0.,46.6
59,"Pierre-Paul, Jason","TBB","DL",27.6,7.3,6.5,1.6,0.,0.3,0.3,0.,46.6
