"Rank","Player","Team","Position","Yds Allowed","0-99","100-199","200-299","300-349","350-399","400-449","450-499","500-549","550+","Pts Agn",0,"1-6","7-13","14-17","18-20","21-27","28-34","35-45","46+","Scks","Int","Fum","DefTD","Safts","Pts"
1,"Chargers, Los Angeles","LAC","D",5.,0.,1.,3.9,4.7,3.5,1.3,0.8,0.5,0.2,332.8,0.,0.1,2.5,3.,4.2,3.7,1.8,0.5,0.,41.9,10.8,10.8,3.2,0.,178.6
2,"Bears, Chicago","CHI","D",4.,0.,1.1,4.2,5.,3.3,1.2,0.7,0.4,0.1,266.5,0.,0.1,3.,3.7,5.1,2.7,1.2,0.2,0.,42.,12.,3.4,3.6,1.2,174.4
3,"Seahawks, Seattle","SEA","D",5.,0.,0.7,3.4,4.1,4.5,1.6,1.,0.6,0.1,343.1,0.,0.,2.1,2.7,3.7,4.6,2.3,0.6,0.,39.8,9.9,13.,2.7,0.,169.7
4,"Texans, Houston","HOU","D",6.,0.,0.8,3.4,4.,4.2,1.6,1.,0.7,0.3,338.3,0.,0.1,2.5,3.,4.1,3.8,1.9,0.6,0.,34.,12.3,12.1,2.7,0.,169.
5,"Ravens, Baltimore","BAL","D",5.,0.,1.,4.,4.8,3.4,1.3,0.8,0.5,0.2,322.6,0.,0.1,2.6,3.1,4.3,3.6,1.8,0.5,0.,30.9,12.,6.4,4.3,0.,168.8
6,"Rams, Los Angeles","LAR","D",6.,0.,0.8,3.3,3.9,4.4,1.7,1.1,0.7,0.3,413.8,0.,0.,1.9,2.3,3.2,5.,2.6,0.9,0.1,37.7,14.9,7.7,3.4,1.1,168.5
7,"Saints, New Orleans","NOS","D",5.,0.,0.9,3.6,4.3,3.9,1.5,0.9,0.6,0.2,347.9,0.,0.1,2.4,2.9,4.,3.9,2.,0.6,0.,43.2,14.2,11.5,0.3,0.,167.8
8,"Broncos, Denver","DEN","D",5.,0.,0.8,3.4,4.,3.6,1.3,0.8,0.5,0.2,369.,0.,0.1,2.2,2.7,3.7,3.6,1.8,0.6,0.,38.6,15.5,10.2,1.8,0.,167.3
9,"Patriots, New England","NEP","D",5.,0.,0.9,3.7,4.4,3.2,1.2,0.7,0.5,0.2,306.1,0.,0.1,2.6,3.2,4.4,2.7,1.3,0.3,0.,32.9,15.3,9.2,2.1,0.,166.
10,"Jaguars, Jacksonville","JAC","D",4.,0.,0.9,4.,4.8,3.8,1.3,0.8,0.4,0.,300.2,0.,0.,2.5,3.1,4.3,3.8,1.8,0.4,0.,39.,8.6,7.1,3.2,1.4,164.6
11,"Vikings, Minnesota","MIN","D",4.,0.,1.,4.2,5.,3.4,1.2,0.7,0.4,0.1,333.,0.,0.1,2.4,2.9,4.,4.1,2.,0.6,0.,47.,10.,4.6,2.2,0.,164.4
12,"Browns, Cleveland","CLE","D",5.,0.,0.8,3.5,4.2,4.2,1.6,1.,0.6,0.2,355.2,0.,0.,2.2,2.7,3.7,4.5,2.2,0.7,0.,38.8,15.2,12.3,0.,1.1,162.8
13,"Falcons, Atlanta","ATL","D",6.,0.,0.8,3.3,3.9,4.3,1.7,1.1,0.7,0.3,414.1,0.,0.1,1.9,2.4,3.3,4.8,2.5,0.9,0.1,38.7,16.6,4.5,2.2,0.,159.6
14,"Titans, Tennessee","TEN","D",5.,0.,0.9,3.5,4.2,4.,1.5,1.,0.6,0.2,334.,0.,0.1,2.5,3.,4.2,3.7,1.8,0.6,0.,33.9,11.,5.5,3.6,0.,159.6
15,"Chiefs, Kansas City","KCC","D",6.,0.,0.7,2.7,3.2,3.3,1.3,0.8,0.5,0.2,468.,0.,0.1,1.7,2.,2.8,3.6,1.9,0.6,0.,41.,14.,10.1,2.7,0.,159.3
