"Rank","Player","Team","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Belichick, Bill","NEP","HC",13.,3.,494.,8.1,301.4
2,"Tomlin, Mike","PIT","HC",11.,5.,507.,5.7,299.2
3,"Reid, Andy","KCC","HC",11.,5.,488.,5.,289.5
4,"McVay, Sean","LAR","HC",10.,6.,458.,3.7,270.1
5,"Harbaugh, John","BAL","HC",10.,6.,446.,3.2,264.
6,"Payton, Sean","NOS","HC",10.,6.,422.,2.,251.6
7,"Pederson, Doug","PHI","HC",9.,7.,412.,0.6,242.2
8,"Patricia, Matt","DET","HC",10.,6.,400.,5.8,241.7
9,"Zimmer, Mike","MIN","HC",10.,6.,401.,3.7,241.6
10,"Reich, Frank","IND","HC",10.,6.,400.,4.,241.2
11,"Rivera, Ron","CAR","HC",10.,6.,397.,2.9,239.4
12,"Carroll, Pete","SEA","HC",8.,8.,410.,-0.1,237.
13,"Shurmur, Pat","NYG","HC",7.,9.,400.,0.6,228.2
14,"Koetter, Dirk","ATL","HC",7.,9.,393.,0.5,224.7
15,"Garrett, Jason","DAL","HC",8.,8.,385.,0.4,224.6
16,"Shanahan, Kyle","SFO","HC",7.,9.,394.,-2.9,224.1
17,"Nagy, Matt","CHI","HC",9.,7.,363.,1.9,218.1
18,"Gase, Adam","NYJ","HC",5.,11.,395.,-3.9,216.3
19,"Quinn, Dan","ATL","HC",6.,10.,378.,-1.1,212.7
20,"Lynn, Anthony","LAC","HC",8.,8.,357.,-0.1,210.5
21,"Marrone, Doug","JAC","HC",7.,9.,360.,1.4,208.4
22,"O'Brien, Bill","HOU","HC",8.,8.,343.,-1.8,203.
23,"McDermott, Sean","BUF","HC",7.,9.,346.,-3.2,200.
24,"Gruden, Jon","OAK","HC",5.,11.,352.,-3.4,195.
25,"Vrabel, Mike","TEN","HC",8.,8.,321.,-1.1,192.2
26,"Gruden, Jay","WAS","HC",5.,11.,341.,-4.,189.3
"","","","","","","","",""
