"Rank","Player","Team","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Zuerlein, Greg","LAR","K",42.,43.9,34.4,40.1,0.2,11.5,10.2,6.2,6.3,5.7,146.9
2,"Tucker, Justin","BAL","K",36.7,37.2,33.5,37.8,0.,9.3,10.9,8.5,4.7,4.3,142.3
3,"Gould, Robbie","SFO","K",26.,27.,33.8,35.1,0.,8.,12.2,11.2,2.4,1.3,139.4
4,"Butker, Harrison","KCC","K",51.,53.1,27.3,30.6,0.,7.3,11.,6.3,2.7,3.3,134.6
5,"Lutz, Wil","NOS","K",47.,48.7,27.3,30.7,0.6,6.2,8.,10.,2.6,3.4,133.8
6,"Bryant, Matt","ATL","K",36.9,38.1,27.5,29.7,0.4,5.7,7.3,8.2,5.8,2.3,132.6
7,"Gostkowski, Stephen","NEP","K",45.5,47.,26.9,32.,0.,9.7,9.,6.3,1.9,5.1,120.9
8,"Fairbairn, Ka'imi","HOU","K",34.2,36.7,27.,31.6,0.4,5.8,8.9,8.6,3.3,4.5,116.8
9,"Myers, Jason","SEA","K",34.,37.6,23.9,27.2,0.,3.5,8.8,7.3,4.3,3.3,111.7
10,"Prater, Matt","DET","K",30.,30.4,25.3,29.1,0.8,5.5,9.5,5.8,3.8,3.8,107.8
11,"Elliott, Jake","PHI","K",32.8,36.2,23.3,26.9,0.,5.6,6.4,8.4,2.8,3.6,106.3
12,"Rosas, Aldrick","NYG","K",27.1,29.1,25.2,28.4,0.,8.7,8.1,5.,3.4,3.2,104.6
13,"Slye, Joey","CAR","K",33.2,36.2,20.4,21.4,0.,5.8,7.4,4.6,2.7,1.,101.1
14,"Lambo, Josh","JAC","K",27.5,29.3,23.4,26.5,0.,4.1,10.2,6.,3.2,3.,101.
15,"Vinatieri, Adam","IND","K",35.,37.9,21.9,25.9,0.,7.8,5.3,4.9,3.8,4.,101.
16,"Hauschka, Steven","BUF","K",27.,27.7,24.9,30.6,0.,4.3,9.5,6.6,4.6,5.7,100.2
17,"Succop, Ryan","TEN","K",27.5,30.5,25.1,29.9,0.,5.4,10.,8.,1.7,4.8,100.
18,"Hopkins, Dustin","WAS","K",25.1,26.5,23.4,27.3,0.5,6.8,5.4,8.4,2.3,3.9,96.6
19,"Badgley, Mike","LAC","K",32.6,35.1,22.5,27.4,0.,6.8,6.7,7.,2.,4.9,96.5
20,"Carlson, Daniel","OAK","K",27.,27.5,21.,24.5,0.,3.6,3.8,10.1,3.5,3.5,96.5
21,"Crosby, Mason","GBP","K",32.,33.3,21.3,25.4,0.,5.,6.,7.6,2.7,4.2,96.2
22,"Maher, Brett","DAL","K",33.,34.2,24.1,32.2,0.4,8.7,5.6,5.4,4.,8.1,94.4
23,"Bullock, Randy","CIN","K",33.3,35.,18.5,21.3,0.,4.4,7.2,5.5,1.4,2.8,88.7
24,"Sanders, Jason","MIA","K",32.4,33.6,17.3,19.4,0.,6.9,3.3,6.4,0.7,2.1,85.6
25,"Boswell, Chris","PIT","K",32.9,35.7,19.1,25.1,0.,4.6,6.8,6.,1.7,6.,81.3
26,"McManus, Brandon","DEN","K",29.,29.,19.2,25.6,0.,4.9,7.3,5.6,1.5,6.4,76.
27,"Bailey, Dan","MIN","K",32.1,33.9,21.,30.3,0.4,5.5,9.8,3.5,1.8,9.3,74.3
28,"Gay, Matt","TBB","K",30.6,33.1,19.4,27.,0.,4.9,9.1,4.1,1.2,7.6,72.3
29,"Gonzalez, Zane","ARZ","K",19.3,22.1,18.2,24.,0.2,2.9,6.8,4.5,3.8,5.8,68.7
30,"Seibert, Austin","CLE","K",27.2,31.,15.3,19.9,0.,3.5,6.5,4.3,0.9,4.5,65.8
31,"Pineiro, Eddy","CHI","K",24.3,25.6,15.1,19.5,0.,4.1,5.2,5.8,0.,4.4,62.2
"","","","","","","","","","","","","","",""
