"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"David, Lavonte","TBB","LB",108.1,32.2,3.7,2.5,0.3,1.8,1.6,0.,134.3
2,"Wagner, Bobby","SEA","LB",94.9,50.8,1.1,7.3,1.4,1.1,0.9,0.1,133.4
3,"Edmunds, Tremaine","BUF","LB",90.6,45.8,2.1,9.,1.9,2.2,0.,0.,130.7
4,"Martinez, Blake","GBP","LB",95.3,51.3,3.2,5.,0.1,0.5,0.5,0.,130.4
5,"Jack, Myles","JAC","LB",97.1,35.,2.7,3.5,1.9,1.,1.,0.2,126.7
6,"Littleton, Cory","LAR","LB",90.7,29.2,3.,10.6,3.,0.2,0.,0.2,125.1
7,"Leonard, Darius","IND","LB",82.1,44.2,4.3,6.2,1.7,2.9,1.9,0.2,123.
8,"Vigil, Nick","CIN","LB",95.2,37.2,1.1,5.6,0.8,0.3,0.,0.,122.4
9,"Bush, Devin","PIT","LB",82.2,25.9,12.1,5.6,1.7,4.7,0.4,0.,121.4
10,"Kuechly, Luke","CAR","LB",85.7,44.2,1.3,6.,1.3,2.,1.6,0.2,121.4
11,"Whitehead, Tahir","OAK","LB",92.7,39.9,0.6,4.5,0.8,1.,0.9,0.,121.3
12,"Schobert, Joe","CLE","LB",81.,54.1,2.8,3.9,0.8,1.6,1.2,0.,119.2
13,"Hicks, Jordan","ARZ","LB",88.4,35.1,4.6,6.9,0.,0.4,0.4,0.2,118.2
14,"Hitchens, Anthony","KCC","LB",87.4,55.8,0.2,0.4,0.2,0.8,0.,0.,117.
15,"Kendricks, Eric","MIN","LB",78.1,48.8,1.9,7.1,1.8,0.5,0.5,0.2,116.
16,"Smith, Roquan","CHI","LB",82.1,29.,6.9,5.8,2.5,1.1,0.2,0.,115.6
17,"Baker, Jerome","MIA","LB",85.1,33.3,3.2,4.8,1.8,1.1,0.4,0.2,114.8
18,"Ogletree, Alec","NYG","LB",71.6,40.5,3.7,10.,4.6,0.,0.,0.2,114.7
19,"Davis, Demario","NOS","LB",80.1,38.,4.4,5.3,1.1,1.3,1.,0.,113.4
20,"Mack, Khalil","CHI","LB",71.5,21.4,15.1,5.3,1.7,5.,1.9,0.2,113.1
21,"Young, Kenny","BAL","LB",77.3,31.8,6.1,4.8,1.4,3.,1.4,0.2,111.2
22,"Jones, Deion","ATL","LB",72.6,41.,0.5,8.3,2.8,0.9,0.,0.2,108.5
23,"Mosley, C.J.","NYJ","LB",75.,39.3,1.8,6.8,1.9,0.7,0.3,0.2,108.1
24,"Brown, Jayon","TEN","LB",70.,38.9,5.5,5.8,0.9,2.,1.4,0.1,105.9
25,"Cunningham, Zach","HOU","LB",72.4,38.7,0.3,8.3,2.4,0.,0.,0.2,105.1
26,"Woodyard, Wesley","TEN","LB",72.3,45.6,4.3,3.7,0.,0.7,0.6,0.,104.6
27,"Trevathan, Danny","CHI","LB",81.3,26.3,1.4,4.3,1.2,1.,0.8,0.,104.5
28,"Smith, Jaylon","DAL","LB",76.6,34.7,2.5,3.8,0.,1.6,1.,0.2,102.9
29,"Alonso, Kiko","NOS","LB",70.9,35.7,2.8,3.7,1.7,2.2,0.6,0.,101.4
30,"Vander Esch, Leighton","DAL","LB",76.3,34.6,0.1,5.2,1.1,0.,0.,0.,101.1
31,"Davis, Jarrad","DET","LB",73.4,32.6,4.5,4.5,0.2,1.,1.,0.,101.
32,"Kirksey, Christian","CLE","LB",68.,36.5,2.3,7.3,1.2,1.9,0.7,0.,100.9
33,"Bradham, Nigel","PHI","LB",73.6,30.5,1.5,6.8,0.,0.4,0.4,0.,98.
34,"Brown, Zach","PHI","LB",74.3,31.3,1.2,4.4,0.5,1.2,0.3,0.,97.9
35,"Wright, K.J.","SEA","LB",67.1,35.,0.6,8.,1.9,0.5,0.5,0.,97.9
36,"McKinney, Benardrick","HOU","LB",65.4,38.9,1.,8.,1.5,0.3,0.3,0.2,97.3
37,"Bostic, Jon","WAS","LB",65.8,31.,4.8,3.6,0.6,1.6,0.4,0.,92.9
38,"Alexander, Kwon","SFO","LB",72.9,25.9,1.,2.8,0.,1.7,0.5,0.,91.9
39,"Milano, Matt","BUF","LB",61.8,33.3,0.2,6.3,2.1,0.6,0.6,0.2,90.3
40,"Walker, Anthony","IND","LB",66.,38.7,0.2,2.9,0.6,0.2,0.2,0.,90.1
41,"Hamilton, Shaun Dion","WAS","LB",61.2,35.1,4.9,2.6,1.2,0.8,0.,0.,89.6
42,"White, Devin","TBB","LB",62.8,33.5,0.8,4.9,0.9,1.2,0.,0.,88.1
43,"Van Noy, Kyle","NEP","LB",57.5,26.6,6.1,3.4,0.5,1.6,1.3,0.2,84.1
44,"Chubb, Bradley","DEN","LB",58.6,19.3,11.5,1.4,0.,2.1,0.7,0.,83.9
45,"Williams, Vince","PIT","LB",60.,25.3,4.3,3.3,1.6,0.,0.,0.2,83.4
46,"Ragland, Reggie","KCC","LB",59.1,32.,3.1,0.9,0.2,3.5,0.3,0.2,83.3
47,"Eguavoen, Sam","MIA","LB",62.6,32.6,0.,1.9,1.,0.,0.,0.2,82.8
48,"Davis, Todd","DEN","LB",65.2,25.5,0.6,3.6,0.4,0.,0.,0.2,82.8
49,"Reddick, Haason","ARZ","LB",59.8,27.,4.7,3.5,0.,1.2,0.,0.,82.7
50,"Oluokun, Foyesade","ATL","LB",61.5,32.6,0.3,1.5,0.,0.,0.,0.,79.6
51,"Alexander, Lorenzo","BUF","LB",54.7,15.3,5.5,5.4,1.,1.9,0.4,0.,77.6
52,"Brown, Jatavis","LAC","LB",56.8,27.4,0.8,4.4,0.3,1.,0.,0.,77.3
53,"Collins, Jamie","NEP","LB",55.2,26.4,3.3,3.1,0.8,0.5,0.5,0.2,77.3
54,"Williams, Quincy","JAC","LB",58.6,27.1,1.8,1.2,0.,0.7,0.4,0.2,76.3
55,"Warner, Fred","SFO","LB",55.2,32.1,0.,4.2,0.,0.3,0.3,0.,76.
56,"Goodson, B.J.","NYG","LB",53.5,19.7,2.1,4.1,0.9,1.1,1.1,0.,73.3
57,"Onwuasor, Patrick","BAL","LB",50.3,18.6,5.9,3.1,0.5,2.7,0.,0.,72.4
58,"Burfict, Vontaze","OAK","LB",48.,33.8,1.7,4.6,0.,1.1,0.,0.,72.2
59,"Lee, Sean","DAL","LB",52.3,32.2,0.9,1.7,0.2,0.7,0.1,0.,72.2
60,"Evans, Jordan","CIN","LB",54.3,24.9,0.5,3.3,0.7,0.,0.,0.,72.
61,"Thompson, Shaq","CAR","LB",52.3,29.8,2.7,1.,0.,0.9,0.,0.,71.8
62,"Watt, T.J.","PIT","LB",44.4,14.7,9.1,5.6,0.,4.6,0.,0.,71.1
63,"Campbell, De'Vondre","ATL","LB",54.9,28.,1.4,0.8,0.,0.,0.,0.,71.
