"Rank","Player","Team","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Barkley, Saquon","NYG","RB",253.4,1242.,9.6,5.8,0.6,0.2,0.,0.,3.,13.,4.4,0.8,0.3,110.7,11.2,78.5,578.,3.3,2.3,1.2,0.,0.,0.,34.9,259.
2,"Kamara, Alvin","NOS","RB",191.6,872.,10.8,7.8,1.4,0.7,0.,0.2,0.7,11.,1.7,0.6,0.2,110.7,23.2,84.5,801.,3.7,5.7,1.6,50.,406.,0.,40.5,254.4
3,"Conner, James","PIT","RB",239.2,1100.,10.1,7.9,0.9,1.3,0.,0.,0.,11.2,4.2,0.7,0.3,76.7,9.,60.7,532.,1.9,2.1,1.1,0.,0.,1.8,29.1,231.7
4,"McCaffrey, Christian","CAR","RB",175.6,809.,5.1,4.6,0.5,0.,0.,0.,0.,5.7,1.6,0.5,0.2,126.7,14.8,98.5,816.,6.,7.8,1.6,67.,25.,0.4,31.7,228.3
5,"Elliott, Ezekiel","DAL","RB",291.5,1289.,7.6,5.2,1.7,0.7,0.,0.,0.,12.1,7.7,0.9,0.3,76.3,9.7,57.4,447.,2.,1.8,0.9,0.,0.,1.6,27.5,227.7
6,"Gurley, Todd","LAR","RB",196.7,1010.,11.7,8.8,1.9,0.,0.6,0.,0.3,11.2,2.,0.7,0.3,64.4,11.9,42.2,398.,1.9,1.6,0.8,0.,0.,1.,33.7,220.4
7,"Chubb, Nick","CLE","RB",237.5,1142.,9.2,6.7,0.3,0.2,0.,0.7,1.3,12.9,2.3,0.8,0.3,52.9,6.4,38.1,313.,2.2,1.3,0.6,0.,0.,0.7,24.7,212.3
8,"Williams, Damien","KCC","RB",187.8,900.,11.,9.1,1.9,0.,0.,0.,0.,10.9,1.8,0.6,0.2,64.9,14.6,52.8,303.,4.8,1.,1.,0.,0.,1.3,35.7,212.1
9,"Fournette, Leonard","JAC","RB",280.8,1023.,9.4,7.9,0.2,0.,0.,0.,1.3,12.1,2.,0.7,0.3,64.6,4.7,49.8,417.,1.9,1.7,0.8,0.,10.,0.,27.6,211.6
10,"Bell, Le'Veon","NYJ","RB",240.,1150.,7.4,3.5,1.8,0.8,0.8,0.,0.5,11.,2.5,1.,0.3,70.,6.8,57.,500.,1.2,6.,0.2,0.,0.,3.,3.,210.9
