"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Kelce, Travis","KCC","TE",117.4,20.4,75.,968.,7.3,2.5,3.4,1.,0.3,0.,0.,12.,1.9,0.6,0.2,1.,0.,0.,0.,0.5,14.7,139.7
2,"Ertz, Zach","PHI","TE",126.5,20.,87.5,888.,7.,3.,3.,1.,0.,0.,0.,10.9,1.8,0.6,0.2,0.,0.,0.,0.,0.,13.2,130.8
3,"Howard, O.J.","TBB","TE",72.4,11.8,47.3,696.,8.2,4.3,2.2,0.2,0.9,0.,0.6,2.8,1.4,0.5,0.2,0.,0.,0.,0.,1.3,13.1,116.
4,"Kittle, George","SFO","TE",98.9,17.2,59.8,855.,3.2,1.2,0.5,0.,0.,0.8,0.7,9.,1.7,0.6,0.2,4.,0.,0.,0.,0.,10.9,106.
5,"Ebron, Eric","IND","TE",83.9,15.1,49.5,534.,8.,3.2,3.,0.9,0.3,0.,0.5,2.1,1.1,0.4,0.1,-5.2,0.5,0.,0.,1.9,11.9,100.3
6,"Henry, Hunter","LAC","TE",78.6,15.3,54.,675.,4.7,3.5,0.3,0.8,0.,0.,0.,2.7,1.4,0.5,0.2,0.,0.,0.,0.,0.,11.7,96.2
7,"Engram, Evan","NYG","TE",89.8,8.1,53.3,662.,3.7,2.4,1.3,0.,0.,0.,0.,2.6,1.3,0.4,0.2,16.,0.,0.,0.,0.,9.2,91.8
8,"Cook, Jared","NOS","TE",79.5,10.8,54.1,689.,3.7,0.6,0.9,2.2,0.,0.,0.,2.8,1.4,0.5,0.2,0.,0.,0.,0.,0.,11.9,91.
9,"Olsen, Greg","CAR","TE",78.9,15.1,48.9,562.,5.7,2.8,2.2,0.,0.2,0.,0.5,2.2,1.1,0.4,0.1,0.,0.,0.,0.,0.,11.2,90.6
10,"Njoku, David","CLE","TE",87.5,12.2,50.3,622.,4.5,2.5,0.6,1.5,0.,0.,0.,2.5,1.2,0.4,0.2,0.,0.,0.,0.,0.,11.1,89.5
11,"Rudolph, Kyle","MIN","TE",81.2,14.7,58.,551.,5.2,2.6,1.2,0.8,0.,0.5,0.,2.2,1.1,0.4,0.1,0.,0.,0.,0.,0.,12.5,86.3
12,"Hockenson, T.J.","DET","TE",74.3,10.7,52.8,575.,4.8,2.6,0.4,1.3,0.4,0.,0.,2.3,1.1,0.4,0.1,0.,0.,0.,12.,0.4,9.5,85.7
13,"McDonald, Vance","PIT","TE",85.5,12.8,55.7,625.,4.,2.1,1.7,0.,0.,0.,0.2,2.5,1.2,0.4,0.2,0.,0.,0.,0.,0.6,9.,85.5
14,"Walker, Delanie","TEN","TE",90.2,10.,55.7,638.,4.1,2.6,0.4,0.7,0.,0.,0.4,2.6,1.3,0.4,0.2,-1.9,0.,0.,0.,1.7,9.9,84.8
15,"Andrews, Mark","BAL","TE",60.6,11.5,39.,594.,3.6,1.6,0.6,0.2,0.,0.,1.2,2.4,1.2,0.4,0.1,0.,0.,0.,0.,0.,7.,81.3
16,"Graham, Jimmy","GBP","TE",98.4,14.2,54.7,598.,3.6,2.2,1.2,0.2,0.,0.,0.,2.4,1.2,0.4,0.1,0.,0.,0.,0.,0.,11.7,81.3
17,"Goedert, Dallas","PHI","TE",63.,10.,43.9,429.,6.3,2.7,2.6,0.,1.,0.,0.,1.7,0.9,0.3,0.1,0.,0.,0.,0.,0.,9.2,80.6
18,"Hooper, Austin","ATL","TE",76.3,8.1,60.7,585.,3.4,3.1,0.2,0.,0.,0.,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.,6.7,80.
19,"Eifert, Tyler","CIN","TE",67.2,8.6,46.6,505.,4.5,2.8,1.6,0.,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,5.7,77.3
20,"Waller, Darren","OAK","TE",64.5,6.6,43.6,592.,2.7,0.,0.6,2.1,0.,0.,0.,2.4,1.2,0.4,0.1,13.,0.,0.,0.,0.,10.1,76.9
21,"Witten, Jason","DAL","TE",80.,10.9,58.8,533.,4.,0.9,1.6,1.3,0.1,0.,0.,2.1,1.1,0.4,0.1,0.,0.,0.,0.,0.6,6.7,75.9
22,"Doyle, Jack","IND","TE",79.1,14.3,55.2,502.,4.7,3.6,0.8,0.3,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,1.2,12.5,75.8
23,"Dissly, Will","SEA","TE",43.,9.7,30.2,384.,5.9,3.6,2.1,0.3,0.,0.,0.,1.5,0.8,0.3,0.1,0.,0.,0.,5.,0.,9.3,73.8
24,"Brate, Cameron","TBB","TE",63.7,13.9,39.,389.,6.3,3.2,2.8,0.1,0.3,0.,0.,1.6,0.8,0.3,0.1,0.,0.,0.,2.,1.5,10.7,73.8
25,"Reed, Jordan","WAS","TE",89.7,9.6,59.1,577.,2.9,2.2,0.4,0.2,0.2,0.,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.7,6.6,73.8
26,"Davis, Vernon","WAS","TE",59.1,4.6,36.,530.,2.6,0.1,0.1,1.1,0.5,0.,0.8,2.1,1.1,0.4,0.1,0.,0.,0.,0.,0.8,5.5,68.5
27,"Smith, Lee","BUF","TE",18.2,6.3,14.7,378.,4.6,4.6,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,6.3,65.3
28,"Smith, Jonnu","TEN","TE",52.,7.2,34.8,401.,3.9,2.5,0.,0.5,0.,0.,1.,1.6,0.8,0.3,0.1,-0.7,0.,0.,0.,0.4,7.7,62.9
29,"Fant, Noah","DEN","TE",64.1,14.5,39.9,409.,3.4,1.,1.5,0.4,0.,0.,0.4,1.6,0.8,0.3,0.1,0.,0.,0.,0.,0.4,10.,60.6
30,"Herndon, Chris","NYJ","TE",54.9,8.4,34.5,412.,3.1,1.,1.4,0.2,0.6,0.,0.,1.6,0.8,0.3,0.1,0.,0.,0.,20.,0.2,6.8,59.7
31,"Burton, Trey","CHI","TE",53.1,9.2,35.6,344.,3.8,1.7,1.5,0.3,0.4,0.,0.,1.4,0.7,0.2,0.1,1.,0.,0.,0.,0.9,6.2,57.4
32,"Watson, Benjamin","NEP","TE",52.4,7.,35.7,460.,1.8,0.6,0.6,0.3,0.4,0.,0.,1.8,0.9,0.3,0.1,0.,0.,0.,0.,0.3,4.9,56.6
33,"Thomas, Jordan","HOU","TE",41.,11.6,27.3,318.,3.1,1.6,1.5,0.,0.,0.,0.,1.3,0.6,0.2,0.1,0.,0.,0.,0.,0.,7.2,51.
34,"Uzomah, C.J.","CIN","TE",57.6,5.4,36.4,374.,1.8,1.7,0.2,0.,0.,0.,0.,1.5,0.7,0.2,0.1,0.,0.,0.,0.,0.,4.3,48.4
