"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Hill, Tyreek","KCC","WR",132.4,10.5,82.4,1305.,7.8,1.3,1.,0.8,0.6,0.4,3.7,13.2,4.,0.9,0.3,130.,1.6,181.,10.,0.,17.4,200.4
2,"Hopkins, DeAndre","HOU","WR",176.4,22.4,102.7,1399.,10.4,4.1,2.5,1.6,0.8,0.9,0.4,13.3,9.1,0.9,0.3,-2.9,0.,0.,0.,1.4,20.3,199.
3,"Adams, Davante","GBP","WR",171.6,28.,104.5,1272.,11.3,4.,5.6,1.2,0.,0.,0.5,13.4,3.,0.8,0.3,1.,0.,0.,0.,0.,14.9,197.2
4,"Beckham, Odell","CLE","WR",158.2,22.9,92.8,1256.,10.6,3.5,3.1,1.3,0.7,1.3,0.7,15.8,2.5,0.8,0.3,37.,0.7,33.,24.,2.,21.7,193.3
5,"Jones, Julio","ATL","WR",156.6,20.9,100.,1435.,8.7,2.1,3.6,1.2,1.8,0.,0.,14.9,4.,1.,0.4,8.,0.,0.,0.,3.,19.3,190.2
6,"Smith-Schuster, JuJu","PIT","WR",142.5,23.2,91.2,1261.,10.5,3.7,1.8,2.2,0.3,0.7,1.9,11.5,8.4,0.8,0.3,5.,0.,0.,94.,0.,18.8,189.8
7,"Brown, Antonio","OAK","WR",147.4,18.,92.8,1154.,9.7,3.1,1.1,2.7,0.5,1.1,1.1,12.,2.7,0.8,0.3,4.,0.,0.,0.,0.,16.3,173.8
8,"Evans, Mike","TBB","WR",146.9,16.3,80.8,1318.,7.,1.7,2.6,0.4,0.4,1.1,0.7,15.6,2.6,0.9,0.3,0.,0.,0.,0.,0.6,15.2,173.3
9,"Thomas, Michael","NOS","WR",159.3,26.8,113.7,1305.,7.1,4.9,1.4,0.5,0.,0.,0.2,13.2,4.5,0.9,0.3,0.,0.,0.,0.,0.9,17.8,171.
10,"Lockett, Tyler","SEA","WR",83.4,7.9,58.6,1051.,9.4,1.1,2.1,2.7,1.3,0.,2.2,12.2,2.1,0.7,0.3,43.,0.,124.,447.,0.,11.8,168.2
11,"Cooks, Brandin","LAR","WR",120.1,16.2,78.8,1199.,5.4,2.8,1.7,0.,0.,0.5,0.3,12.8,2.4,0.8,0.3,55.,0.3,0.,0.,0.,13.,159.5
12,"Diggs, Stefon","MIN","WR",141.3,20.,93.6,983.,9.,4.7,1.6,1.,1.,0.,0.7,11.9,2.,0.7,0.2,55.,0.,0.,0.,0.2,14.8,158.1
13,"Hilton, T.Y.","IND","WR",138.5,13.1,74.2,1257.,5.3,1.8,0.5,0.9,0.,0.9,1.2,15.,2.5,0.8,0.3,0.,0.,6.,0.,0.,11.3,157.2
14,"Cooper, Amari","DAL","WR",118.2,9.7,78.8,1076.,8.2,1.7,0.8,2.,0.,1.1,2.7,12.3,2.2,0.7,0.3,14.,0.,5.,0.,2.1,14.,156.7
