"Rank","Player","Team","Opp","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Hunt, Kareem","CLE","BUF","RB",15.9,72.,0.7,0.5,0.1,0.,0.1,0.,0.,3.7,0.7,2.7,35.,0.5,0.1,0.1,0.,15.,0.,2.7,17.8
2,"Conner, James","PIT","LAR","RB",17.8,82.,0.8,0.6,0.1,0.1,0.,0.,0.,5.7,0.7,4.5,40.,0.1,0.2,0.1,0.,0.,0.1,2.2,17.2
3,"Barkley, Saquon","NYG","@NYJ","RB",15.5,76.,0.6,0.4,0.,0.,0.,0.,0.2,6.7,0.7,4.8,35.,0.2,0.1,0.1,0.,0.,0.,2.1,15.8
4,"Elliott, Ezekiel","DAL","MIN","RB",20.1,89.,0.5,0.4,0.1,0.1,0.,0.,0.,5.3,0.7,4.,31.,0.1,0.1,0.1,0.,0.,0.1,1.9,15.7
5,"Gordon, Melvin","LAC","@OAK","RB",16.1,69.,0.7,0.4,0.2,0.1,0.,0.,0.,4.8,0.7,3.4,31.,0.2,0.1,0.1,0.,0.,0.,2.3,15.7
6,"Gurley, Todd","LAR","@PIT","RB",14.,72.,0.8,0.6,0.1,0.,0.,0.,0.,4.6,0.9,3.,28.,0.1,0.1,0.1,0.,0.,0.1,2.4,15.7
7,"McCaffrey, Christian","CAR","@GBP","RB",12.,55.,0.3,0.3,0.,0.,0.,0.,0.,8.6,1.,6.7,56.,0.4,0.7,0.1,5.,2.,0.,2.2,15.6
8,"Kamara, Alvin","NOS","ATL","RB",11.7,53.,0.6,0.5,0.1,0.1,0.,0.,0.,6.8,1.4,5.2,49.,0.2,0.2,0.1,3.,24.,0.,2.5,15.4
9,"Cook, Dalvin","MIN","@DAL","RB",16.,75.,0.5,0.3,0.1,0.1,0.,0.,0.,5.5,0.5,4.2,35.,0.2,0.1,0.1,0.,1.,0.1,1.6,15.
10,"Henry, Derrick","TEN","KCC","RB",16.4,78.,0.8,0.6,0.1,0.,0.1,0.,0.1,1.9,0.2,1.4,13.,0.1,0.1,0.,0.,0.,0.1,2.,14.3
11,"Chubb, Nick","CLE","BUF","RB",15.1,73.,0.6,0.4,0.,0.,0.,0.1,0.1,3.3,0.4,2.4,20.,0.1,0.1,0.,0.,0.,0.,1.6,13.5
12,"Mack, Marlon","IND","MIA","RB",16.8,76.,0.6,0.6,0.,0.,0.,0.,0.,3.3,0.4,2.,13.,0.1,0.1,0.,0.,1.,0.1,1.5,13.
13,"Williams, Damien","KCC","@TEN","RB",11.4,55.,0.7,0.6,0.1,0.,0.,0.,0.,3.9,0.9,3.2,18.,0.3,0.1,0.1,0.,0.,0.1,2.2,12.8
14,"Barber, Peyton","TBB","ARZ","RB",20.4,76.,0.5,0.5,0.,0.,0.,0.,0.,2.9,0.4,2.,11.,0.,0.,0.,0.,0.,0.1,2.4,11.8
15,"Jones, Aaron","GBP","CAR","RB",12.,59.,0.5,0.4,0.,0.1,0.1,0.,0.,3.6,0.3,2.5,19.,0.1,0.1,0.,0.,1.,0.1,1.2,11.5
16,"Jacobs, Josh","OAK","LAC","RB",13.4,64.,0.4,0.3,0.,0.1,0.,0.,0.1,4.1,0.3,3.2,27.,0.,0.1,0.1,0.,0.,0.2,1.4,11.2
17,"Mixon, Joe","CIN","BAL","RB",14.4,65.,0.4,0.4,0.1,0.,0.,0.,0.,3.2,0.4,2.5,20.,0.,0.1,0.,0.,0.,0.1,1.5,11.1
18,"Johnson, David","ARZ","@TBB","RB",14.9,55.,0.3,0.3,0.,0.,0.,0.,0.,4.9,0.6,3.,27.,0.1,0.1,0.1,0.,0.1,0.1,1.3,10.8
19,"Montgomery, David","CHI","DET","RB",10.,44.,0.5,0.4,0.1,0.,0.,0.,0.,3.5,0.6,2.6,23.,0.2,0.1,0.1,9.,2.,0.1,1.3,10.7
20,"Coleman, Tevin","SFO","SEA","RB",11.5,60.,0.3,0.1,0.,0.1,0.,0.1,0.,2.8,0.6,2.2,20.,0.1,0.1,0.,0.,0.,0.,1.3,10.4
21,"Carson, Chris","SEA","@SFO","RB",13.7,60.,0.4,0.4,0.,0.,0.,0.,0.,2.1,0.2,1.8,13.,0.1,0.1,0.,0.,0.,0.1,1.5,10.
22,"Johnson, Kerryon","DET","@CHI","RB",10.1,50.,0.4,0.4,0.,0.,0.,0.,0.,3.,0.5,2.5,19.,0.1,0.1,0.,0.,1.,0.1,1.1,9.8
23,"Ingram, Mark","BAL","@CIN","RB",10.7,54.,0.5,0.3,0.2,0.,0.,0.,0.,2.2,0.2,1.7,11.,0.1,0.1,0.,0.,0.,0.1,1.5,9.8
24,"Freeman, Devonta","ATL","@NOS","RB",11.4,53.,0.3,0.2,0.,0.,0.1,0.,0.,3.1,0.5,2.2,17.,0.1,0.1,0.,0.,0.,0.1,1.5,9.7
25,"Pollard, Tony","DAL","MIN","RB",15.9,64.,0.3,0.2,0.1,0.,0.,0.,0.,2.1,0.1,1.4,13.,0.,0.,0.,0.,5.,0.1,0.2,9.3
