"Rank","Player","Team","Opp","Position","XP","XPA","FG","Att","10-19","20-29","30-39","40-49","50+","Miss","Pts"
1,"Zuerlein, Greg","LAR","CHI","K",2.8,2.9,2.3,2.7,0.,0.8,0.7,0.4,0.4,0.4,9.8
2,"Lutz, Wil","NOS","@TBB","K",3.2,3.3,1.8,2.,0.,0.4,0.5,0.7,0.2,0.2,9.1
3,"Gould, Robbie","SFO","ARZ","K",1.7,1.8,2.2,2.3,0.,0.5,0.8,0.7,0.2,0.1,9.1
4,"Butker, Harrison","KCC","@LAC","K",3.1,3.3,1.7,1.9,0.,0.4,0.7,0.4,0.2,0.2,8.2
5,"Tucker, Justin","BAL","HOU","K",2.1,2.1,1.9,2.2,0.,0.5,0.6,0.5,0.3,0.3,8.1
6,"Hopkins, Dustin","WAS","NYJ","K",1.9,2.,1.8,2.,0.,0.5,0.4,0.7,0.2,0.2,7.8
7,"Bryant, Matt","ATL","@CAR","K",2.2,2.2,1.6,1.8,0.,0.3,0.4,0.5,0.3,0.1,7.8
8,"Prater, Matt","DET","DAL","K",2.1,2.2,1.8,2.,0.1,0.4,0.7,0.4,0.3,0.2,7.7
9,"Fairbairn, Ka'imi","HOU","@BAL","K",2.2,2.4,1.8,2.,0.,0.4,0.6,0.6,0.2,0.3,7.6
10,"Boswell, Chris","PIT","@CLE","K",2.8,3.,1.6,1.9,0.,0.4,0.6,0.5,0.1,0.3,7.5
11,"Gostkowski, Stephen","NEP","@PHI","K",2.8,2.9,1.6,2.,0.,0.6,0.5,0.4,0.1,0.3,7.3
12,"Carlson, Daniel","OAK","CIN","K",1.9,1.9,1.5,1.7,0.,0.3,0.3,0.7,0.3,0.2,7.
13,"Slye, Joey","CAR","ATL","K",2.,2.1,1.2,1.3,0.,0.3,0.4,0.3,0.2,0.1,6.1
14,"Elliott, Jake","PHI","NEP","K",1.9,2.1,1.4,1.6,0.,0.3,0.4,0.5,0.2,0.2,6.1
15,"Vinatieri, Adam","IND","JAC","K",2.1,2.3,1.3,1.6,0.,0.5,0.3,0.3,0.2,0.3,6.1
16,"Lambo, Josh","JAC","@IND","K",1.6,1.7,1.4,1.6,0.,0.2,0.6,0.3,0.2,0.2,5.8
17,"Catanzaro, Chandler","Ret","Bye","K",1.8,2.1,1.4,1.6,0.,0.3,0.5,0.2,0.3,0.2,5.8
18,"Hauschka, Steven","BUF","@MIA","K",1.6,1.7,1.5,1.8,0.,0.2,0.6,0.4,0.3,0.4,5.7
19,"Badgley, Mike","LAC","KCC","K",1.9,2.1,1.3,1.6,0.,0.4,0.4,0.4,0.1,0.3,5.6
20,"Bullock, Randy","CIN","@OAK","K",2.,2.1,1.1,1.3,0.,0.3,0.4,0.3,0.1,0.2,5.2
21,"McManus, Brandon","DEN","@MIN","K",1.9,1.9,1.2,1.6,0.,0.3,0.5,0.4,0.1,0.4,5.
22,"Maher, Brett","DAL","@DET","K",1.9,1.9,1.3,1.8,0.,0.5,0.3,0.3,0.2,0.5,4.9
23,"Gay, Matt","TBB","NOS","K",2.1,2.2,1.3,1.8,0.,0.3,0.6,0.3,0.1,0.5,4.8
24,"Bailey, Dan","MIN","DEN","K",2.,2.2,1.3,1.9,0.,0.3,0.6,0.2,0.1,0.6,4.8
25,"Sanders, Jason","MIA","BUF","K",1.8,1.9,1.,1.1,0.,0.4,0.2,0.4,0.,0.1,4.7
26,"Gonzalez, Zane","ARZ","@SFO","K",1.2,1.4,1.1,1.5,0.,0.2,0.4,0.3,0.2,0.4,4.1
27,"Pineiro, Eddy","CHI","@LAR","K",1.5,1.6,1.,1.3,0.,0.3,0.4,0.4,0.,0.3,3.9
28,"Seibert, Austin","CLE","PIT","K",1.6,1.9,0.9,1.2,0.,0.2,0.4,0.3,0.1,0.3,3.8
"","","","","","","","","","","","","","","",""
