"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Smith-Schuster, JuJu","PIT","@ARZ","WR",12.,2.,7.7,107.,0.9,0.3,0.2,0.2,0.,0.1,0.2,0.,0.,0.,8.,0.,1.6,16.
2,"Hill, Tyreek","KCC","@NEP","WR",8.5,0.7,5.3,84.,0.5,0.1,0.1,0.1,0.,0.,0.2,8.,0.1,11.,1.,0.,1.1,13.
3,"Hopkins, DeAndre","HOU","DEN","WR",11.3,1.4,6.6,90.,0.7,0.3,0.2,0.1,0.1,0.1,0.,-0.2,0.,0.,0.,0.1,1.3,12.8
4,"Thomas, Michael","NOS","SFO","WR",10.8,1.8,7.7,88.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.2,11.6
5,"Brown, Antonio","OAK","TEN","WR",9.8,1.2,6.1,76.,0.6,0.2,0.1,0.2,0.,0.1,0.1,0.,0.,0.,0.,0.,1.1,11.6
6,"Adams, Davante","GBP","WAS","WR",10.,1.6,6.1,74.,0.7,0.2,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.9,11.5
7,"Beckham, Odell","CLE","CIN","WR",8.9,1.3,5.2,71.,0.6,0.2,0.2,0.1,0.,0.1,0.,2.,0.,2.,1.,0.1,1.2,11.
8,"Jones, Julio","ATL","CAR","WR",8.5,1.1,5.4,78.,0.5,0.1,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.2,1.1,10.3
9,"Hilton, T.Y.","IND","@TBB","WR",8.9,0.8,4.8,81.,0.3,0.1,0.,0.1,0.,0.1,0.1,0.,0.,0.,0.,0.,0.7,10.1
10,"Pettis, Dante","SFO","@NOS","WR",6.5,0.7,3.9,63.,0.6,0.2,0.1,0.1,0.,0.,0.1,1.,0.,1.,0.,0.,0.8,10.
11,"Lockett, Tyler","SEA","@LAR","WR",5.,0.5,3.5,63.,0.6,0.1,0.1,0.2,0.1,0.,0.1,3.,0.,7.,27.,0.,0.7,10.
12,"Moore, D.J.","CAR","@ATL","WR",8.1,1.,5.,71.,0.4,0.1,0.1,0.1,0.,0.,0.1,4.,0.,1.,9.,0.1,0.9,9.9
13,"Shepard, Sterling","NYG","@PHI","WR",8.,1.6,4.9,72.,0.4,0.2,0.1,0.,0.,0.1,0.,1.,0.,1.,1.,0.,1.,9.7
14,"Parker, DeVante","MIA","@NYJ","WR",8.,0.8,5.2,71.,0.4,0.1,0.1,0.1,0.,0.,0.1,0.,0.,2.,2.,0.,0.8,9.7
15,"Cooks, Brandin","LAR","SEA","WR",7.1,1.,4.7,71.,0.3,0.2,0.1,0.,0.,0.,0.,3.,0.,0.,0.,0.,0.8,9.5
16,"Edelman, Julian","NEP","KCC","WR",7.8,1.2,5.3,69.,0.4,0.2,0.1,0.1,0.1,0.,0.,4.,0.,12.,0.,0.,0.9,9.4
17,"Diggs, Stefon","MIN","DET","WR",8.3,1.2,5.5,58.,0.5,0.3,0.1,0.1,0.1,0.,0.,3.,0.,0.,0.,0.,0.9,9.3
18,"Cooper, Amari","DAL","@CHI","WR",7.1,0.6,4.7,64.,0.5,0.1,0.1,0.1,0.,0.1,0.2,1.,0.,0.,0.,0.1,0.8,9.3
19,"Thielen, Adam","MIN","DET","WR",8.3,1.1,5.4,65.,0.4,0.2,0.1,0.,0.,0.1,0.,1.,0.,0.,0.,0.1,0.8,9.1
20,"Allen, Keenan","LAC","@JAC","WR",8.3,1.1,5.,67.,0.3,0.1,0.1,0.,0.,0.1,0.,2.,0.,0.,1.,0.,1.,9.1
21,"Green, A.J.","CIN","@CLE","WR",7.9,1.1,4.1,58.,0.5,0.2,0.1,0.,0.,0.,0.1,0.,0.,0.,3.,0.1,1.,8.5
22,"Sutton, Courtland","DEN","@HOU","WR",8.1,1.,4.3,63.,0.4,0.1,0.1,0.1,0.1,0.,0.,-0.1,0.,0.,0.,0.,0.8,8.4
23,"Woods, Robert","LAR","SEA","WR",7.3,0.6,4.8,64.,0.2,0.1,0.,0.,0.1,0.,0.,7.,0.,0.,0.,0.,0.4,8.4
24,"Ridley, Calvin","ATL","CAR","WR",6.1,0.7,4.2,50.,0.5,0.2,0.1,0.,0.1,0.1,0.1,1.,0.,0.,3.,0.1,0.9,8.2
25,"Sanders, Emmanuel","DEN","@HOU","WR",8.3,1.,5.2,59.,0.3,0.2,0.,0.1,0.,0.,0.1,1.,0.,0.,0.,0.,0.9,8.2
26,"Brown, John","BUF","BAL","WR",6.7,1.,3.3,52.,0.5,0.1,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.8,8.
27,"Godwin, Chris","TBB","IND","WR",6.4,1.1,4.2,57.,0.3,0.1,0.1,0.1,0.,0.,0.1,1.,0.,2.,0.,0.1,1.1,7.9
28,"Gordon, Josh","NEP","KCC","WR",6.7,0.6,3.5,56.,0.3,0.1,0.1,0.1,0.1,0.,0.,3.,0.,1.,3.,0.,0.7,7.9
29,"Fitzgerald, Larry","ARZ","PIT","WR",8.6,1.1,5.2,56.,0.4,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.9,7.9
30,"Evans, Mike","TBB","IND","WR",6.6,0.7,3.6,59.,0.3,0.1,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.7,7.7
31,"Jeffery, Alshon","PHI","NYG","WR",6.3,0.9,3.7,51.,0.4,0.2,0.1,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.8,7.6
32,"Boyd, Tyler","CIN","@CLE","WR",6.2,0.6,3.8,51.,0.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.6,7.4
33,"Robinson, Allen","CHI","DAL","WR",7.7,0.8,4.4,61.,0.2,0.,0.1,0.1,0.,0.,0.,1.,0.,0.,0.,0.1,0.8,7.4
34,"Davis, Corey","TEN","@OAK","WR",7.3,0.7,4.2,54.,0.3,0.,0.1,0.1,0.,0.1,0.,2.,0.,0.,0.,0.,0.7,7.3
35,"Golladay, Kenny","DET","@MIN","WR",6.3,0.9,3.4,50.,0.4,0.2,0.1,0.,0.1,0.,0.,0.,0.,1.,0.,0.,0.7,7.2
36,"Anderson, Robby","NYJ","MIA","WR",5.9,0.7,3.5,49.,0.4,0.1,0.1,0.1,0.1,0.,0.,0.,0.,0.,1.,0.1,0.9,7.1
37,"Valdes-Scantling, Marquez","GBP","WAS","WR",7.,0.9,3.8,54.,0.2,0.,0.,0.1,0.,0.1,0.,2.,0.,1.,1.,0.,0.5,7.
