"Rank","Player","Team","Opp","Position","PUNTS","PUNT_YDS","PUNT_RETURN_YD","PUNT_INSIDE20","Pts"
1,"Lee, Andy","ARZ","CLE","P",5.8,280.,23.,2.2,19.7
2,"Cooke, Logan","JAC","@OAK","P",5.5,249.,14.,2.2,17.8
3,"Way, Tress","WAS","PHI","P",5.1,234.,23.,2.3,17.4
4,"Edwards, Lachlan","NYJ","@BAL","P",5.5,252.,25.,1.7,17.
5,"Haack, Matt","MIA","@NYG","P",5.4,240.,21.,2.,16.8
6,"Kern, Brett","TEN","HOU","P",4.8,227.,18.,2.3,16.7
7,"Daniel, Trevor","HOU","@TEN","P",4.8,218.,19.,2.2,16.3
8,"Dickson, Michael","SEA","@CAR","P",5.1,244.,26.,1.6,16.1
9,"Martin, Sam","DET","TBB","P",4.9,217.,17.,2.,15.8
10,"Huber, Kevin","CIN","NEP","P",5.,228.,19.,1.8,15.8
11,"Wadman, Colby","DEN","@KCC","P",5.1,228.,21.,1.7,15.7
12,"Bojorquez, Corey","BUF","@PIT","P",5.,219.,16.,1.9,15.5
13,"Koch, Sam","BAL","NYJ","P",4.4,201.,21.,1.9,14.6
14,"Wile, Matt","MIN","@LAC","P",4.6,208.,13.,1.7,14.5
15,"Sanchez, Rigoberto","IND","@NOS","P",4.4,198.,5.,1.7,14.
16,"O'Donnell, Pat","CHI","@GBP","P",4.2,184.,9.,2.1,14.
17,"Dixon, Riley","NYG","MIA","P",4.6,208.,11.,1.3,13.7
18,"Scott, J.K.","GBP","CHI","P",4.6,203.,14.,1.1,13.2
19,"Cole, A.J.","OAK","JAC","P",4.3,191.,14.,1.4,13.1
20,"Johnston, Cam","PHI","@WAS","P",3.9,184.,11.,1.5,13.
21,"Palardy, Michael","CAR","SEA","P",4.,184.,11.,1.4,12.9
22,"Wishnowsky, Mitch","SFO","ATL","P",4.1,181.,10.,1.5,12.7
23,"Berry, Jordan","PIT","BUF","P",3.8,165.,16.,1.8,12.5
24,"Hekker, Johnny","LAR","@DAL","P",3.5,166.,7.,1.7,12.4
25,"Long, Ty","LAC","MIN","P",3.9,177.,16.,1.3,12.3
26,"Bosher, Matt","ATL","@SFO","P",4.,181.,11.,1.4,12.2
27,"Jones, Chris","DAL","LAR","P",3.9,172.,13.,1.3,12.
28,"Bailey, Jake","NEP","@CIN","P",3.7,162.,11.,1.3,11.5
29,"Pinion, Bradley","TBB","@DET","P",3.9,175.,14.,1.1,11.4
30,"Morstead, Thomas","NOS","IND","P",3.3,151.,7.,1.2,10.7
31,"Colquitt, Dustin","KCC","DEN","P",3.3,148.,9.,1.4,10.7
"","","","","","","","","",""
