"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"Peters, Corey","ARZ","@SEA","DL",3.8,1.2,0.7,0.2,0.,0.1,0.,0.,6.2
2,"Clowney, Jadeveon","SEA","ARZ","DL",3.2,0.8,1.,0.,0.,0.2,0.2,0.,6.1
3,"Watt, J.J.","HOU","@TBB","DL",2.9,0.8,0.9,0.4,0.,0.4,0.,0.,6.
4,"Houston, Justin","IND","CAR","DL",2.8,1.,0.9,0.1,0.,0.3,0.2,0.,5.9
5,"Reed, Jarran","SEA","ARZ","DL",3.1,1.3,0.9,0.1,0.,0.1,0.1,0.,5.8
6,"Campbell, Calais","JAC","@ATL","DL",3.3,1.3,0.7,0.1,0.,0.1,0.1,0.,5.7
7,"Pierre-Paul, Jason","TBB","HOU","DL",3.2,0.9,0.8,0.2,0.,0.,0.,0.,5.4
8,"Clark, Frank","KCC","@CHI","DL",2.3,0.6,0.9,0.2,0.1,0.2,0.1,0.,5.2
9,"Donald, Aaron","LAR","@SFO","DL",2.5,1.,0.9,0.1,0.,0.3,0.1,0.,5.2
10,"Oliver, Ed","BUF","@NEP","DL",2.5,1.2,0.6,0.4,0.,0.2,0.,0.,4.9
11,"Buckner, DeForest","SFO","LAR","DL",2.9,1.2,0.5,0.3,0.,0.,0.,0.,4.9
12,"Bosa, Joey","LAC","OAK","DL",2.7,0.8,0.7,0.1,0.,0.2,0.1,0.,4.9
13,"Flowers, Trey","DET","@DEN","DL",2.6,1.6,0.5,0.1,0.,0.2,0.1,0.,4.7
14,"Garrett, Myles","CLE","BAL","DL",2.2,0.8,0.8,0.1,0.,0.1,0.1,0.,4.6
15,"Clark, Kenny","GBP","@MIN","DL",2.5,1.8,0.4,0.3,0.,0.,0.,0.,4.6
16,"Ford, Dee","SFO","LAR","DL",2.6,1.,0.6,0.1,0.,0.2,0.1,0.,4.6
17,"Jordan, Cameron","NOS","@TEN","DL",2.3,0.7,0.7,0.5,0.,0.,0.,0.,4.6
