"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
1,"Collins, Landon","WAS","@NYG","DB",5.6,1.8,0.,0.8,0.2,0.2,0.,0.,0.,0.,8.
2,"Poyer, Jordan","BUF","NEP","DB",5.2,1.9,0.1,0.5,0.2,0.1,0.,0.,0.,0.,7.3
3,"Bethea, Antoine","NYG","WAS","DB",5.7,1.2,0.1,0.6,0.1,0.1,0.,0.,0.,0.,7.3
4,"Bates, Jessie","CIN","@PIT","DB",5.1,2.5,0.,0.6,0.1,0.,0.,0.,0.,0.,7.2
5,"Williams, Shawn","CIN","@PIT","DB",5.,1.8,0.,0.7,0.3,0.1,0.1,0.,0.,0.,7.2
6,"Mathieu, Tyrann","KCC","@DET","DB",5.,1.2,0.1,1.,0.2,0.,0.,0.,0.,0.,7.1
7,"Abram, Johnathan","OAK","@IND","DB",4.8,1.,0.1,0.9,0.3,0.1,0.,0.,0.,0.,6.9
8,"Clinton-Dix, Ha Ha","CHI","MIN","DB",4.9,0.7,0.,0.9,0.3,0.1,0.,0.,0.,0.,6.9
9,"Harrison, Ronnie","JAC","@DEN","DB",5.2,0.7,0.,0.7,0.1,0.,0.,0.,0.,0.,6.5
10,"Baker, Budda","ARZ","SEA","DB",5.,1.5,0.1,0.4,0.,0.1,0.1,0.,0.,0.,6.4
11,"Moore, Kenny","IND","OAK","DB",4.4,1.1,0.1,0.7,0.2,0.1,0.,0.,0.,0.,6.3
12,"Reid, Justin","HOU","CAR","DB",4.2,1.2,0.1,0.8,0.2,0.1,0.1,0.,0.,0.,6.2
13,"Randall, Damarious","CLE","@BAL","DB",4.7,0.9,0.,0.7,0.2,0.,0.,0.,0.,2.,6.2
14,"Evans, Justin","TBB","@LAR","DB",4.8,1.3,0.,0.4,0.1,0.,0.,0.,0.,0.,6.1
15,"Amos, Adrian","GBP","PHI","DB",4.6,1.1,0.,0.7,0.1,0.,0.,0.,0.,0.,6.1
16,"Jones, Reshad","MIA","LAC","DB",4.6,1.3,0.,0.5,0.2,0.,0.,0.,0.,0.,6.1
17,"Johnson, John","LAR","TBB","DB",4.2,1.7,0.,0.6,0.2,0.,0.,0.,0.,0.,6.
18,"Byard, Kevin","TEN","@ATL","DB",4.1,1.6,0.1,0.5,0.3,0.,0.,0.,0.,0.,6.
19,"Jenkins, Malcolm","PHI","@GBP","DB",4.8,1.1,0.,0.4,0.1,0.1,0.,0.,0.,0.,6.
20,"Bell, Vonn","NOS","DAL","DB",4.1,1.2,0.2,0.5,0.2,0.1,0.1,0.,0.,0.,5.9
21,"Smith, Harrison","MIN","@CHI","DB",4.2,1.1,0.1,0.5,0.2,0.,0.,0.,0.,0.,5.8
22,"Burnett, Morgan","CLE","@BAL","DB",3.6,1.3,0.1,0.9,0.2,0.1,0.,0.,0.,1.,5.8
23,"Jackson, Kareem","DEN","JAC","DB",4.,0.8,0.,0.8,0.3,0.1,0.,0.,0.,0.,5.8
