"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
1,"Martinez, Blake","GBP","PHI","LB",6.8,3.6,0.2,0.4,0.,0.,0.,0.,9.3
2,"Whitehead, Tahir","OAK","@IND","LB",6.8,2.9,0.,0.3,0.1,0.1,0.1,0.,8.8
3,"Edmunds, Tremaine","BUF","NEP","LB",5.8,3.,0.1,0.6,0.1,0.1,0.,0.,8.3
4,"Wagner, Bobby","SEA","@ARZ","LB",5.9,3.2,0.1,0.4,0.1,0.1,0.1,0.,8.3
5,"Leonard, Darius","IND","OAK","LB",5.4,2.9,0.3,0.4,0.1,0.2,0.1,0.,8.1
6,"Baker, Jerome","MIA","LAC","LB",6.,2.3,0.2,0.3,0.1,0.1,0.,0.,8.1
7,"Littleton, Cory","LAR","TBB","LB",5.9,1.9,0.2,0.7,0.2,0.,0.,0.,8.1
8,"David, Lavonte","TBB","@LAR","LB",6.4,1.9,0.2,0.1,0.,0.1,0.1,0.,8.
9,"Hicks, Jordan","ARZ","SEA","LB",5.7,2.3,0.3,0.4,0.,0.,0.,0.,7.7
10,"Hitchens, Anthony","KCC","@DET","LB",5.8,3.7,0.,0.,0.,0.1,0.,0.,7.7
11,"Schobert, Joe","CLE","@BAL","LB",5.,3.4,0.2,0.2,0.1,0.1,0.1,0.,7.4
12,"Jones, Deion","ATL","TEN","LB",4.9,2.8,0.,0.6,0.2,0.1,0.,0.,7.4
13,"Bush, Devin","PIT","CIN","LB",4.9,1.6,0.7,0.3,0.1,0.3,0.,0.,7.3
14,"Jack, Myles","JAC","@DEN","LB",5.5,2.,0.2,0.2,0.1,0.1,0.1,0.,7.2
15,"Ogletree, Alec","NYG","WAS","LB",4.3,2.4,0.2,0.6,0.3,0.,0.,0.,7.
16,"Bradham, Nigel","PHI","@GBP","LB",5.3,2.2,0.1,0.5,0.,0.,0.,0.,7.
17,"Brown, Zach","PHI","@GBP","LB",5.3,2.3,0.1,0.3,0.,0.1,0.,0.,7.
18,"Davis, Demario","NOS","DAL","LB",4.9,2.4,0.3,0.3,0.1,0.1,0.1,0.,6.9
19,"Vigil, Nick","CIN","@PIT","LB",5.3,2.1,0.1,0.3,0.,0.,0.,0.,6.8
20,"Smith, Jaylon","DAL","@NOS","LB",5.1,2.3,0.2,0.3,0.,0.1,0.1,0.,6.8
21,"Kuechly, Luke","CAR","@HOU","LB",4.8,2.5,0.1,0.3,0.1,0.1,0.1,0.,6.8
22,"Young, Kenny","BAL","CLE","LB",4.6,1.9,0.4,0.3,0.1,0.2,0.1,0.,6.7
