"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
1,"Kelce, Travis","KCC","IND","TE",8.,1.4,5.1,66.,0.5,0.2,0.2,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,1.,9.5
2,"Ertz, Zach","PHI","NYJ","TE",7.9,1.2,5.4,55.,0.4,0.2,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.8,8.1
3,"Howard, O.J.","TBB","@NOS","TE",4.8,0.8,3.1,46.,0.5,0.3,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.9,7.6
4,"Kittle, George","SFO","CLE","TE",6.4,1.1,3.9,55.,0.2,0.1,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,0.7,6.9
5,"Hooper, Austin","ATL","@HOU","TE",6.3,0.7,5.,48.,0.3,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,6.6
6,"Ebron, Eric","IND","@KCC","TE",5.5,1.,3.3,35.,0.5,0.2,0.2,0.1,0.,0.,0.,-0.3,0.,0.,0.,0.1,0.8,6.6
7,"Rudolph, Kyle","MIN","@NYG","TE",6.1,1.1,4.4,41.,0.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.9,6.5
8,"Olsen, Greg","CAR","JAC","TE",5.,0.9,3.1,35.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,5.7
9,"Cook, Jared","NOS","TBB","TE",4.8,0.7,3.3,42.,0.2,0.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.7,5.5
10,"Witten, Jason","DAL","GBP","TE",5.8,0.8,4.3,39.,0.3,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,5.5
11,"Engram, Evan","NYG","MIN","TE",5.2,0.5,3.1,39.,0.2,0.1,0.1,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.5,5.3
12,"Dissly, Will","SEA","LAR","TE",2.9,0.6,2.,26.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,5.
13,"Waller, Darren","OAK","CHI","TE",4.,0.4,2.7,37.,0.2,0.,0.,0.1,0.,0.,0.,1.,0.,0.,0.,0.,0.6,4.8
14,"Henry, Hunter","LAC","DEN","TE",3.8,0.8,2.6,33.,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,4.7
15,"Graham, Jimmy","GBP","@DAL","TE",5.5,0.8,3.1,33.,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,4.6
16,"Njoku, David","CLE","@SFO","TE",4.4,0.6,2.5,31.,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.6,4.5
17,"McDonald, Vance","PIT","BAL","TE",4.4,0.6,2.9,33.,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.5,4.4
18,"Herndon, Chris","NYJ","@PHI","TE",4.,0.6,2.5,30.,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.5,4.3
19,"Andrews, Mark","BAL","@PIT","TE",3.3,0.6,2.1,32.,0.2,0.1,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.4,4.3
20,"Davis, Vernon","WAS","NEP","TE",3.7,0.3,2.3,34.,0.2,0.,0.,0.1,0.,0.,0.1,0.,0.,0.,0.,0.1,0.3,4.3
21,"Brate, Cameron","TBB","@NOS","TE",3.4,0.7,2.,20.,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.6,3.9
22,"Smith, Jonnu","TEN","BUF","TE",3.2,0.4,2.1,25.,0.2,0.2,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.5,3.8
23,"Reed, Jordan","WAS","NEP","TE",4.6,0.5,3.,30.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,3.8
24,"Walker, Delanie","TEN","BUF","TE",4.2,0.5,2.6,29.,0.2,0.1,0.,0.,0.,0.,0.,-0.1,0.,0.,0.,0.1,0.5,3.8
25,"Watson, Benjamin","NEP","@WAS","TE",3.4,0.5,2.3,30.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,3.6
