"Rank","Player","Team","Opp","Position","GAMES_WON","GAMES_LOST","POINTS_SCORED","POINTS_DIFF","Pts"
1,"Tomlin, Mike","PIT","Bye","HC",1.,0.,30.,7.,21.1
2,"Harbaugh, John","BAL","@SEA","HC",1.,0.,27.,9.,20.2
3,"Marrone, Doug","JAC","@CIN","HC",1.,0.,26.,9.,19.7
4,"Zimmer, Mike","MIN","@DET","HC",1.,0.,24.,8.,18.4
5,"O'Brien, Bill","HOU","@IND","HC",1.,0.,23.,6.,17.3
6,"Patricia, Matt","DET","MIN","HC",1.,0.,22.,6.,16.8
7,"Vrabel, Mike","TEN","LAC","HC",1.,0.,22.,5.,16.5
8,"Reich, Frank","IND","HOU","HC",1.,0.,23.,3.,16.4
9,"Garrett, Jason","DAL","PHI","HC",1.,0.,23.,2.,16.1
10,"Gruden, Jay","WAS","SFO","HC",1.,0.,23.,1.,15.8
11,"Nagy, Matt","CHI","NOS","HC",1.,0.,19.,1.,13.8
12,"McVay, Sean","LAR","@ATL","HC",0.,1.,25.,-4.,11.3
13,"Pederson, Doug","PHI","@DAL","HC",0.,1.,24.,-3.,11.1
14,"Belichick, Bill","NEP","@NYJ","HC",0.,1.,25.,-5.,11.
15,"Shurmur, Pat","NYG","ARZ","HC",0.,1.,22.,-2.,10.4
16,"Reid, Andy","KCC","@DEN","HC",0.,1.,24.,-7.,9.9
17,"Payton, Sean","NOS","@CHI","HC",0.,1.,22.,-5.,9.5
18,"Koetter, Dirk","ATL","LAR","HC",0.,1.,21.,-4.,9.3
19,"Carroll, Pete","SEA","BAL","HC",0.,1.,22.,-6.,9.2
20,"Rivera, Ron","CAR","Bye","HC",0.,1.,20.,-3.,9.1
21,"Gruden, Jon","OAK","@GBP","HC",0.,1.,21.,-5.,9.
22,"Shanahan, Kyle","SFO","@WAS","HC",0.,1.,21.,-8.,8.1
23,"Quinn, Dan","ATL","LAR","HC",0.,1.,19.,-7.,7.4
24,"Lynn, Anthony","LAC","@TEN","HC",0.,1.,19.,-7.,7.4
25,"Gase, Adam","NYJ","NEP","HC",0.,1.,19.,-13.,5.6
26,"McDermott, Sean","BUF","MIA","HC",0.,1.,16.,-17.,2.9
"","","","","","","","","",""
