"Player","Team","Tackle","Assist","Sack","PD","INT","FF","FR"
"Jamal Adams","NYJ",83,25,2.5,10,1,2,2
"Landon Collins","WAS",83,28,1.,9,3,1,1
"John Johnson","LAR",77,39,0.,13,4,1,0
"Budda Baker","ARI",80,29,2.5,7,1,2,1
"Justin Reid","HOU",68,19,1.5,12,4,2,1
"Kevin Byard","TEN",61,25,1.5,11,6,0,1
"Reshad Jones","MIA",73,25,1.5,8,3,1,2
"Harrison Smith","MIN",71,24,2.,9,3,1,1
"Keanu Neal","ATL",77,36,0.,11,1,4,1
"Jordan Poyer","BUF",67,30,2.,9,4,1,1
"Johnathan Abram","OAK",69,28,2.,8,3,2,1
"Eddie Jackson","CHI",62,22,1.,12,4,1,1
"Jessie Bates III","CIN",70,35,0.,9,3,0,0
"Malcolm Jenkins","PHI",69,18,1.,10,2,2,1
"Shawn Williams","CIN",77,27,1.,9,2,0,1
"D.J. Swearinger","ARI",62,20,2.,10,3,2,1
"Earl Thomas","BAL",68,33,0.,10,3,1,0
"Bradley McDougald","SEA",66,18,1.,13,3,1,1
"Adrian Phillips","LAC",70,29,1.,10,2,1,0
"Marcus Peters","LAR",44,39,0.,12,5,1,1
"Antoine Bethea","NYG",75,25,1.,7,2,1,0
"Tyrann Mathieu","KC",70,13,2.,11,2,1,1
"Damarious Randall","CLE",70,21,0.,9,4,0,0
"Ha'Sean Clinton-Dix","CHI",69,16,1.5,8,3,1,0
"Jaquiski Tartt","SF",68,30,2.5,6,2,0,0
"Jabrill Peppers","NYG",70,28,1.5,9,1,1,1
"Justin Simmons","DEN",70,25,1.,6,2,0,0
"Ronnie Harrison","JAC",66,18,2.,10,3,0,0
"Morgan Burnett","CLE",69,31,1.,7,1,1,1
"Donte Jackson","CAR",63,16,1.,11,3,1,0
"Vonn Bell","NO",66,30,1.,6,1,2,1
"Minkah Fitzpatrick","MIA",53,30,0.,14,3,0,0
"Adrian Amos","GB",69,19,1.,9,1,1,1
