"Player","Sack","FR","INT","DefTD","PA","PaYd/G","RuYd/G","Safety","KickTD"
"Chicago Bears",47,12,18,4,304,226.3,91.3,1,1
"Baltimore Ravens",46,9,15,4,299,220.4,97.8,0,1
"Los Angeles Rams",43,11,16,3,365,234.3,120.,1,1
"Houston Texans",40,11,14,4,304,262.6,95.3,0,1
"Philadelphia Eagles",40,11,14,3,341,258.1,95.,2,1
"Jacksonville Jaguars",44,10,13,3,330,210.3,116.8,1,1
"Cleveland Browns",42,11,16,2,397,252.5,138.7,0,1
"New Orleans Saints",46,9,14,2,338,264.4,102.2,1,1
"Indianapolis Colts",40,12,13,2,366,245.7,110.4,1,1
"Minnesota Vikings",45,7,15,2,327,203.1,118.4,1,1
"Los Angeles Chargers",39,10,12,3,348,233.6,102.3,1,1
"Seattle Seahawks",41,12,13,2,339,226.9,116.6,0,1
"Kansas City Chiefs",41,11,12,1,381,254.1,120.4,1,2
"New England Patriots",35,8,15,3,314,240.6,111.2,1,1
"Dallas Cowboys",39,13,12,2,339,242.5,101.3,0,1
"Buffalo Bills",38,10,15,2,366,187.8,120.,0,1
"Denver Broncos",41,9,13,3,375,241.9,123.8,1,0
"Pittsburgh Steelers",45,10,11,2,375,251.3,103.4,0,1
"Miami Dolphins",32,8,12,3,414,255.1,133.8,1,2
"Carolina Panthers",40,10,12,2,366,246.3,103.6,1,0
"Tampa Bay Buccaneers",35,11,12,2,440,263.7,125.3,1,0
"New York Jets",33,8,12,2,419,257.5,117.3,1,1
"Green Bay Packers",41,10,10,2,407,233.1,125.5,0,0
"San Francisco 49ers",35,10,10,2,422,241.2,119.4,0,1
"Atlanta Falcons",38,9,11,2,384,251.6,113.8,1,0
"Tennessee Titans",40,8,12,2,323,229.1,107.1,0,0
"Detroit Lions",37,8,9,2,365,228.8,117.1,1,1
"Arizona Cardinals",40,8,10,2,396,211.8,142.9,1,0
"Washington Redskins",39,9,13,0,366,240.3,120.9,0,0
"New York Giants",31,8,13,1,425,260.3,122.2,1,0
"Cincinnati Bengals",32,5,13,2,425,240.,133.1,0,0
"Oakland Raiders",27,8,12,1,441,250.3,134.2,0,1
