"Player","Team","Tackle","Assist","Sack","PD","INT","FF","FR"
"J.J. Watt","HOU",44,15,15.5,3,0,4,1
"Aaron Donald","LAR",38,14,16.,2,0,4,1
"Joey Bosa","LAC",44,16,13.5,3,0,2,1
"Danielle Hunter","MIN",46,21,13.5,2,0,1,0
"Myles Garrett","CLE",36,15,14.,4,0,2,1
"Calais Campbell","JAC",43,19,11.5,3,0,2,1
"Cameron Jordan","NO",38,14,11.5,5,1,2,1
"Melvin Ingram","LAC",35,16,11.5,4,0,2,2
"DeForest Buckner","SF",44,25,9.,4,0,1,1
"Demarcus Lawrence","DAL",35,13,12.5,1,0,2,1
"Frank Clark","KC",32,12,12.5,2,0,2,1
"Ziggy Ansah","SEA",36,14,10.5,2,0,2,1
"Nick Bosa","SF",28,16,9.5,4,1,3,1
"Dee Ford","SF",36,11,11.,1,0,2,0
"Trey Flowers","DET",38,20,8.5,2,0,2,1
"Carlos Dunlap","CIN",34,16,8.5,8,0,2,1
"Jadeveon Clowney","SEA",36,14,9.5,3,0,2,1
"Chris Jones","KC",27,10,9.5,5,1,3,1
"Akiem Hicks","CHI",40,16,8.,2,0,2,1
"Cameron Heyward","PIT",35,21,8.5,4,0,1,1
"Kenny Clark","GB",38,26,6.5,3,0,2,1
"Yannick Ngakoue","JAC",27,8,11.5,3,0,2,1
"Jurrell Casey","TEN",38,21,7.5,1,0,2,1
"Jonathan Allen","WAS",36,28,9.,0,0,0,0
"Damon Harrison","DET",40,28,5.5,2,0,1,1
"Fletcher Cox","PHI",32,20,8.5,2,0,1,1
"Clelin Ferrell","OAK",24,11,8.,3,1,3,1
"Brandon Graham","PHI",34,13,7.5,2,0,2,1
"Ndamukong Suh","TB",36,24,5.5,4,0,1,1
"Jabaal Sheard","IND",34,15,6.5,3,0,2,1
"Olivier Vernon","CLE",28,16,8.,2,0,2,1
"Jerry Hughes","BUF",29,15,7.5,3,0,2,1
"Geno Atkins","CIN",28,16,9.5,1,0,0,1
"Christian Wilkins","MIA",30,16,6.5,4,1,1,0
"Da'Ron Payne","WAS",36,22,5.,3,0,1,1
"Mario Addison","CAR",25,13,8.5,1,0,2,1
"Quinnen Williams","NYJ",30,12,7.5,3,0,1,0
"Bruce Irvin","CAR",28,12,8.5,1,0,1,0
"Everson Griffen","MIN",30,13,7.5,2,0,1,0
"Grady Jarrett","ATL",30,22,5.,0,0,2,1
"Marcus Davenport","NO",26,15,7.,2,0,1,1
"Vic Beasley","ATL",25,6,7.5,2,0,2,1
"Stephon Tuitt","PIT",28,12,6.5,3,0,1,1
"Carl Nassib","TB",22,10,6.5,3,0,3,1
"Denico Autry","IND",23,11,7.5,3,0,1,1
"Michael Bennett","NE",25,11,8.,1,0,1,0
"Sheldon Rankins","NO",28,13,6.5,3,0,1,0
"B.J. Hill","NYG",30,16,5.5,3,0,1,0
"Romeo Okwara","DET",26,12,7.5,1,0,1,0
"Kawann Short","CAR",27,19,6.,2,0,1,0
"Linval Joseph","MIN",38,25,2.5,0,0,1,1
"Leonard Williams","NYJ",29,21,5.5,2,0,0,1
"Derek Barnett","PHI",26,9,7.,2,0,1,1
"Brian Burns","CAR",24,9,7.5,3,0,1,0
"Sam Hubbard","CIN",25,11,6.5,2,0,1,1
"Ed Oliver","BUF",22,16,5.5,4,0,1,1
"Larry Ogunjobi","CLE",30,18,4.5,0,0,1,0
"Trent Murphy","BUF",22,17,5.,1,0,2,1
"Emmanuel Ogbah","KC",22,13,5.5,4,0,1,1
"Zach Allen","ARI",26,9,6.,2,0,1,0
"Derek Wolfe","DEN",30,12,4.5,3,0,0,1
"Takkarist McKinley","ATL",21,15,6.5,1,0,1,0
"Margus Hunt","IND",25,11,5.,3,0,1,1
"Javon Hargrave","PIT",25,14,5.,1,0,1,1
"L.J. Collier","SEA",22,11,5.5,3,0,1,1
"Mike Daniels","DET",28,11,5.,1,0,1,0
"Allen Bailey","ATL",25,13,4.,1,0,2,1
"Robert Quinn","DAL",17,9,6.5,2,0,2,0
"Sheldon Richardson","CLE",23,19,4.5,1,0,1,0
"Dean Lowry","GB",25,14,3.5,3,0,1,1
"A'Shawn Robinson","DET",31,16,1.5,4,0,1,1
"Oshane Ximines","NYG",19,11,5.5,2,0,1,1
"Henry Anderson","NYJ",19,11,6.,2,0,1,0
"Matthew Ioannidis","WAS",18,12,6.5,0,0,1,0
"Kerry Hyder","DAL",23,8,4.5,2,0,1,1
"Jason Pierre-Paul","TB",23,5,5.,3,0,1,0
"Shelby Harris","DEN",22,14,3.5,3,1,0,0
"Willie Henry","BAL",23,10,4.5,3,0,0,1
"Brandon Mebane","LAC",27,20,2.,1,0,1,1
"Alex Okafor","KC",23,9,4.5,2,0,1,0
"Michael Brockers","LAR",32,15,2.5,1,0,0,0
"Dexter Lawrence","NYG",24,21,2.5,1,0,1,1
"Ronald Blair","SF",26,13,4.5,0,0,0,0
"Tyrone Crawford","DAL",20,11,4.5,2,0,1,1
"Jarran Reed","SEA",20,10,5.5,0,0,1,0
"Lawrence Guy","NE",28,26,1.,1,0,1,0
"Rashan Gary","GB",14,6,5.,4,0,2,1
"Solomon Thomas","SF",31,7,3.,0,0,0,1
"Vita Vea","TB",23,11,3.5,2,0,1,0
"Eddie Goldman","CHI",27,14,2.5,1,0,0,1
"Malcom Brown","NO",25,20,2.5,0,0,0,1
"Benson Mayowa","OAK",23,8,3.,3,0,1,1
"Arden Key","OAK",26,12,3.5,1,0,0,0
"Adam Gotsis","DEN",23,11,2.5,3,0,1,1
"Montravius Adams","GB",19,11,4.,1,0,1,1
"Deatrich Wise","NE",17,14,5.5,0,0,0,0
"Shaq Lawson","BUF",16,13,4.,3,0,1,0
"Arik Armstead","SF",23,10,3.5,2,0,0,0
"Taco Charlton","DAL",16,9,4.5,2,0,1,0
"Kemoko Turay","IND",15,6,5.5,0,0,1,0
"Stephen Weatherly","MIN",20,10,3.5,1,0,1,0
"Dalvin Tomlinson","NYG",30,24,0.,1,0,0,0
"Rodney Gunter","ARI",24,9,2.5,1,0,1,0
"Marcell Dareus","JAC",24,7,2.5,2,0,1,0
"Quinton Jefferson","SEA",15,11,4.,2,0,1,0
"Adrian Clayborn","ATL",18,4,4.5,0,0,1,0
"Brandon Williams","BAL",24,15,1.,2,0,1,0
"Michael Pierce","BAL",24,15,1.5,1,0,0,1
"Da'Shawn Hand","DET",20,9,2.5,1,0,1,1
"Davon Godchaux","MIA",25,14,1.5,2,0,0,0
"Corey Peters","ARI",23,11,2.,1,0,0,1
"Vinny Curry","PHI",20,9,2.5,0,0,1,0
"Isaac Rochell","LAC",15,8,4.,1,0,0,0
"Poona Ford","SEA",20,12,1.5,1,0,1,0
"D.J. Reader","HOU",23,12,1.5,0,0,0,0
"Jacob Martin","SEA",13,3,4.5,1,0,0,0
"Mario Edwards Jr.","NO",15,6,3.,0,0,1,0
"Derek Rivers","NE",14,7,3.5,1,0,0,0
"Chris Smith","CLE",15,8,2.,2,0,1,0
"DaQuan Jones","TEN",18,10,2.,1,0,0,0
"Andrew Billings","CIN",17,9,2.5,0,0,0,0
"Angelo Blackson","HOU",16,8,2.5,1,0,0,0
"Tyler Lancaster","GB",22,9,1.,0,0,0,0
"Kerry Wynn","CIN",15,8,1.5,1,0,1,0
"Antwaun Woods","DAL",14,16,1.5,1,0,0,0
