"Player","Team","Tackle","Assist","Sack","PD","INT","FF","FR"
"Darius Leonard","IND",103,44,6.,6,2,3,2
"Bobby Wagner","SEA",92,50,2.5,8,2,1,1
"Blake Martinez","GB",92,50,4.,6,1,1,1
"Luke Kuechly","CAR",95,48,2.,7,2,1,1
"Deion Jones","ATL",90,41,1.,10,3,1,0
"Leighton Vander Esch","DAL",105,38,0.,8,2,0,0
"Devin Bush","PIT",92,35,1.5,8,2,2,1
"Tremaine Edmunds","BUF",88,44,3.,9,2,2,0
"Roquan Smith","CHI",90,38,5.5,7,1,1,0
"Cory Littleton","LAR",91,36,3.,12,2,1,0
"C.J. Mosley","NYJ",88,38,3.5,7,2,2,1
"Myles Jack","JAC",90,42,4.5,6,1,1,1
"Jordan Hicks","ARI",86,42,2.5,6,2,2,1
"Jaylon Smith","DAL",81,37,3.5,5,1,2,2
"Alec Ogletree","NYG",76,35,2.,8,3,2,1
"Devin White","TB",82,44,3.5,6,1,2,1
"Lavonte David","TB",82,31,3.5,7,2,2,1
"Khalil Mack","CHI",51,18,13.5,3,1,3,1
"Kwon Alexander","SF",88,38,2.5,5,1,2,1
"Zach Cunningham","HOU",84,41,2.5,7,1,2,1
"Christian Kirksey","CLE",77,51,2.5,6,2,1,1
"DeMario Davis","NO",82,37,5.,3,0,1,1
"Joe Schobert","CLE",74,44,3.,7,1,2,1
"Jerome Baker","MIA",73,35,3.5,6,1,1,1
"Matt Milano","BUF",69,36,1.5,9,2,2,2
"Jayon Brown","TEN",65,35,5.,6,1,2,1
"T.J. Watt","PIT",49,22,10.,5,1,3,1
"Von Miller","DEN",46,13,13.,3,0,3,2
"Patrick Onwuasor","BAL",71,52,2.,3,1,1,1
"Germaine Pratt","CIN",77,32,1.5,6,1,2,1
"Eric Kendricks","MIN",66,41,2.,7,1,1,1
"Wesley Woodyard","TEN",66,38,4.5,3,1,1,1
"Tahir Whitehead","OAK",80,33,1.,5,1,1,1
"Thomas Davis","LAC",70,36,2.5,4,1,2,1
"Anthony Hitchens","KC",81,53,0.5,2,0,1,0
"Danny Trevathan","CHI",72,33,2.5,6,1,1,1
"Bradley Chubb","DEN",46,25,11.,3,0,2,1
"Chandler Jones","ARI",38,11,12.5,3,1,3,1
"Todd Davis","DEN",70,38,1.5,5,1,1,1
"Jahlani Tavai","DET",56,25,3.5,7,2,2,1
"Raekwon McMillan","MIA",73,44,0.,2,1,1,1
"Shaun Dion Hamilton","WAS",62,28,4.,4,1,1,1
"K.J. Wright","SEA",70,33,1.,5,1,1,1
"Fred Warner","SF",77,33,0.,7,0,1,1
"Ryan Kerrigan","WAS",32,12,13.,1,1,3,0
"Nigel Bradham","PHI",66,29,1.5,6,1,1,1
"Preston Brown","CIN",60,49,0.5,3,1,1,2
"Kyle Van Noy","NE",56,33,4.5,2,1,1,0
