"Player","Team","Rush Att","Rush Yard","Rush TD","Rec","Rec Yard","Rec TD"
"Saquon Barkley","NYG",265,1244,10,89,688,3
"Alvin Kamara","NO",164,804,10,86,771,5
"Christian McCaffrey","CAR",215,947,6,97,789,5
"James Conner","PIT",242,1088,9,55,412,2
"Ezekiel Elliott","DAL",242,1089,9,50,382,2
"David Johnson","ARI",257,1055,8,56,472,2
"Le'Veon Bell","NYJ",247,1064,7,61,455,2
"Todd Gurley","LAR",224,1007,9,44,375,2
"Dalvin Cook","MIN",241,1085,6,55,410,3
"Nick Chubb","CLE",239,1125,8,41,288,1
"Joe Mixon","CIN",236,1084,7,46,337,1
"Derrick Henry","TEN",240,1106,9,18,125,0
"Kerryon Johnson","DET",210,985,6,44,303,2
"Chris Carson","SEA",236,1040,7,27,225,1
"Leonard Fournette","JAC",250,975,6,43,336,1
"Devonta Freeman","ATL",201,926,7,39,320,1
"Marlon Mack","IND",237,1044,7,29,197,1
"Aaron Jones","GB",187,937,7,35,275,1
"Mark Ingram","BAL",210,946,7,38,256,1
"Josh Jacobs","OAK",222,956,6,35,247,1
"Damien Williams","KC",169,745,7,44,336,2
"Phillip Lindsay","DEN",185,888,6,38,265,1
"James White","NE",90,385,3,82,661,4
"David Montgomery","CHI",180,736,6,39,275,1
"Duke Johnson","HOU",148,665,4,43,397,2
"Austin Ekeler","LAC",134,642,4,44,397,2
"Sony Michel","NE",193,887,7,6,46,0
"Tevin Coleman","SF",164,737,4,38,314,1
"Kenyan Drake","MIA",149,685,4,40,302,2
"Devin Singletary","BUF",170,678,4,31,259,1
"Melvin Gordon","LAC",135,649,4,27,221,2
"Rashaad Penny","SEA",149,672,5,26,184,1
"Latavius Murray","NO",159,666,6,21,135,0
"Miles Sanders","PHI",133,584,4,34,258,1
"Tarik Cohen","CHI",72,315,2,63,519,3
"Jordan Howard","PHI",171,717,5,17,112,0
"Derrius Guice","WAS",143,628,5,25,186,0
"Adrian Peterson","WAS",155,636,5,19,131,0
"Peyton Barber","TB",167,652,4,23,165,0
"Kalen Ballage","MIA",145,565,4,34,221,0
"Matt Breida","SF",139,555,3,30,230,1
"Royce Freeman","DEN",169,675,4,13,74,0
"Dion Lewis","TEN",104,414,3,48,329,1
"Jaylen Samuels","PIT",79,341,3,34,265,2
"LeSean McCoy","KC",102,419,4,21,155,1
"Ronald Jones","TB",123,506,3,17,113,0
"Darrell Henderson","LAR",102,437,3,22,165,0
"Giovani Bernard","CIN",81,325,2,37,276,1
"Frank Gore","BUF",129,515,3,11,86,0
"Justin Jackson","LAC",108,475,3,17,126,0
"Justice Hill","BAL",79,346,3,31,195,1
"Jalen Richard","OAK",48,214,1,56,446,1
"Chris Thompson","WAS",49,216,0,60,421,2
"Ito Smith","ATL",89,366,2,27,184,1
"C.J. Anderson","DET",96,384,3,20,158,0
"Nyheim Hines","IND",73,286,1,44,307,1
"Tony Pollard","DAL",101,405,3,18,110,0
"Damien Harris","NE",99,385,3,15,115,0
"Jamaal Williams","GB",100,389,2,23,148,0
"Kareem Hunt","CLE",76,343,3,16,115,0
"Mike Davis","CHI",76,326,3,14,124,0
"Carlos Hyde","HOU",81,356,2,14,105,0
"Alexander Mattison","MIN",89,346,2,13,96,0
"Gus Edwards","BAL",85,389,2,3,25,0
"Ryquell Armstead","JAC",63,277,2,18,137,0
"Ty Montgomery","NYJ",61,225,1,20,149,1
"Darwin Thompson","KC",56,247,1,14,110,1
"Rex Burkhead","NE",56,219,2,17,125,0
"Malcolm Brown","LAR",61,251,2,11,79,0
"Chase Edmonds","ARI",56,224,1,15,135,0
"Kyle Juszczyk","SF",8,30,1,29,247,1
"T.J. Yeldon","BUF",44,186,1,18,145,0
"C.J. Prosise","SEA",31,113,0,28,197,1
"Corey Clement","PHI",40,157,1,22,145,0
"Wayne Gallman","NYG",56,220,1,10,77,0
"Brian Hill","ATL",57,228,1,9,67,0
"Theo Riddick","DEN",21,85,0,27,189,1
"Dare Ogunbowale","TB",40,155,1,15,115,0
"Jordan Scarlett","CAR",45,178,1,13,86,0
"Darren Sproles","PHI",33,143,0,21,178,0
"DeAndre Washington","OAK",46,181,1,10,76,0
"Dexter Williams","GB",39,155,1,9,56,0
"Dwayne Washington","NO",48,205,1,1,6,0
"Devontae Booker","DEN",33,154,1,7,54,0
"Dontrell Hilliard","CLE",36,140,0,14,95,0
"Ty Johnson","DET",39,155,0,11,75,0
"Jordan Wilkins","IND",28,124,1,2,11,0
"Mike Boone","MIN",30,116,1,2,12,0
"Alfred Morris","DAL",25,94,1,3,16,0
"Raheem Mostert","SF",27,104,0,6,46,0
"Benny Snell","PIT",32,126,0,2,16,0
"Bilal Powell","NYJ",28,94,0,2,15,0
"Trayveon Williams","CIN",20,84,0,2,14,0
"Myles Gaskin","MIA",23,88,0,1,6,0
"Spencer Ware","IND",22,87,0,1,6,0
"Kenjon Barner","ATL",17,75,0,1,11,0
"Patrick DiMarco","BUF",1,6,0,9,69,0
"Alex Armah","CAR",3,11,1,0,0,0
"Brandon Bolden","NE",13,49,0,1,11,0
"Paul Perkins","NYG",11,44,0,2,16,0
"Rod Smith","NYG",8,34,0,3,25,0
"James Develin","NE",1,4,0,7,53,0
"Jamize Olawale","DAL",2,8,0,3,17,0
