"Player","Team","Rec","Rec Yard","Rec TD","Rush Att","Rush Yard","Rush TD"
"DeAndre Hopkins","HOU",108,1486,12,0,0,0
"Julio Jones","ATL",111,1582,9,1,8,0
"Davante Adams","GB",109,1401,11,0,0,0
"JuJu Smith-Schuster","PIT",101,1389,10,0,0,0
"Tyreek Hill","KC",80,1215,10,14,107,1
"Michael Thomas","NO",120,1388,8,0,0,0
"Mike Evans","TB",86,1360,7,0,0,0
"Odell Beckham Jr.","CLE",88,1222,9,0,0,0
"Antonio Brown","OAK",87,1145,8,0,0,0
"Adam Thielen","MIN",87,1176,7,3,23,0
"Keenan Allen","LAC",95,1213,6,3,22,0
"Tyler Lockett","SEA",71,1025,7,9,64,0
"Amari Cooper","DAL",81,1089,7,0,0,0
"Kenny Golladay","DET",73,1078,7,0,0,0
"Robert Woods","LAR",77,1060,5,10,72,1
"Brandin Cooks","LAR",63,985,6,7,51,1
"Stefon Diggs","MIN",89,977,7,4,29,0
"Julian Edelman","NE",90,1065,5,6,48,0
"T.Y. Hilton","IND",70,1085,5,0,0,0
"Tyler Boyd","CIN",73,955,6,0,0,0
"Alshon Jeffery","PHI",65,877,7,0,0,0
"D.J. Moore","CAR",67,899,5,11,95,0
"Chris Godwin","TB",71,925,6,0,0,0
"Robby Anderson","NYJ",62,901,6,5,21,0
"Mike Williams","LAC",52,782,8,0,0,0
"Cooper Kupp","LAR",63,875,6,3,25,0
"A.J. Green","CIN",60,876,6,0,0,0
"Sammy Watkins","KC",61,853,6,0,0,0
"Allen Robinson","CHI",63,846,6,0,0,0
"Corey Davis","TEN",66,879,4,5,38,0
"Calvin Ridley","ATL",58,757,6,4,26,0
"Christian Kirk","ARI",61,835,5,0,0,0
"Jarvis Landry","CLE",62,785,5,5,34,0
"Dante Pettis","SF",64,817,5,0,0,0
"Curtis Samuel","CAR",60,765,5,6,47,0
"Dede Westbrook","JAC",66,777,5,0,0,0
"John Brown","BUF",55,776,5,0,0,0
"Marvin Jones","DET",51,744,5,0,0,0
"Sterling Shepard","NYG",56,737,5,0,0,0
"Courtland Sutton","DEN",52,735,5,0,0,0
"Emmanuel Sanders","DEN",58,725,5,0,0,0
"Marquez Valdes-Scantling","GB",51,725,5,0,0,0
"Will Fuller","HOU",46,719,5,0,0,0
"Larry Fitzgerald","ARI",69,755,4,0,0,0
"Josh Gordon","NE",44,690,5,0,0,0
"Golden Tate","NYG",59,746,4,0,0,0
"DeVante Parker","MIA",55,725,4,0,0,0
"Geronimo Allison","GB",52,698,4,0,0,0
"Michael Gallup","DAL",45,688,4,0,0,0
"D.K. Metcalf","SEA",48,613,5,0,0,0
"Jamison Crowder","NYJ",59,660,4,0,0,0
"Tyrell Williams","OAK",51,645,4,0,0,0
"DeSean Jackson","PHI",39,615,4,4,28,0
"DaeSean Hamilton","DEN",57,635,4,0,0,0
"Albert Wilson","MIA",48,613,4,0,0,0
"Mohamed Sanu","ATL",54,635,3,0,0,0
"Anthony Miller","CHI",46,575,4,0,0,0
"Marquise Goodwin","SF",34,531,4,5,34,0
"Ted Ginn Jr.","NO",42,565,3,8,42,0
"Donte Moncrief","PIT",43,546,4,0,0,0
"Keke Coutee","HOU",55,588,3,0,0,0
"James Washington","PIT",39,525,4,0,0,0
"Paul Richardson","WAS",42,574,3,0,0,0
"Marqise Lee","JAC",42,545,3,3,25,0
"A.J. Brown","TEN",42,561,3,0,0,0
"Willie Snead","BAL",49,550,3,0,0,0
"Devin Funchess","IND",38,485,4,0,0,0
"Trey Quinn","WAS",52,541,3,0,0,0
"Adam Humphries","TEN",42,520,3,0,0,0
"Miles Boykin","BAL",36,491,3,0,0,0
"Danny Amendola","DET",49,489,3,0,0,0
"Taylor Gabriel","CHI",41,472,3,0,0,0
"Travis Benjamin","LAC",23,355,3,8,51,1
"Quincy Enunwa","NYJ",36,455,3,0,0,0
"Nelson Agholor","PHI",36,426,3,3,21,0
"KeeSean Johnson","ARI",33,434,3,0,0,0
"Terry McLaurin","WAS",40,482,2,0,0,0
"Cole Beasley","BUF",45,479,2,0,0,0
"Randall Cobb","DAL",42,456,2,0,0,0
"Tre'Quan Smith","NO",27,387,3,0,0,0
"Deebo Samuel","SF",38,446,2,0,0,0
"Robert Foster","BUF",24,377,3,0,0,0
"Demarcus Robinson","KC",26,376,3,0,0,0
"Marquise Brown","BAL",34,425,2,0,0,0
"Zay Jones","BUF",33,415,2,0,0,0
"David Moore","SEA",35,412,2,0,0,0
"Breshad Perriman","TB",30,404,2,0,0,0
"Jakeem Grant","MIA",31,399,2,0,0,0
"Mecole Hardman","KC",18,279,2,7,52,1
"Chris Conley","JAC",27,389,2,0,0,0
"Rashard Higgins","CLE",31,385,2,0,0,0
"Hunter Renfrow","OAK",34,385,2,0,0,0
"Kenny Stills","HOU",29,375,2,0,0,0
"N'Keal Harry","NE",24,314,3,0,0,0
"Chris Hogan","CAR",26,362,2,0,0,0
"John Ross","CIN",24,355,2,0,0,0
"Parris Campbell","IND",27,346,2,0,0,0
"Chad Beebe","MIN",27,328,2,0,0,0
"Preston Williams","MIA",22,325,2,0,0,0
"Andy Isabella","ARI",25,315,2,0,0,0
"Keith Kirkwood","NO",22,295,2,0,0,0
"D.J. Chark","JAC",24,289,2,0,0,0
"Josh Reynolds","LAR",19,251,2,0,0,0
"Jakobi Meyers","NE",17,245,2,0,0,0
"Phillip Dorsett","NE",19,236,2,0,0,0
"J.J. Nelson","OAK",16,221,2,0,0,0
"Keelan Cole","JAC",21,276,1,0,0,0
"Deon Cain","IND",21,275,1,0,0,0
"Cordarrelle Patterson","CHI",12,146,1,9,67,1
"Antonio Callaway","CLE",15,212,2,0,0,0
"Ryan Switzer","PIT",25,265,1,0,0,0
"Trent Taylor","SF",19,246,1,0,0,0
"Jarius Wright","CAR",22,245,1,0,0,0
"Cody Latimer","NYG",18,245,1,0,0,0
"Tajae Sharpe","TEN",20,240,1,0,0,0
"JJ Arcega-Whiteside","PHI",19,237,1,0,0,0
"Jake Kumerow","GB",16,204,1,0,0,0
"Justin Watson","TB",15,195,1,0,0,0
"Tavon Austin","DAL",14,191,0,9,59,0
"Gary Jennings","SEA",15,188,1,0,0,0
"Justin Hardy","ATL",14,186,1,0,0,0
"Alex Erickson","CIN",16,186,1,0,0,0
"Michael Crabtree","ARI",13,176,1,0,0,0
"Russell Shepard","NYG",12,166,1,0,0,0
"Isaiah McKenzie","BUF",11,119,1,6,44,0
