"Player","Team","Sack","Int","FR","FF","TD","Safety","PA","YA","FPts"
"Arizona Cardinals","",39.,11.9,10.,"",1.6,0.6,416.6,"",94.
"Atlanta Falcons","",36.7,14.3,9.1,"",2.2,0.5,369.9,"",94.6
"Baltimore Ravens","",35.4,16.75,10.3,"",1.6,0.6,303.1,"",99.4
"Buffalo Bills","",34.3,14.8,10.1,"",2.4000000000000004,0.5,364.9,"",95.4
"Carolina Panthers","",39.4,14.3,10.5,"",1.6,0.6,368.2,"",100.9
"Chicago Bears","",39.3,16.2,10.2,"",1.6,0.6,300.6,"",108.5
"Cincinnati Bengals","",33.5,13.2,9.1,"",1.6,0.5,366.1,"",90.1
"Cleveland Browns","",39.2,14.2,10.4,"",1.6,0.6,349.2,"",101.2
"Dallas Cowboys","",36.7,13.9,10.1,"",1.6,0.6,349.7,"",97.3
"Denver Broncos","",40.2,14.,10.,"",1.6,0.6,341.1,"",100.4
"Detroit Lions","",39.1,13.,10.6,"",1.6,0.5,356.1,"",98.7
"Green Bay Packers","",37.3,16.5,9.7,"",2.2,0.5,360.8,"",101.3
"Houston Texans","",39.1,14.5,10.6,"",1.6,0.6,331.2,"",102.2
"Indianapolis Colts","",39.1,15.1,9.7,"",1.6,0.6,333.8,"",100.6
"Jacksonville Jaguars","",40.7,13.4,10.2,"",1.6,0.6,366.4,"",99.8
"Kansas City Chiefs","",38.,14.6,9.8,"",1.6,0.7,330.6,"",100.8
"Los Angeles Chargers","",37.6,14.6,10.1,"",1.6,0.6,325.,"",99.9
"Los Angeles Rams","",42.5,15.3,10.5,"",1.6,0.6,335.2,"",106.9
"Miami Dolphins","",33.2,12.8,7.7,"",1.6,0.6,394.3,"",87.6
"Minnesota Vikings","",40.1,13.9,8.9,"",1.6,0.5,345.4,"",98.2
"New England Patriots","",39.9,16.5,10.,"",1.6,0.5,300.3,"",106.5
"New Orleans Saints","",42.3,15.9,9.7,"",1.6,0.6,306.8,"",106.3
"New York Giants","",37.7,14.7,10.5,"",1.6,0.6,354.2,"",100.5
"New York Jets","",34.5,13.,9.6,"",1.6,0.5,377.2,"",91.9
"Oakland Raiders","",33.3,12.6,9.7,"",1.5,0.5,395.4,"",89.2
"Philadelphia Eagles","",40.3,14.8,10.3,"",1.6,0.6,341.1,"",103.1
"Pittsburgh Steelers","",44.1,15.,10.2,"",1.6,0.6,314.1,"",106.7
"San Francisco 49ers","",35.6,12.8,10.1,"",1.6,0.5,377.,"",93.5
"Seattle Seahawks","",32.8,14.2,9.8,"",2.35,0.6,331.1,"",93.4
"Tampa Bay Buccaneers","",38.,13.2,10.,"",1.7,0.6,376.5,"",96.9
"Tennessee Titans","",36.7,14.4,8.7,"",1.6,0.5,343.,"",95.
"Washington Redskins","",39.6,13.7,9.7,"",1.6,0.5,381.7,"",98.1
