"Player","Team","FG","FGA","XPT","FPts"
"Adam Vinatieri","IND",25.5,"",35.6,111.9
"Aldrick Rosas","NYG",26.1,"",34.,112.2
"Brandon McManus","DEN",24.9,"",32.3,107.1
"Brett Maher","DAL",23.2,"",31.9,101.6
"Chris Boswell","PIT",21.5,"",40.7,105.2
"Dan Bailey","MIN",23.7,"",21.3,92.4
"Daniel Carlson","OAK",23.7,"",24.7,95.7
"Dustin Hopkins","WAS",22.9,"",30.3,98.9
"Eddy Pineiro","CHI",21.3,"",27.8,91.6
"Greg Zuerlein","LAR",24.2,"",39.3,111.7
"Harrison Butker","KC",25.4,"",37.3,113.4
"Jake Elliott","PHI",22.8,"",37.,105.4
"Jason Myers","SEA",23.8,"",26.6,98.1
"Jason Sanders","MIA",25.9,"",29.4,107.2
"Joey Slye","CAR",21.9,"",27.3,92.9
"Josh Lambo","JAC",24.,"",28.2,100.3
"Justin Tucker","BAL",23.2,"",34.8,104.5
"Kaare Vedvik","NYJ","","","",""
"Ka'imi Fairbairn","HOU",22.6,"",36.6,104.3
"Mason Crosby","GB",25.7,"",24.2,101.2
"Matt Bryant","ATL","","","",""
"Matt Gay","TB","","","",""
"Matt Prater","DET",25.6,"",23.2,99.9
"Michael Badgley","LAC",26.4,"",34.6,113.8
"Randy Bullock","CIN",24.8,"",25.8,100.2
"Robbie Gould","SF",22.7,"",44.6,112.8
"Ryan Succop","TEN",23.1,"",34.4,103.5
"Stephen Gostkowski","NE",24.8,"",43.3,117.7
"Steven Hauschka","BUF",23.3,"",27.3,97.3
"Wil Lutz","NO",23.3,"",37.4,107.3
"Zane Gonzalez","ARI",25.4,"",29.2,105.4
