"Player","Team","Pass Att","Pass Cmp","Pass Yds","Pass Tds","Pass Ints","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Aaron Rodgers","GB","","",4274.9,27.9,10.,"",271.4,2.3,0.7,306.4
"AJ McCarron","HOU","","","","","","","",0.,0.,""
"Andy Dalton","CIN","","",3949.4,27.8,13.5,"",124.8,1.2,1.2,259.7
"Baker Mayfield","CLE","","",4260.1,28.7,15.6,"",254.8,1.8,1.2,292.5
"Ben Roethlisberger","PIT","","",4780.6,29.6,14.6,"",95.4,1.4,0.7,303.2
"Blaine Gabbert","TB","","",174.3,0.6,1.2,"",0.3,0.1,0.1,8.6
"Blake Bortles","LAR","","",303.5,1.05,1.2,"",1.8,0.2,0.1,16.6
"Brett Hundley","ARI","","","","",1.,"","","",0.,""
"Brian Hoyer","IND",0.,0.,195.3,0.7,0.9,0.,0.3,0.3,0.1,10.7
"Cam Newton","CAR","","",4063.6,27.,13.9,"",373.1,3.5,0.4,303.9
"Carson Wentz","PHI","","",4347.3,29.3,14.4,"",205.8,1.6,0.9,298.
"Case Keenum","WAS","","",2250.1,12.1,8.5,"",57.5,0.9,0.4,132.4
"Chad Kelly","IND","","","","","","","","",0.,""
"Chase Daniel","CHI","","","","","","","","",0.,""
"Colt McCoy","WAS","","","","","","","",0.,0.,""
"Cooper Rush","DAL","","","",1.,"",3.,"","",0.,""
"Dak Prescott","DAL","","",4114.8,26.7,12.9,"",279.7,3.3,0.7,294.9
"Daniel Jones","NYG","","",1195.3,6.6,5.4,"",68.8,0.7,0.4,75.2
"Derek Carr","OAK","","",3939.3,23.2,13.7,"",61.5,0.9,0.7,235.7
"Deshaun Watson","HOU","","",4288.9,28.9,12.6,"",415.1,4.1,0.9,330.
"DeShone Kizer","OAK",0.,0.,193.1,0.6,1.7,0.,0.,0.2,0.1,8.7
"Drew Brees","NO","","",4659.6,31.7,11.1,"",78.7,1.4,0.5,307.2
"Drew Lock","DEN",0.,0.,719.3,3.6,3.6,0.,36.2,0.5,0.3,43.1
"Drew Stanton","CLE","","",222.6,0.7,1.35,"",0.,0.1,0.,9.3
"Dwayne Haskins","WAS","","","","","","","","","",""
"Eli Manning","NYG","","",3144.4,19.1,9.6,"",6.1,0.6,0.4,188.9
"Gardner Minshew","JAC","","",328.1,1.,1.9,"",0.4,0.2,0.1,15.7
"Jacoby Brissett","IND","","",3531.7,19.8,12.2,"",300.7,2.9,1.8,241.
"Jameis Winston","TB","","",4501.7,28.8,16.5,"",310.8,2.5,1.6,307.9
"Jared Goff","LAR","","",4471.1,30.9,12.95,"",161.4,1.7,1.,302.4
"Jimmy Garoppolo","SF","","",4451.2,31.,13.3,"",160.8,1.8,0.7,303.9
"Joe Flacco","DEN","","",3571.1,21.1,12.3,"",82.6,1.,0.6,217.6
"Josh Allen","BUF","","",3091.6,16.2,13.2,"",482.5,6.3,1.7,247.6
"Josh McCown","PHI","","","","","","","","",0.,""
"Josh Rosen","MIA","","",511.3,1.8,3.6,"",1.2,0.2,0.1,22.7
"Kirk Cousins","MIN","","",4310.1,29.5,13.4,"",162.5,1.5,1.2,289.2
"Kyler Murray","ARI","","",3542.,16.9,15.9,"",258.,2.2,1.3,216.9
"Lamar Jackson","BAL","","",2977.9,16.7,10.9,"",760.3,7.2,2.7,280.2
"Marcus Mariota","TEN","","",3362.6,17.7,11.9,"",327.4,2.7,1.1,229.3
"Mason Rudolph","PIT","","",364.5,1.6,2.3,"",1.3,0.3,0.1,18.9
"Matt Barkley","BUF","","","","","","","","",0.,""
"Matthew Stafford","DET","","",4091.3,26.5,11.9,"",49.4,0.8,0.6,256.7
"Matt Moore","KC","","","","","","","","","",""
"Matt Ryan","ATL","","",4834.2,30.3,13.2,"",144.7,1.7,1.2,313.3
"Matt Schaub","ATL","","","","","","","",0.,0.,""
"Mike Glennon","OAK","","","","","","","",0.,"",""
"Mitch Trubisky","CHI","","",3902.2,26.2,13.7,"",337.4,2.9,1.2,288.6
"Nick Foles","JAC","","",4082.3,25.8,15.2,"",79.9,1.2,1.,250.5
"Nick Mullens","SF","","",204.6,0.7,1.1,"",0.,0.05,0.,10.2
"Patrick Mahomes","KC","","",4999.,32.9,14.7,"",242.2,2.3,0.6,341.1
"Philip Rivers","LAC","","",4501.6,28.7,13.7,"",31.9,0.6,0.4,280.4
"Robert Griffin","BAL","","",237.8,0.9,1.4,"",0.3,0.2,0.1,11.7
"Russell Wilson","SEA","","",3727.6,25.8,11.,"",257.1,2.7,0.1,275.2
"Ryan Finley","CIN","","",519.2,1.5,3.1,"",2.6,0.3,0.2,23.3
"Ryan Fitzpatrick","MIA","","",4110.,25.7,15.8,"",337.7,2.7,0.5,284.8
"Ryan Tannehill","TEN","","",388.5,1.,2.5,"",0.2,0.2,0.1,16.6
"Sam Darnold","NYJ","","",3664.8,21.4,15.8,"",273.5,2.3,1.3,241.3
"Sean Mannion","MIN","","","","","","","","",0.,""
"Taysom Hill","NO","","","","","","","","","",""
"Teddy Bridgewater","NO","","","","","","","",0.,0.,""
"Tom Brady","NE","","",4534.7,30.2,11.,"",18.9,0.9,0.5,287.
"Trevor Siemian","NYJ","","",201.4,0.5,1.4,"",1.2,0.1,0.1,9.2
"Tyrod Taylor","LAC","","",147.1,1.05,0.7,"",1.1,0.1,0.,10.3
"Will Grier","CAR","","",286.6,0.9,1.4,"",0.2,0.2,0.1,14.2
