"Player","Team","Rush Att","Rush Yds","Rush Tds","Rec","Rec Yds","Rec Tds","FL","FPts"
"Aaron Jones","GB","",983.2,7.6,40.1,324.1,1.6,1.,183.6
"Adrian Peterson","WAS","",558.6,3.6,12.1,88.8,0.5,1.1,86.8
"Alexander Mattison","MIN","",281.4,1.9,16.1,118.2,0.5,0.4,53.5
"Alex Armah","CAR","",17.8,0.2,3.3,15.2,0.2,0.,5.6
"Alfred Blue","JAC","",290.6,1.5,16.4,165.5,0.35,0.,58.9
"Alfred Morris","DAL","",281.9,2.1,8.4,65.3,0.15,0.3,48.4
"Alvin Kamara","NO","",968.9,8.1,89.3,753.7,4.3,0.6,248.4
"Ameer Abdullah","MIN","",38.9,0.3,8.4,79.4,0.4,0.1,15.7
"Andy Janovich","DEN","",4.,0.1,9.1,54.8,0.4,0.,8.6
"Anthony Sherman","KC","",5.6,0.1,5.2,35.2,0.3,0.,6.2
"Austin Ekeler","LAC","",466.4,3.1,39.7,379.1,1.5,0.7,110.9
"Benny Snell Jr.","PIT","","","","","","","",""
"Bilal Powell","NYJ","",361.,2.1,14.4,126.3,0.5,0.2,63.8
"Brandon Bolden","NE","",7.3,0.1,0.7,6.9,0.,0.,2.1
"Brian Hill","ATL","",318.,2.2,6.,36.6,0.3,0.9,48.9
"Buddy Howell","HOU","",26.7,0.3,6.,74.3,0.2,0.1,14.
"Carlos Hyde","HOU","",285.8,1.7,7.,39.7,0.2,0.5,42.7
"Chase Edmonds","ARI","",337.8,2.3,14.5,121.,0.5,0.3,62.
"Chris Carson","SEA","",1263.9,9.8,30.5,268.1,1.3,1.9,216.6
"Chris Thompson","WAS","",216.2,0.9,40.7,327.7,1.,0.3,65.1
"Christian McCaffrey","CAR","",1080.1,7.6,88.5,844.2,4.9,0.7,266.5
"C.J. Anderson","DET","",612.,5.,15.,122.6,0.4,0.4,105.3
"CJ Ham","MIN","",3.3,0.1,6.4,46.2,0.3,0.,7.4
"Corey Clement","PHI","",237.6,1.9,20.,153.8,0.7,0.,56.4
"Dalvin Cook","MIN","",1129.6,6.1,56.9,450.1,2.3,3.5,201.5
"Damarea Crockett","OAK",0.,289.3,1.9,15.7,140.6,0.6,0.4,57.2
"Damien Harris","NE","",225.7,1.6,11.3,76.,0.4,0.3,41.5
"Damien Williams","KC","",942.3,6.9,63.,491.6,3.8,1.3,205.4
"Dan Vitale","GB","",1.8,0.1,4.3,25.8,0.2,0.,4.4
"Dare Ogunbowale","TB","",73.,0.6,10.2,93.4,0.5,0.1,22.9
"Darrell Henderson","LAR","","","","","","","",""
"Darrel Williams","KC","",19.7,0.1,1.9,17.6,0.1,0.,5.
"Darren Sproles","PHI","",27.5,0.2,4.6,39.4,0.2,0.,9.
"Darwin Thompson","KC","",179.4,1.2,11.9,91.5,0.4,0.3,36.2
"David Fluellen","TEN","",69.,0.5,4.7,40.5,0.2,0.1,14.9
"David Johnson","ARI","",1006.9,6.1,49.,513.8,2.6,2.9,199.3
"David Montgomery","CHI","",941.2,6.3,35.8,304.1,1.6,1.2,170.1
"DeAndre Washington","OAK","",110.9,0.8,4.,25.9,0.2,0.2,19.2
"Derek Watt","LAC","",5.3,0.1,3.5,18.9,0.2,0.,4.2
"Derrick Henry","TEN","",1303.4,11.,17.4,131.9,0.6,0.,213.1
"Derrius Guice","WAS","",664.7,4.7,27.,220.,1.1,0.8,121.6
"Devin Singletary","BUF","",97.7,0.8,5.8,44.5,0.2,0.2,19.7
"Devontae Booker","DEN","",42.1,0.3,8.2,70.6,0.3,0.,14.8
"Devonta Freeman","ATL","",743.5,5.5,41.7,319.8,1.7,0.9,147.7
"Dexter Williams","GB","",7.,0.1,0.7,5.,0.,0.,1.7
"Dion Lewis","TEN","",370.2,1.7,42.4,326.3,0.8,0.2,93.3
"Dontrell Hilliard","CLE","",64.5,0.5,13.7,117.9,0.6,0.1,26.1
"Duke Johnson","HOU","",672.6,4.,55.6,470.8,2.9,0.1,155.9
"Dwayne Washington","NO","",6.6,0.1,2.5,17.,0.1,0.,3.5
"Elijhaa Penny","NYG","",10.4,0.1,8.,65.7,0.3,0.,10.4
"Ezekiel Elliott","DAL","",1047.2,6.7,60.4,464.2,2.3,0.7,203.8
"Frank Gore","BUF","",375.4,2.,12.1,102.3,0.5,0.2,62.4
"Giovani Bernard","CIN","",179.5,1.2,35.4,280.2,0.8,0.,58.2
"Gus Edwards","BAL","",584.5,4.3,4.4,31.4,0.2,0.1,89.2
"Ito Smith","ATL","",504.9,3.,27.7,204.,0.8,0.3,93.2
"Jalen Richard","OAK","",276.6,2.,44.6,403.9,2.5,1.2,93.5
"Jamaal Williams","GB","",419.9,2.8,26.1,229.3,1.1,0.,87.9
"James Conner","PIT","",1112.9,9.1,53.5,455.5,1.9,1.,221.
"James Develin","NE","",35.6,0.5,6.,36.3,0.15,0.1,11.6
