"Player","Team","Rec","Rec Yds","Rec Tds","FL","FPts"
"Adam Shaheen","CHI","","","",0.,""
"Anthony Firkser","TEN",16.8,201.7,1.3,0.,28.3
"Antony Auclair","TB","","","",0.,""
"Austin Hooper","ATL",61.,579.2,3.7,0.,80.4
"Benjamin Watson","NE",27.2,314.8,1.9,0.,43.2
"Blake Bell","KC","","","",0.,""
"Blake Jarwin","DAL",30.3,334.6,2.4,0.,47.8
"Cameron Brate","TB",27.4,338.9,2.,0.,45.8
"Charles Clay","ARI",25.6,221.5,1.3,0.,29.9
"Chris Herndon IV","NYJ",24.3,300.5,2.8,0.,39.8
"Chris Manhertz","CAR","","","",0.,""
"C.J. Uzomah","CIN",22.5,271.5,1.6,0.,37.
"Dallas Goedert","PHI",19.7,209.,1.3,0.,28.8
"Dalton Schultz","DAL","","","",0.,""
"Daniel Brown","NYJ","","","",0.,""
"Darren Fells","HOU","","","",0.,""
"Darren Waller","OAK",30.9,321.,2.1,0.,46.6
"David Morgan","MIN","","","",0.,""
"David Njoku","CLE",49.5,571.3,3.8,0.,79.8
"Delanie Walker","TEN",59.9,631.4,4.4,0.,89.8
"Demetrius Harris","CLE","","","",0.,""
"Derek Carrier","OAK","","","",0.,""
"Durham Smythe","MIA","","","",0.,""
"Ed Dickson","SEA","","","",0.,""
"Eric Ebron","IND",39.2,446.,2.6,0.,64.1
"Evan Engram","NYG",68.5,829.7,5.3,0.,121.8
"Garrett Celek","SF","","","",0.,""
"Geoff Swaim","JAC",28.9,296.2,1.9,0.,41.1
"George Kittle","SF",95.5,1286.7,7.9,0.,176.8
"Gerald Everett","LAR",29.,312.8,2.1,0.,44.5
"Greg Olsen","CAR",53.4,619.,4.6,0.,89.5
"Hayden Hurst","BAL",15.3,218.1,1.4,0.,30.2
"Hunter Henry","LAC",49.7,687.35,4.6,0.,90.9
"Ian Thomas","CAR",26.6,299.8,2.1,0.,42.4
"Irv Smith Jr.","MIN","","","","",""
"Jack Doyle","IND",55.6,533.3,4.3,0.,79.3
"James O'Shaughnessy","JAC",21.9,207.2,1.3,0.,28.3
"Jared Cook","NO",69.4,806.8,4.9,0.,110.4
"Jason Witten","DAL",51.3,522.,3.7,0.,74.7
"Jeff Heuerman","DEN",41.7,406.6,3.5,0.,61.4
"Jeremy Sprinkle","WAS","","","",0.,""
"Jesse James","DET",29.3,334.4,2.1,0.,46.2
"Jimmy Graham","GB",49.4,500.8,3.,0.,68.
"Jonnu Smith","TEN",19.6,215.1,1.4,0.,29.7
"Jordan Akins","HOU",24.6,279.3,1.6,0.,37.5
"Jordan Reed","WAS",77.8,763.4,5.1,0.,107.
"Jordan Thomas","HOU","","","",0.,""
"Josh Hill","NO","","","","",""
"Kyle Rudolph","MIN",55.9,535.7,4.3,0.,79.5
"Lance Kendricks","NE","","","",0.,""
"Levine Toilolo","SF",18.1,181.4,1.6,0.,27.7
"Luke Stocker","ATL","","","",0.,""
"Marcedes Lewis","GB","","","",0.,""
"Mark Andrews","BAL",46.7,610.3,4.7,0.,89.5
"Matt LaCosse","NE",26.6,242.3,1.5,0.,33.
"Maxx Williams","ARI","","","",0.,""
"Mike Gesicki","MIA",24.3,243.1,1.2,0.,31.4
"Mo Alie-Cox","IND","","","",0.,""
"MyCole Pruitt","TEN","","","",0.,""
"Nick Boyle","BAL",19.,155.1,0.9,0.,20.7
"Nick O'Leary","MIA","","","","",""
"Nick Vannett","SEA",23.5,257.,1.5,0.,34.8
"Noah Fant","DEN","","","","",""
"O.J. Howard","TB",48.5,781.4,6.1,0.,115.
"Rhett Ellison","NYG","","","",0.,""
"Ricky Seals-Jones","CLE",27.,275.,1.4,0.,36.1
"Robert Tonyan","GB","","","",0.,""
"Ross Dwelley","SF","","","","",""
"Ryan Griffin","NYJ",25.3,211.5,1.3,0.,28.9
"Scott Simonson","NYG","","","",0.,""
"Temarrick Hemingway","CAR","","","",0.,""
"T.J. Hockenson","DET","","","","",""
"Travis Kelce","KC",103.2,1222.1,8.,0.,170.2
"Trey Burton","CHI",47.6,521.4,3.9,0.,75.6
"Tyler Conklin","NE","","","",0.,""
"Tyler Eifert","CIN",46.2,566.9,4.9,0.,86.1
"Tyler Higbee","LAR",30.4,345.5,2.2,0.,48.1
"Tyler Kroft","BUF",20.7,233.9,1.8,0.,34.
"Vance McDonald","PIT",74.8,714.7,4.8,0.,100.3
"Vernon Davis","WAS",30.4,325.4,2.3,0.,46.5
"Virgil Green","LAC","","","","",""
"Will Dissly","SEA",34.3,470.3,3.9,0.,70.4
"Xavier Grimble","PIT","","","","",""
"Zach Ertz","PHI",91.5,950.4,6.5,0.,133.9
