"Player","Team","Rec","Rec Yds","Rec Tds","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Adam Humphries","TEN",65.6,770.5,4.5,"","",0.,0.,105.3
"Adam Thielen","MIN",79.8,1049.1,5.9,"","",0.,0.,145.2
"A.J. Brown","TEN",14.9,180.6,1.,0.,0.,0.,0.,24.8
"A.J. Green","CIN",66.,979.8,6.1,0.,0.,0.,0.,134.8
"Albert Wilson","MIA",64.7,755.8,5.8,"","",0.,0.1,117.9
"Alex Erickson","CIN",6.1,94.4,0.4,"","",0.,0.,15.
"Allen Lazard","GB",0.9,9.5,0.,0.,0.,0.,0.,1.3
"Allen Robinson","CHI",71.4,997.3,6.1,"","","",0.,137.
"Alshon Jeffery","PHI",70.2,982.2,6.,0.,0.,0.,0.,134.5
"Amari Cooper","DAL",76.2,1024.7,6.6,"","",0.,0.,143.9
"Andre Roberts","BUF",3.4,85.9,0.3,0.,"",0.,0.,14.8
"Andy Isabella","ARI",16.9,196.9,1.2,0.,"",0.,0.,27.8
"Anthony Miller","CHI",38.,483.5,2.7,"","",0.,0.,67.1
"Antonio Brown","OAK",96.9,1353.4,9.7,0.,0.,0.,0.,194.1
"Antonio Callaway","CLE",19.,236.3,1.5,"","",0.,0.,33.
"Auden Tate","CIN",5.8,72.3,0.3,0.,0.,0.,0.,9.2
"Austin Carr","NO",5.3,67.,0.3,0.,0.,0.,0.,8.7
"Bennie Fowler","NYG",31.4,400.7,2.2,0.,0.,0.,0.,53.3
"Bobo Wilson","TB",15.8,207.8,1.4,"","",0.,0.,31.2
"Brandin Cooks","LAR",79.8,1175.5,6.6,"","","",0.,164.8
"Brandon Zylstra","CAR",3.6,69.1,0.3,0.,0.,0.,0.,9.1
"Breshad Perriman","TB",36.2,632.7,4.2,"","",0.,0.,91.1
"Calvin Ridley","ATL",63.7,746.9,5.9,"","",0.,0.,113.6
"Chad Beebe","MIN",14.2,172.2,1.1,"","",0.,0.,24.5
"Chester Rogers","IND",34.4,408.1,2.1,"","","",0.,54.
"Chris Conley","JAC",25.8,387.8,2.3,0.,0.,0.,0.,52.8
"Chris Godwin","TB",70.3,1020.7,6.5,0.,0.,0.,0.,141.1
"Chris Hogan","CAR",30.8,474.2,2.5,"","",0.,0.,63.1
"Chris Lacy","DET",9.5,126.2,0.7,0.,0.,0.,0.,17.3
"Chris Moore","BAL",16.5,220.8,1.5,"","",0.,0.,36.4
"Christian Kirk","ARI",66.7,792.7,5.3,"","",0.,0.,115.4
"Cody Latimer","NYG",16.3,247.2,1.6,0.,0.,0.,0.,35.4
"Cole Beasley","BUF",47.3,633.3,3.8,0.,0.,0.,0.,86.7
"Cooper Kupp","LAR",80.2,1079.9,7.,"","",0.,0.,154.9
"Cordarrelle Patterson","CHI",15.9,180.,1.,"","","",0.1,47.6
"Corey Davis","TEN",62.,796.8,4.5,"","",0.,0.,111.1
"Courtland Sutton","DEN",45.6,621.3,3.7,"","",0.,0.,86.2
"Curtis Samuel","CAR",49.,662.2,4.2,"","","",0.,95.8
"DaeSean Hamilton","DEN",52.9,626.1,3.7,"","",0.,0.,86.
"Damiere Byrd","ARI",2.1,37.2,0.2,"","",0.,0.,4.8
"Damion Willis","CIN",41.2,509.6,2.7,0.,0.,0.,0.,68.5
"Danny Amendola","DET",62.,616.9,3.2,"","",0.,0.,81.9
"Dante Pettis","SF",58.6,913.6,6.7,"","",0.,0.,133.4
"Davante Adams","GB",104.7,1374.,9.2,0.,0.,0.,0.,192.7
"David Moore","SEA",30.4,444.5,2.6,"","",0.,0.,60.4
"DeAndre Carter","HOU",17.7,209.7,1.2,"","",0.,0.,29.2
"DeAndre Hopkins","HOU",93.6,1405.8,9.1,"","",0.,0.,195.
"De'Anthony Thomas","KC",12.2,136.9,0.7,"","",0.,0.,19.3
"Dede Westbrook","JAC",73.4,819.1,4.7,"","",0.,0.1,126.
"Deebo Samuel","SF",18.7,231.3,1.3,"","",0.,0.,31.7
"Demarcus Robinson","KC",34.,489.,3.5,0.,0.,0.,0.,69.8
"Derrick Willies","CLE",2.8,37.4,0.2,0.,0.,0.,0.,5.1
"DeSean Jackson","PHI",55.,766.6,4.1,"","","",0.,110.7
"Devante Parker","MIA",53.5,603.7,2.9,0.,0.,0.,0.,77.3
"Devin Funchess","IND",39.8,478.2,3.,0.,"",0.,0.,65.7
"Devin Smith","DAL",1.,23.6,0.1,0.,0.,0.,0.,2.9
"D.J. Chark","JAC",13.7,209.5,0.9,0.,0.,0.,0.,27.9
"D.J. Moore","CAR",57.6,771.2,4.1,"","",0.,0.1,112.9
"D.K. Metcalf","SEA","","","","","",0.,"",""
"Donte Moncrief","PIT",58.8,695.7,3.4,0.,0.,0.,0.,90.3
"Dontrelle Inman","LAC",34.2,425.3,3.,0.,0.,0.,0.,60.8
"Emmanuel Sanders","DEN",73.7,939.9,5.4,"","","",0.,130.5
"Gary Jennings","SEA",1.,14.7,0.1,0.,0.,0.,0.,2.1
"Geronimo Allison","GB",51.2,701.7,4.,0.,0.,0.,0.,94.6
