"Player","Team","Sack","Int","FR","FF","TD","Safety","PA","YA","FPts"
"Arizona Cardinals","",39.,16.,10.1,"",3.5,"",376.8,5788.1,117.5
"Atlanta Falcons","",33.,12.5,9.3,"",2.8,"",449.2,6369.5,81.7
"Baltimore Ravens","",42.4,18.,10.4,"",5.1,"",295.3,4959.9,156.5
"Buffalo Bills","",38.6,16.,10.6,"",3.2,"",327.5,5295.8,128.3
"Carolina Panthers","",35.,15.1,10.,"",3.7,"",388.,5870.5,109.4
"Chicago Bears","",39.6,16.2,11.4,"",4.6,"",332.,5248.,140.9
"Cincinnati Bengals","",35.1,15.5,10.9,"",3.3,"",375.9,5805.5,112.6
"Cleveland Browns","",39.1,17.7,9.7,"",3.8,"",336.9,5317.4,130.7
"Dallas Cowboys","",37.5,14.7,11.9,"",2.4,"",341.6,5488.1,120.4
"Denver Broncos","",39.1,13.9,11.6,"",2.5,"",345.7,5467.9,118.5
"Detroit Lions","",34.1,11.7,10.,"",2.6,"",416.7,5994.8,89.1
"Green Bay Packers","",31.4,12.4,9.3,"",2.9,"",419.8,6032.2,86.6
"Houston Texans","",36.8,13.4,10.8,"",3.4,"",381.3,5690.1,111.4
"Indianapolis Colts","",35.,15.3,10.,"",3.7,"",389.1,5868.3,109.9
"Jacksonville Jaguars","",36.1,16.6,11.1,"",3.4,"",327.6,5213.3,130.
"Kansas City Chiefs","",32.7,14.2,10.,"",3.1,"",413.2,6019.7,97.8
"Los Angeles Chargers","",40.9,18.2,11.2,"",3.5,"",331.8,5385.6,136.3
"Los Angeles Rams","",39.7,18.3,10.5,"",3.8,"",331.3,5534.3,136.2
"Miami Dolphins","",33.1,12.8,8.8,"",2.2,"",427.1,6180.4,83.1
"Minnesota Vikings","",40.8,18.6,9.5,"",4.4,"",326.2,5313.5,140.9
"New England Patriots","",39.1,15.7,10.6,"",3.6,"",344.,5267.5,126.4
"New Orleans Saints","",39.,14.5,11.3,"",2.8,"",356.7,5519.4,118.2
"New York Giants","",34.7,15.8,10.2,"",3.3,"",389.2,5963.5,107.6
"New York Jets","",35.8,15.3,10.5,"",2.8,"",380.7,5703.8,108.8
"Oakland Raiders","",28.5,11.6,8.1,"",1.6,"",449.5,6233.8,67.3
"Philadelphia Eagles","",39.2,14.9,10.5,"",3.5,"",356.,5423.3,122.1
"Pittsburgh Steelers","",41.7,15.2,10.3,"",3.4,"",326.,5452.1,129.8
"San Francisco 49ers","",32.3,11.3,10.,"",3.2,"",442.5,6018.7,86.2
"Seattle Seahawks","",37.4,13.5,10.5,"",3.1,"",350.9,5409.3,115.6
"Tampa Bay Buccaneers","",30.6,10.8,8.8,"",1.9,"",450.,6269.3,68.6
"Tennessee Titans","",35.2,14.9,8.9,"",3.,"",372.1,5752.6,108.
"Washington Redskins","",40.3,16.,8.8,"",3.5,"",363.7,5687.6,119.2
