"Player","Team","FG","FGA","XPT","FPts"
"Adam Vinatieri","IND",26.2,32.9,36.4,124.
"Aldrick Rosas","NYG",23.9,28.5,33.4,117.8
"Brandon McManus","DEN",25.3,30.7,32.1,119.9
"Brett Maher","DAL",26.7,32.2,40.7,134.4
"Chris Boswell","PIT","","","",""
"Dan Bailey","MIN",21.,28.9,32.4,102.1
"Daniel Carlson","OAK",23.5,28.9,32.8,113.8
"Dustin Hopkins","WAS",25.1,30.5,30.6,118.4
"Eddy Pineiro","CHI",26.1,31.1,36.2,123.8
"Greg Zuerlein","LAR",27.5,31.4,47.2,141.4
"Harrison Butker","KC",26.4,32.4,48.,141.6
"Jake Elliott","PHI",26.1,32.3,39.3,126.1
"Jason Myers","SEA",27.2,30.8,37.8,130.9
"Jason Sanders","MIA",23.8,28.1,31.8,113.3
"Joey Slye","CAR","","","",""
"Josh Lambo","JAC",26.9,30.9,28.8,121.5
"Justin Tucker","BAL",31.2,34.9,37.1,143.6
"Kaare Vedvik","NYJ",26.7,31.7,35.3,125.2
"Ka'imi Fairbairn","HOU",28.1,33.9,37.5,135.3
"Mason Crosby","GB",25.,30.,43.1,128.1
"Matt Bryant","ATL",26.9,30.4,39.1,132.9
"Matt Gay","TB",26.6,31.6,38.1,127.7
"Matt Prater","DET",25.5,31.2,35.9,124.
"Michael Badgley","LAC",25.8,29.7,45.9,133.3
"Randy Bullock","CIN",22.8,27.7,33.4,112.5
"Robbie Gould","SF",27.6,30.6,29.4,126.3
"Ryan Succop","TEN",28.8,34.8,36.1,134.5
"Stephen Gostkowski","NE",28.5,34.3,50.3,147.
"Steven Hauschka","BUF",24.5,29.7,27.7,113.6
"Wil Lutz","NO",29.7,35.5,45.8,145.6
"Zane Gonzalez","ARI",20.5,28.3,24.9,94.8
