"Player","Team","Pass Att","Pass Cmp","Pass Yds","Pass Tds","Pass Ints","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Aaron Rodgers","GB",592.,375.1,4397.7,31.5,6.2,45.5,238.9,2.4,"",325.6
"AJ McCarron","HOU",9.5,4.6,44.1,0.1,0.5,2.2,3.8,0.,0.,1.2
"Alex Tanney","NYG",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Andy Dalton","CIN",552.5,346.2,3740.6,24.4,12.8,38.1,86.8,1.,"",227.5
"Baker Mayfield","CLE",577.1,369.3,4588.9,31.9,12.1,51.8,183.7,0.9,"",301.5
"Ben Roethlisberger","PIT",597.6,392.3,4541.9,30.8,13.8,19.8,54.2,0.5,"",282.7
"Blaine Gabbert","TB",23.8,13.7,149.4,0.8,0.7,2.4,12.7,0.2,"",9.2
"Blake Bortles","LAR",24.,13.8,171.2,1.,0.6,5.6,30.7,0.3,"",13.6
"Brett Hundley","ARI",33.9,19.8,226.3,1.3,1.,2.9,13.4,0.2,0.,13.6
"Brian Hoyer","IND",0.,0.,0.,0.,0.,0.,0.,0.,"",0.
"Cam Newton","CAR",527.5,338.7,3868.1,24.4,12.3,114.7,550.5,5.5,"",312.
"Carson Wentz","PHI",588.,379.7,4377.3,32.1,12.2,45.4,164.9,0.8,"",295.6
"Case Keenum","WAS",535.2,318.5,3502.5,22.7,14.4,51.5,248.8,2.8,"",239.6
"Chad Henne","KC",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Chad Kelly","IND",29.8,20.4,238.9,1.3,1.,2.9,9.8,0.1,0.,14.
"Chase Daniel","CHI",29.7,17.4,199.1,1.2,0.9,3.4,10.,0.1,0.,11.8
"C.J. Beathard","SF",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Colt McCoy","WAS",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Cooper Rush","DAL",27.5,16.3,185.1,1.,1.,3.,13.,0.1,0.,10.8
"Dak Prescott","DAL",543.4,357.2,3983.1,24.3,11.2,69.9,297.2,4.6,"",284.6
"Daniel Jones","NYG",116.5,72.1,829.8,4.5,3.4,9.5,39.,0.4,"",50.2
"Derek Carr","OAK",565.6,381.1,4104.2,24.4,12.8,33.,90.8,0.8,"",240.6
"Deshaun Watson","HOU",516.8,343.2,4185.8,28.7,11.1,96.8,518.3,4.2,"",332.1
"DeShone Kizer","OAK",0.,0.,0.,0.,0.,0.,0.,0.,"",0.
