"Player","Team","Rush Att","Rush Yds","Rush Tds","Rec","Rec Yds","Rec Tds","FL","FPts"
"Aaron Jones","GB",184.5,947.,8.8,40.3,304.2,1.6,"",185.4
"Adrian Peterson","WAS",117.9,473.4,2.7,19.8,153.8,0.5,"",79.9
"Alexander Mattison","MIN",60.,235.5,1.7,22.4,137.9,1.1,"",53.8
"Alex Armah","CAR",28.8,109.8,0.7,3.4,26.2,0.1,0.,18.4
"Alfred Blue","JAC",0.,0.,0.,0.,0.,0.,"",0.
"Alfred Morris","DAL",21.9,84.1,0.3,9.2,68.7,0.,"",16.8
"Alvin Kamara","NO",196.1,898.7,10.6,83.6,777.2,5.9,"",266.9
"Ameer Abdullah","MIN",17.4,48.5,0.2,11.1,79.7,0.7,"",17.2
"Andy Janovich","DEN",3.6,18.,0.1,3.8,35.2,0.4,0.,8.8
"Anthony Sherman","KC",6.5,30.8,0.2,2.7,21.7,0.3,0.,8.3
"Austin Ekeler","LAC",117.9,580.4,3.3,42.,399.5,2.6,"",131.
"Benny Snell Jr.","PIT",16.6,60.7,0.4,6.4,46.2,0.4,"",15.2
"Bilal Powell","NYJ",19.7,68.1,0.4,9.2,63.6,0.1,"",16.2
"Boston Scott","PHI",0.,0.,0.,0.,0.,0.,0.,0.
"Brandon Bolden","NE",7.9,40.3,0.3,3.7,29.5,0.15,"",10.4
"Brian Hill","ATL",37.3,128.5,1.4,11.3,88.5,0.4,"",32.1
"Buddy Howell","HOU",1.8,7.5,0.,1.2,9.1,0.,"",2.1
"Carlos Hyde","HOU",135.2,496.2,2.9,14.5,88.,0.2,"",74.8
"Chase Edmonds","ARI",53.3,208.9,1.3,8.1,59.8,0.1,"",34.1
"Chris Carson","SEA",248.,1143.2,7.4,23.6,179.5,1.,"",179.3
"Chris Thompson","WAS",45.7,168.9,0.8,34.5,271.,1.6,"",57.4
"Christian McCaffrey","CAR",218.5,1138.9,7.5,102.5,872.9,5.8,"",280.
"C.J. Anderson","DET",132.8,623.6,4.,20.6,141.8,0.5,"",102.
"CJ Ham","MIN",13.5,46.2,0.3,3.7,22.1,0.,0.,8.7
"C.J. Prosise","SEA",2.4,4.5,0.1,4.2,33.5,0.5,0.,7.4
"Corey Clement","PHI",38.2,161.4,1.,14.7,118.,0.9,"",39.1
"Dalvin Cook","MIN",241.6,1111.5,7.2,67.6,510.9,1.7,"",211.5
"Damarea Crockett","OAK",0.,0.,0.,0.,0.,0.,"",0.
"Damien Harris","NE",86.5,330.8,3.,18.2,153.6,1.1,"",73.
"Damien Williams","KC",142.3,657.9,5.9,42.6,349.9,3.2,"",153.7
"Dan Vitale","GB",0.1,0.2,0.,2.2,15.1,0.1,0.,1.9
"Dare Ogunbowale","TB",34.4,128.5,0.5,20.1,144.2,0.6,"",33.3
"Darrell Henderson","LAR",163.3,702.8,4.,25.8,193.4,1.4,"",121.7
"Darrel Williams","KC",7.4,29.9,0.2,2.2,19.2,0.2,0.,6.6
"Darren Sproles","PHI",9.9,44.2,0.2,16.9,143.2,0.4,"",22.1
"Darwin Thompson","KC",41.5,161.1,1.3,8.1,59.5,0.4,"",32.3
"David Fluellen","TEN",0.6,3.2,0.,0.5,3.4,0.,"",1.6
"David Johnson","ARI",250.5,1051.1,7.6,76.,734.3,3.8,"",245.2
"David Montgomery","CHI",222.,958.6,7.1,30.,238.1,1.5,"",169.4
"DeAndre Washington","OAK",63.7,238.2,1.4,11.4,106.6,0.2,"",40.7
"De'Lance Turner","BAL",4.5,18.6,0.1,2.2,16.2,0.2,0.,4.6
"Derek Watt","LAC",6.,23.5,0.2,3.9,25.3,0.2,0.,6.9
"Derrick Henry","TEN",265.9,1189.5,9.7,16.3,112.3,0.3,"",188.2
"Derrius Guice","WAS",160.7,735.3,4.1,25.3,206.4,1.2,"",123.6
"Detrez Newsome","LAC",0.,0.,0.,0.,0.,0.,0.,0.
"Devin Singletary","BUF",215.3,802.2,4.8,37.6,300.8,1.1,"",143.3
"Devontae Booker","DEN",19.9,92.6,0.7,17.7,141.9,0.5,"",29.9
"Devonta Freeman","ATL",222.2,993.3,8.7,52.7,410.7,2.1,"",200.1
"Dexter Williams","GB",20.8,82.8,0.8,5.7,47.7,0.15,0.,20.1
"Dion Lewis","TEN",98.4,400.4,2.5,24.9,179.5,0.6,"",75.2
"D.J. Foster","ARI",13.6,52.5,0.1,5.3,35.6,0.2,0.,10.4
"Dontrell Hilliard","CLE",39.8,144.6,0.9,14.7,121.8,0.7,"",36.2
"Doug Martin","OAK",0.,0.,0.,0.,0.,0.,0.,0.
"Duke Johnson","HOU",129.8,534.1,3.7,50.2,459.6,2.2,"",133.7
"Dwayne Washington","NO",10.7,42.7,0.3,3.6,22.6,0.1,0.,9.
"Elijhaa Penny","NYG",8.7,33.8,0.2,2.4,17.4,0.1,0.,6.4
"Ezekiel Elliott","DAL",294.2,1360.4,10.6,69.4,499.9,2.7,"",265.1
"Frank Gore","BUF",91.7,365.9,3.1,12.4,89.,0.3,"",65.7
"Garrett Griffin","NO",5.1,19.,0.2,2.7,22.4,0.1,0.,5.4
"Giovani Bernard","CIN",80.2,347.,1.5,30.8,236.,0.7,"",70.1
