"Player","Team","Rec","Rec Yds","Rec Tds","FL","FPts"
"Adam Shaheen","CHI",11.4,114.8,1.4,0.,19.8
"Anthony Firkser","TEN",5.2,58.2,0.7,0.,10.1
"Antony Auclair","TB",7.2,53.,0.2,0.,6.4
"Austin Hooper","ATL",57.8,536.9,5.6,"",87.4
"Ben Braunecker","CHI",4.7,47.8,0.2,0.,6.2
"Benjamin Watson","NE",14.2,162.4,1.1,0.,23.1
"Blake Bell","KC",3.5,20.4,0.3,0.,3.8
"Blake Jarwin","DAL",20.3,221.3,1.8,0.,33.
"Cameron Brate","TB",24.5,242.1,2.3,"",37.6
"Cethan Carter","CIN",5.,47.4,0.5,0.,8.
"Charles Clay","ARI",38.8,319.1,2.6,"",47.7
"Chris Herndon IV","NYJ",36.6,423.3,4.,0.,66.3
"Chris Manhertz","CAR",2.5,30.6,0.5,0.,5.8
"C.J. Uzomah","CIN",17.1,164.7,0.8,0.,20.8
"Dallas Goedert","PHI",37.8,364.4,4.,0.,61.3
"Dalton Schultz","DAL",7.,64.8,0.2,0.,7.6
"Dan Arnold","NO",0.,0.,0.,0.,0.
"Daniel Brown","NYJ",6.4,71.8,0.5,0.,10.
"Darren Fells","HOU",14.1,187.9,1.2,0.,25.8
"Darren Waller","OAK",34.6,407.9,4.4,"",67.1
"David Morgan","MIN",6.9,55.2,0.5,0.,8.6
"David Njoku","CLE",53.8,656.9,5.2,"",96.
"Delanie Walker","TEN",54.4,573.8,3.9,"",80.6
"Demetrius Harris","CLE",5.9,79.2,0.3,0.,9.9
"Derek Carrier","OAK",6.2,62.9,0.6,0.,9.7
"Durham Smythe","MIA",4.8,48.3,0.3,0.,6.7
"Ed Dickson","SEA",12.2,139.9,1.9,0.,25.5
"Eric Ebron","IND",42.2,486.5,5.3,"",81.4
"Eric Saubert","OAK",4.6,41.1,0.5,0.,6.9
"Eric Tomlinson","NYG",14.7,121.4,0.8,0.,17.
"Evan Baylis","GB",2.4,26.1,0.6,0.,6.
"Evan Engram","NYG",70.3,800.1,5.,"",111.3
"Garrett Celek","SF",5.7,54.9,0.3,0.,7.4
"Geoff Swaim","JAC",27.9,284.3,2.7,"",43.6
"George Kittle","SF",88.1,1182.5,6.8,"",156.9
"Gerald Everett","LAR",25.7,278.6,2.9,0.,45.8
"Greg Olsen","CAR",41.9,518.9,3.7,0.,74.7
"Hayden Hurst","BAL",12.5,148.1,1.1,0.,21.3
"Hunter Henry","LAC",59.1,740.,7.8,"",120.3
"Ian Thomas","CAR",15.6,181.5,1.8,0.,29.3
"Irv Smith Jr.","MIN",23.3,241.4,1.9,"",35.1
"Jack Doyle","IND",47.2,398.8,3.8,"",61.3
"Jacob Hollister","SEA",0.,0.,0.,0.,0.
"Jake Butt","DEN",15.5,161.7,1.3,0.,24.
"James O'Shaughnessy","JAC",16.2,178.3,1.4,0.,26.2
"Jared Cook","NO",51.4,716.8,5.4,"",103.6
"Jason Croom","BUF",0.,0.,0.,0.,0.
"Jason Witten","DAL",41.,425.5,2.8,"",59.1
"Jeff Heuerman","DEN",13.3,141.,1.,0.,19.8
"Jerell Adams","HOU",2.3,25.4,0.2,0.,3.5
"Jeremy Sprinkle","WAS",4.8,46.8,0.5,0.,7.7
"Jesse James","DET",19.2,175.6,1.6,0.,26.8
"Jimmy Graham","GB",49.7,525.2,3.45,"",74.9
"Johnny Mundt","LAR",2.4,19.6,0.2,0.,2.9
"Jonnu Smith","TEN",20.1,196.1,1.9,0.,31.1
"Jordan Akins","HOU",2.7,34.1,0.2,0.,4.6
"Jordan Franks","CIN",2.4,27.2,0.2,0.,3.8
"Jordan Leggett","TB",8.7,62.9,0.6,0.,9.8
"Jordan Reed","WAS",62.4,622.5,3.7,"",83.5
"Jordan Thomas","HOU",15.2,160.4,1.2,0.,23.4
"Josh Hill","NO",13.5,129.1,1.5,"",21.2
"Joshua Perkins","PHI",4.,41.2,0.3,0.,6.
"Kyle Rudolph","MIN",49.1,458.2,3.6,"",66.6
"Lance Kendricks","NE",4.3,34.7,0.2,0.,4.4
"Lee Smith","BUF",3.7,49.8,0.5,0.,8.1
"Levine Toilolo","SF",5.4,59.2,0.3,0.,7.8
"Luke Stocker","ATL",5.5,55.9,0.8,0.,10.1
"Marcedes Lewis","GB",5.2,53.9,0.6,0.,8.8
"Mark Andrews","BAL",41.6,659.5,3.9,0.,88.9
"Matt LaCosse","NE",24.7,260.2,1.1,0.,32.6
"Maxx Williams","ARI",17.6,156.4,0.9,0.,20.9
"Mike Gesicki","MIA",41.1,366.2,2.5,"",48.9
"Mo Alie-Cox","IND",3.6,37.5,0.5,0.,6.4
"MyCole Pruitt","TEN",7.8,62.3,0.4,0.,8.7
"Nick Boyle","BAL",7.6,74.9,0.6,0.,10.9
"Nick O'Leary","MIA",11.8,152.6,1.3,"",22.5
"Nick Vannett","SEA",21.5,185.9,2.1,0.,31.1
"Noah Fant","DEN",40.3,466.5,3.4,"",66.6
"O.J. Howard","TB",58.9,821.3,6.7,"",121.4
