"Player","Team","Rec","Rec Yds","Rec Tds","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Adam Humphries","TEN",44.5,503.,2.8,0.9,3.6,0.,"",67.
"Adam Thielen","MIN",93.1,1197.4,7.3,3.1,10.4,0.,"",163.3
"A.J. Brown","TEN",44.1,527.3,2.7,0.,0.,0.,0.,68.8
"A.J. Green","CIN",65.15,927.8,6.5,0.,0.,0.,"",131.8
"Albert Wilson","MIA",47.9,614.6,3.7,6.,37.9,0.,"",86.
"Alex Erickson","CIN",6.9,74.8,0.4,0.4,2.2,0.,0.,9.6
"Allen Hurns","MIA",23.9,322.2,2.3,0.,0.,0.,0.,46.2
"Allen Lazard","GB",0.,0.,0.,0.,0.,0.,0.,0.
"Allen Robinson","CHI",65.7,877.5,6.2,0.9,3.1,0.2,"",127.
"Alshon Jeffery","PHI",62.3,874.3,6.1,0.,0.,0.,"",125.1
"Amari Cooper","DAL",84.3,1168.7,8.3,0.7,3.8,0.,"",166.
"Andre Roberts","BUF",4.7,54.8,0.1,0.,0.8,0.,0.,6.
"Andy Isabella","ARI",31.,416.5,2.9,0.,0.1,0.,0.,57.6
"Andy Jones","DET",0.6,5.9,0.1,0.,0.,0.,0.,0.9
"Anthony Miller","CHI",45.9,617.7,4.3,3.1,15.1,0.,"",88.7
"Antonio Brown","OAK",103.5,1267.3,9.6,0.,0.,0.,"",183.2
"Antonio Callaway","CLE",21.2,329.3,1.9,1.1,4.6,0.,"",43.9
"Auden Tate","CIN",3.1,39.9,0.1,0.,0.,0.,0.,4.4
"Austin Carr","NO",14.5,180.2,2.,0.,0.,0.,0.,29.6
"Bennie Fowler","NYG",16.4,298.9,1.8,0.,0.,0.,0.,40.2
"Bobo Wilson","TB",8.4,73.7,0.1,0.3,2.3,0.,0.,7.2
"Brandin Cooks","LAR",77.5,1170.,6.9,4.3,23.5,0.2,"",162.1
"Brandon Zylstra","CAR",4.4,63.6,0.5,0.,0.,0.,0.,9.6
"Breshad Perriman","TB",20.7,290.2,1.7,0.5,3.6,0.,0.,39.7
"Brittan Golden","NYG",2.6,35.3,0.2,0.,0.,0.,0.,5.1
"Byron Marshall","WAS",5.6,98.8,0.2,0.4,1.1,0.,0.,10.8
