Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Miles Sanders,PHI,207.0,936.0,4.0,58.0,593.0,3.0,3.0,194.9
Josh Jacobs,LV,276.0,"1,299.0",10.0,37.0,315.0,0.0,3.0,221.4
Carlos Hyde,SEA,90.0,358.0,2.0,5.0,21.0,0.0,1.0,49.9
Damien Harris,NE,115.0,425.0,4.0,6.0,55.0,0.0,2.0,72.0
Patrick Laird,MIA,,,,,,,0.0,
Adrian Peterson,DET,86.0,331.0,2.0,4.0,40.0,0.0,1.0,49.1
Raheem Mostert,SF,153.0,893.0,8.0,14.0,131.0,1.0,2.0,156.4
Nyheim Hines,IND,63.0,236.0,2.0,51.0,373.0,1.0,1.0,78.9
Mike Boone,MIN,,,,,,,,
Kyle Juszczyk,SF,9.0,30.0,0.0,32.0,353.0,2.0,1.0,50.3
Devine Ozigbo,JAC,120.0,486.0,2.0,27.0,244.0,1.0,2.0,91.0
Corey Clement,PHI,41.0,177.0,1.0,10.0,87.0,0.0,1.0,32.4
Alex Armah,CAR,14.0,26.0,2.0,4.0,15.0,0.0,0.0,16.1
Jeff Wilson Jr.,SF,35.0,142.0,2.0,1.0,11.0,0.0,0.0,27.3
J.D. McKissic,WAS,68.0,336.0,1.0,23.0,130.0,1.0,1.0,58.6
La'Mical Perine,NYJ,,,,,,,,
Alvin Kamara,NO,208.0,973.0,8.0,96.0,711.0,2.0,3.0,228.4
Boston Scott,PHI,85.0,335.0,5.0,36.0,314.0,0.0,2.0,94.9
Joshua Kelley,LAC,139.0,576.0,5.0,3.0,36.0,0.0,2.0,91.2
T.J. Yeldon,BUF,,,,,,,,
Ezekiel Elliott,DAL,286.0,"1,299.0",9.0,72.0,584.0,3.0,4.0,260.3
Anthony McFarland Jr.,PIT,45.0,169.0,1.0,15.0,130.0,1.0,1.0,41.9
Tevin Coleman,SF,169.0,754.0,5.0,10.0,90.0,1.0,2.0,120.4
Marlon Mack,IND,199.0,873.0,7.0,15.0,87.0,0.0,2.0,138.0
Mark Ingram II,BAL,169.0,900.0,6.0,22.0,197.0,3.0,2.0,163.7
Bryce Love,WAS,94.0,373.0,2.0,19.0,162.0,1.0,2.0,71.5
Aaron Jones,GB,193.0,815.0,11.0,38.0,331.0,2.0,2.0,192.6
Brian Hill,ATL,,,,,,,,
Jamaal Williams,GB,74.0,274.0,1.0,25.0,175.0,2.0,1.0,62.9
Zack Moss,BUF,184.0,896.0,5.0,18.0,172.0,1.0,3.0,142.8
Malcolm Perry,MIA,25.0,97.0,1.0,4.0,37.0,0.0,0.0,19.4
Ryquell Armstead,JAC,89.0,292.0,2.0,12.0,118.0,1.0,1.0,59.0
Le'Veon Bell,KC,226.0,775.0,5.0,67.0,496.0,1.0,3.0,163.1
James Conner,PIT,223.0,916.0,7.0,38.0,314.0,2.0,3.0,177.0
Clyde Edwards-Helaire,KC,182.0,810.0,10.0,49.0,572.0,4.0,3.0,222.2
Phillip Lindsay,DEN,159.0,708.0,5.0,45.0,298.0,1.0,2.0,136.6
Jordan Howard,PHI,181.0,696.0,7.0,20.0,147.0,1.0,2.0,132.3
Benny Snell Jr.,PIT,131.0,498.0,3.0,2.0,18.0,0.0,1.0,69.6
Rex Burkhead,NE,63.0,221.0,2.0,21.0,200.0,0.0,1.0,54.1
Devin Singletary,BUF,148.0,798.0,3.0,39.0,298.0,2.0,2.0,139.6
Tarik Cohen,CHI,103.0,362.0,2.0,75.0,602.0,4.0,2.0,132.4
Justice Hill,BAL,56.0,213.0,2.0,9.0,73.0,0.0,1.0,40.6
James White,NE,76.0,287.0,2.0,64.0,546.0,4.0,1.0,119.3
Kenyan Drake,ARI,166.0,714.0,8.0,60.0,455.0,3.0,2.0,182.9
Antonio Gibson,WAS,152.0,638.0,4.0,45.0,382.0,2.0,3.0,138.0
Alexander Mattison,MIN,155.0,695.0,3.0,5.0,43.0,0.0,2.0,91.8
