Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Eric Kendricks,Min,LB,,,,,,,,,,,116.0,1.0,2.0,1.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1540
Demario Davis,NO,LB,,,,,,,,,,,113.0,3.0,0.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1541
Fred Warner,SF,LB,,,,,,,,,,,121.0,1.0,2.0,2.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1542
Jaylon Smith,Dal,LB,,,,,,,,,,,146.0,1.0,2.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1543
Jayon Brown,Ten,LB,,,,,,,,,,,119.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1544
Matt Milano,Buf,LB,,,,,,,,,,,115.0,2.0,1.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1545
Tremaine Edmunds,Buf,LB,,,,,,,,,,,124.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1546
Joe Schobert,Jax,LB,,,,,,,,,,,124.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1547
Darius Leonard,Ind,LB,,,,,,,,,,,148.0,1.0,3.0,2.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1548
Cory Littleton,LV,LB,,,,,,,,,,,126.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1549
K.J. Wright,Sea,LB,,,,,,,,,,,103.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1550
Kwon Alexander,NO,LB,,,,,,,,,,,84.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,1551
Nathan Gerry,Phi,LB,,,,,,,,,,,104.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,1552
Leighton Vander Esch,Dal,LB,,,,,,,,,,,141.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1553
Bobby Wagner,Sea,LB,,,,,,,,,,,147.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1554
Jamie Collins Sr.,Det,LB,,,,,,,,,,,84.0,4.0,2.0,2.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1555
Lavonte David,TB,LB,,,,,,,,,,,112.0,2.0,3.0,2.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1556
Myles Jack,Jax,LB,,,,,,,,,,,100.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1557
Mack Wilson,Cle,LB,,,,,,,,,,,67.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1558
Deion Jones,Atl,LB,,,,,,,,,,,116.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1559
Christian Kirksey,GB,LB,,,,,,,,,,,112.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1560
Jordan Hicks,Ari,LB,,,,,,,,,,,134.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1561
Nick Kwiatkoski,LV,LB,,,,,,,,,,,104.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1562
Josh Bynes,Cin,LB,,,,,,,,,,,74.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1563
Ja'Whaun Bentley,NE,LB,,,,,,,,,,,105.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1564
Devin Bush,Pit,LB,,,,,,,,,,,119.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1565
Anthony Barr,Min,LB,,,,,,,,,,,92.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1566
