Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Johnny Hekker,LAR,P,,,,,,,,,,,,,,,,,,,72.0,46.6,0.0,29.0,4.0,,,,,,,,,,,,,2482
Braden Mann,NYJ,P,,,,,,,,,,,,,,,,,,,80.0,45.4,0.0,30.0,5.0,,,,,,,,,,,,,2483
Tress Way,Wsh,P,,,,,,,,,,,,,,,,,,,84.0,46.3,0.0,31.0,5.0,,,,,,,,,,,,,2484
Logan Cooke,Jax,P,,,,,,,,,,,,,,,,,,,83.0,45.7,0.0,31.0,5.0,,,,,,,,,,,,,2485
Sam Martin,Den,P,,,,,,,,,,,,,,,,,,,76.0,45.8,0.0,28.0,6.0,,,,,,,,,,,,,2486
Cameron Johnston,Phi,P,,,,,,,,,,,,,,,,,,,69.0,45.9,0.0,26.0,5.0,,,,,,,,,,,,,2487
Riley Dixon,NYG,P,,,,,,,,,,,,,,,,,,,74.0,45.6,1.0,25.0,4.0,,,,,,,,,,,,,2488
Pat O'Donnell,Chi,P,,,,,,,,,,,,,,,,,,,83.0,45.0,1.0,30.0,5.0,,,,,,,,,,,,,2489
Jake Bailey,NE,P,,,,,,,,,,,,,,,,,,,75.0,45.3,0.0,29.0,5.0,,,,,,,,,,,,,2490
Kevin Huber,Cin,P,,,,,,,,,,,,,,,,,,,80.0,45.6,0.0,29.0,5.0,,,,,,,,,,,,,2491
Sam Koch,Bal,P,,,,,,,,,,,,,,,,,,,68.0,46.0,1.0,27.0,5.0,,,,,,,,,,,,,2492
Rigoberto Sanchez,Ind,P,,,,,,,,,,,,,,,,,,,69.0,45.1,0.0,25.0,4.0,,,,,,,,,,,,,2493
Jamie Gillan,Cle,P,,,,,,,,,,,,,,,,,,,70.0,45.6,1.0,27.0,5.0,,,,,,,,,,,,,2494
Thomas Morstead,NO,P,,,,,,,,,,,,,,,,,,,64.0,46.1,0.0,24.0,4.0,,,,,,,,,,,,,2495
Bryan Anger,Hou,P,,,,,,,,,,,,,,,,,,,71.0,45.7,0.0,26.0,5.0,,,,,,,,,,,,,2496
Mitch Wishnowsky,SF,P,,,,,,,,,,,,,,,,,,,68.0,45.2,0.0,27.0,4.0,,,,,,,,,,,,,2497
Britton Colquitt,Min,P,,,,,,,,,,,,,,,,,,,74.0,45.2,0.0,25.0,4.0,,,,,,,,,,,,,2498
Andy Lee,Ari,P,,,,,,,,,,,,,,,,,,,69.0,46.9,0.0,25.0,5.0,,,,,,,,,,,,,2499
Matt Haack,Mia,P,,,,,,,,,,,,,,,,,,,79.0,44.9,0.0,29.0,4.0,,,,,,,,,,,,,2500
Michael Dickson,Sea,P,,,,,,,,,,,,,,,,,,,69.0,46.4,0.0,27.0,5.0,,,,,,,,,,,,,2501
AJ Cole,LV,P,,,,,,,,,,,,,,,,,,,73.0,45.6,0.0,30.0,5.0,,,,,,,,,,,,,2502
Dustin Colquitt,FA,P,,,,,,,,,,,,,,,,,,,71.0,45.0,0.0,30.0,6.0,,,,,,,,,,,,,2503
Ty Long,LAC,P,,,,,,,,,,,,,,,,,,,77.0,45.9,0.0,28.0,4.0,,,,,,,,,,,,,2504
Joseph Charlton,Car,P,,,,,,,,,,,,,,,,,,,78.0,45.4,0.0,29.0,5.0,,,,,,,,,,,,,2505
Corey Bojorquez,Buf,P,,,,,,,,,,,,,,,,,,,75.0,44.7,1.0,29.0,5.0,,,,,,,,,,,,,2506
Chris Jones,Dal,P,,,,,,,,,,,,,,,,,,,67.0,44.9,0.0,26.0,4.0,,,,,,,,,,,,,2507
Brett Kern,Ten,P,,,,,,,,,,,,,,,,,,,73.0,46.2,0.0,29.0,4.0,,,,,,,,,,,,,2508
Sterling Hofrichter,Atl,P,,,,,,,,,,,,,,,,,,,70.0,45.4,0.0,26.0,4.0,,,,,,,,,,,,,2509
Jack Fox,Det,P,,,,,,,,,,,,,,,,,,,70.0,45.4,0.0,26.0,4.0,,,,,,,,,,,,,2510
Tommy Townsend,KC,P,,,,,,,,,,,,,,,,,,,60.0,45.4,0.0,22.0,4.0,,,,,,,,,,,,,2511
JK Scott,GB,P,,,,,,,,,,,,,,,,,,,72.0,44.6,0.0,24.0,6.0,,,,,,,,,,,,,2512
Bradley Pinion,TB,P,,,,,,,,,,,,,,,,,,,66.0,44.2,0.0,23.0,3.0,,,,,,,,,,,,,2513
Ryan Winslow,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2514
Arryn Siposs,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2515
Blake Gillikin,NO,P,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2516
Tyler Newsome,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2517
Johnny Townsend,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2518
Ryan Santoso,Ten,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2519
Kaare Vedvik,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2520
Colby Wadman,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2521
Lachlan Edwards,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2522
Trevor Daniel,Ten,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2523
Matt Darr,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2524
Drew Kaser,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2525
Matt Wile,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2526
Michael Palardy,Car,P,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2527
Jordan Berry,Pit,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2528
Marquette King,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2529
Ryan Allen,Ten,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2530
Donnie Jones,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2531
Matt Bosher,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2532
Colton Schmidt,FA,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2533
Hunter Niswander,Dal,P,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,2534
