Pittsburgh Steelers,Steelers,52.8,15.5,16.5,25.0,2.9,0.5,304.5,"4,816.6",134.9
,high,54.5,16.0,18.0,25.0,3.7,1.0,319.0,"4,678.0",142.7
,low,51.0,15.0,15.0,25.0,2.0,0.0,290.0,"4,955.2",133.0
San Francisco 49ers,49ers,50.2,14.5,15.5,24.0,3.3,0.0,309.0,"4,693.0",129.7
,high,52.4,15.0,17.0,24.0,3.5,0.0,336.0,"4,634.0",137.4
,low,48.0,14.0,14.0,24.0,3.0,0.0,282.0,"4,752.0",128.0
Los Angeles Rams,Rams,49.2,15.5,13.0,21.0,3.7,0.5,341.5,"5,246.7",129.1
,high,51.3,16.0,15.0,21.0,4.0,1.0,359.0,"4,999.0",133.1
,low,47.0,15.0,11.0,21.0,3.3,0.0,324.0,"5,494.4",131.0
New England Patriots,Patriots,44.0,17.0,12.0,19.0,3.4,1.0,309.0,"5,051.9",124.1
,high,48.9,21.0,14.0,19.0,3.7,2.0,315.0,"5,012.8",141.1
,low,39.0,13.0,10.0,19.0,3.0,0.0,303.0,"5,091.0",113.0
Minnesota Vikings,Vikings,48.5,14.0,14.0,22.0,2.1,1.0,323.5,"5,193.9",118.8
,high,51.0,14.0,16.0,22.0,3.1,1.0,335.0,"5,063.0",129.6
,low,46.0,14.0,12.0,22.0,1.0,1.0,312.0,"5,324.8",112.0
Kansas City Chiefs,Chiefs,42.9,16.5,10.0,15.0,3.2,0.0,322.0,"5,658.9",115.1
,high,44.0,17.0,11.0,15.0,3.4,0.0,323.0,"5,537.0",124.0
,low,41.8,16.0,9.0,15.0,3.0,0.0,321.0,"5,780.8",118.2
Baltimore Ravens,Ravens,39.1,14.5,12.0,21.0,3.7,0.5,291.5,"4,718.8",115.0
,high,40.2,15.0,15.0,21.0,4.0,1.0,294.0,"4,676.0",120.0
,low,38.0,14.0,9.0,21.0,3.3,0.0,289.0,"4,761.6",116.0
New Orleans Saints,Saints,47.0,12.5,13.0,21.0,2.7,0.5,354.0,"5,441.0",114.9
,high,47.0,14.0,15.0,21.0,3.3,1.0,361.0,"5,370.0",124.8
,low,47.0,11.0,11.0,21.0,2.0,0.0,347.0,"5,512.0",111.0
Philadelphia Eagles,Eagles,40.5,16.0,11.5,15.0,3.0,0.5,360.5,"5,456.1",114.2
,high,42.0,17.0,12.0,15.0,3.0,1.0,366.0,"5,389.0",122.0
,low,39.0,15.0,11.0,15.0,2.9,0.0,355.0,"5,523.2",112.4
Tampa Bay Buccaneers,Buccaneers,40.5,13.0,13.5,24.0,3.2,0.0,401.0,"5,223.1",112.4
,high,43.0,14.0,17.0,24.0,3.3,0.0,426.0,"4,827.0",119.7
,low,37.9,12.0,10.0,24.0,3.0,0.0,376.0,"5,619.2",105.0
Carolina Panthers,Panthers,49.7,13.5,10.0,16.0,1.8,1.0,425.0,"5,647.4",109.5
,high,55.4,14.0,12.0,16.0,2.6,2.0,435.0,"5,250.0",123.0
,low,44.0,13.0,8.0,16.0,1.0,0.0,415.0,"6,044.8",96.0
Seattle Seahawks,Seahawks,33.2,14.5,15.0,24.0,2.8,0.0,366.5,"5,852.0",108.7
,high,34.0,16.0,18.0,24.0,3.5,0.0,372.0,"5,752.0",121.3
,low,32.3,13.0,12.0,24.0,2.0,0.0,361.0,"5,952.0",96.0
Buffalo Bills,Bills,41.4,14.5,11.0,16.0,2.5,0.5,274.0,"4,594.9",108.4
