Player,Team,Sack,Int,Fum Rec,Fum Forced,TDs,Safety,PA,Yds Against,FPoints
Arizona Cardinals,Cardinals,37.8,11.0,13.0,18.0,2.6,0.0,393.0,"5,907.0",101.4
Tennessee Titans,Titans,41.6,14.0,12.0,16.0,2.7,0.0,286.0,"5,084.0",109.8
Jacksonville Jaguars,Jaguars,36.7,11.0,13.0,18.0,2.6,0.0,448.0,"6,371.0",100.3
Detroit Lions,Lions,29.2,12.0,13.0,18.0,3.0,0.0,354.0,"5,583.0",97.2
New England Patriots,Patriots,48.9,21.0,14.0,19.0,3.7,0.0,303.0,"5,091.0",141.1
Dallas Cowboys,Cowboys,41.3,12.0,15.0,21.0,2.9,0.0,347.0,"5,342.0",112.7
Las Vegas Raiders,Raiders,33.1,16.0,9.0,12.0,2.7,0.0,406.0,"5,816.0",99.3
Tampa Bay Buccaneers,Buccaneers,37.9,14.0,17.0,24.0,3.3,0.0,376.0,"4,827.0",119.7
Los Angeles Rams,Rams,51.3,16.0,15.0,21.0,3.3,0.0,324.0,"4,999.0",133.1
Chicago Bears,Bears,32.2,14.0,13.0,18.0,2.9,0.0,295.0,"4,998.0",103.6
Buffalo Bills,Bills,42.8,14.0,12.0,16.0,3.0,0.0,271.0,"4,489.0",112.8
Carolina Panthers,Panthers,55.4,14.0,12.0,16.0,2.6,0.0,415.0,"5,250.0",123.0
Atlanta Falcons,Falcons,28.7,13.0,11.0,15.0,2.9,0.0,431.0,"6,047.0",94.1
Cleveland Browns,Browns,40.0,16.0,12.0,16.0,2.9,0.0,351.0,"5,604.0",113.4
Washington Football Team,Team,50.5,14.0,13.0,18.0,2.9,0.0,369.0,"5,632.0",121.9
Los Angeles Chargers,Chargers,33.3,12.0,8.0,11.0,2.5,0.0,362.0,"5,187.0",88.3
Minnesota Vikings,Vikings,51.0,14.0,16.0,22.0,3.1,1.0,312.0,"5,063.0",129.6
Baltimore Ravens,Ravens,40.2,15.0,15.0,21.0,3.3,0.0,289.0,"4,676.0",120.0
Indianapolis Colts,Colts,46.2,12.0,13.0,17.0,2.8,0.0,342.0,"5,104.0",113.0
New York Jets,Jets,31.6,14.0,12.0,16.0,2.8,0.0,387.0,"5,259.0",100.4
Kansas City Chiefs,Chiefs,41.8,17.0,11.0,15.0,3.4,0.0,323.0,"5,537.0",118.2
Miami Dolphins,Dolphins,22.9,17.0,7.0,10.0,2.7,0.0,431.0,"5,661.0",87.1
Seattle Seahawks,Seahawks,32.3,16.0,18.0,24.0,3.5,0.0,361.0,"5,752.0",121.3
Denver Broncos,Broncos,33.3,14.0,12.0,16.0,2.7,0.0,362.0,"5,240.0",101.5
Cincinnati Bengals,Bengals,33.9,15.0,10.0,14.0,2.9,0.0,437.0,"6,330.0",101.3
New York Giants,Giants,35.7,16.0,9.0,13.0,2.6,0.0,419.0,"5,634.0",101.3
Green Bay Packers,Packers,43.5,16.0,11.0,15.0,2.8,1.0,366.0,"5,706.0",114.3
New Orleans Saints,Saints,47.0,14.0,15.0,21.0,3.3,0.0,347.0,"5,370.0",124.8
Houston Texans,Texans,29.0,12.0,14.0,20.0,2.7,0.0,352.0,"5,675.0",97.2
Philadelphia Eagles,Eagles,39.0,17.0,11.0,15.0,2.9,0.0,355.0,"5,389.0",112.4
Pittsburgh Steelers,Steelers,54.5,15.0,18.0,25.0,3.7,0.0,290.0,"4,678.0",142.7
San Francisco 49ers,49ers,52.4,15.0,17.0,24.0,3.5,0.0,282.0,"4,634.0",137.4
