Pittsburgh Steelers,Steelers,46.5,14.4,13.3,17.8,2.5,1.0,310.7,"5,244.4",118.8
,high,51.0,16.0,15.0,17.8,3.0,1.0,319.0,"4,955.2",133.0
,low,42.0,12.9,11.6,17.8,2.0,1.0,302.4,"5,533.6",108.6
San Francisco 49ers,49ers,45.2,13.4,13.3,19.3,2.8,0.0,326.7,"5,162.8",115.6
,high,48.0,14.0,14.0,19.3,3.0,0.0,336.0,"4,752.0",128.0
,low,42.5,12.8,12.5,19.3,2.7,0.0,317.5,"5,573.5",109.3
Los Angeles Rams,Rams,43.8,13.7,9.8,13.2,3.3,1.0,362.9,"5,574.9",112.4
,high,47.0,15.0,11.0,13.2,4.0,1.0,366.8,"5,494.4",131.0
,low,40.6,12.5,8.6,13.2,2.5,1.0,359.0,"5,655.3",97.8
Philadelphia Eagles,Eagles,41.3,14.3,11.2,15.9,2.8,1.0,363.6,"5,619.3",110.7
,high,42.0,15.0,12.0,15.9,3.0,1.0,366.0,"5,523.2",122.0
,low,40.7,13.5,10.3,15.9,2.5,1.0,361.1,"5,715.5",103.3
Baltimore Ravens,Ravens,39.7,14.2,9.3,14.8,3.3,1.0,310.3,"5,129.9",108.1
,high,41.4,14.3,9.6,14.8,4.0,1.0,326.7,"4,761.6",116.0
,low,38.0,14.0,9.0,14.8,2.5,1.0,294.0,"5,498.1",104.3
Buffalo Bills,Bills,40.3,14.0,10.8,17.7,2.4,1.0,291.0,"5,040.8",106.2
,high,40.6,15.0,11.5,17.7,2.8,1.0,305.1,"4,700.8",110.0
,low,40.0,13.0,10.0,17.7,2.0,1.0,277.0,"5,380.8",106.5
Kansas City Chiefs,Chiefs,42.7,14.1,8.8,13.2,2.9,0.0,341.4,"5,762.6",106.1
,high,44.0,16.0,9.0,13.2,3.0,0.0,361.8,"5,744.4",124.0
,low,41.5,12.2,8.6,13.2,2.8,0.0,321.0,"5,780.8",100.1
Minnesota Vikings,Vikings,42.1,13.3,12.3,19.3,1.8,1.0,330.5,"5,496.0",105.9
,high,46.0,14.0,12.5,19.3,2.5,1.0,335.0,"5,324.8",112.0
,low,38.2,12.7,12.0,19.3,1.0,1.0,326.1,"5,667.2",103.9
Tampa Bay Buccaneers,Buccaneers,41.7,12.3,11.2,18.9,2.9,0.0,387.6,"5,610.9",105.8
,high,43.0,12.6,12.3,18.9,3.0,0.0,426.0,"5,602.6",106.7
,low,40.5,12.0,10.0,18.9,2.7,0.0,349.2,"5,619.2",105.0
New Orleans Saints,Saints,44.2,12.2,10.2,14.5,2.4,1.0,348.7,"5,557.2",105.3
,high,47.0,13.4,11.0,14.5,2.7,1.0,361.0,"5,512.0",111.0
,low,41.5,11.0,9.4,14.5,2.0,1.0,336.3,"5,602.3",103.5
New England Patriots,Patriots,38.9,13.4,9.0,12.3,2.8,2.0,321.1,"5,230.3",104.5
,high,39.0,13.8,10.0,12.3,3.0,2.0,327.2,"5,012.8",113.0
,low,38.9,13.0,8.0,12.3,2.6,2.0,315.0,"5,447.7",97.9
Indianapolis Colts,Colts,42.4,13.2,9.4,15.1,1.8,2.0,353.4,"5,446.4",102.1
,high,43.0,15.0,9.8,15.1,2.6,2.0,384.0,"5,414.4",107.0
,low,41.7,11.3,9.0,15.1,1.0,2.0,322.7,"5,478.4",99.3
Seattle Seahawks,Seahawks,37.4,13.2,11.2,16.0,2.3,0.0,355.3,"5,840.4",100.3
,high,40.8,13.5,12.0,16.0,2.7,0.0,372.0,"5,728.9",104.6
,low,34.0,13.0,10.4,16.0,2.0,0.0,338.6,"5,952.0",96.0
Houston Texans,Texans,36.1,12.5,11.3,16.3,2.7,0.0,379.0,"5,844.4",99.9
,high,38.2,13.0,12.0,16.3,3.0,0.0,379.0,"5,740.0",102.0
,low,34.0,11.9,10.6,16.3,2.4,0.0,379.0,"5,948.8",97.8
Cleveland Browns,Browns,39.4,13.9,9.5,13.7,1.7,1.0,371.4,"5,829.8",98.5
,high,39.8,15.0,10.0,13.7,2.5,1.0,394.0,"5,726.8",98.0
,low,39.0,12.8,8.9,13.7,1.0,1.0,348.9,"5,932.8",97.0
Denver Broncos,Broncos,39.3,12.9,8.4,13.4,2.2,1.0,334.4,"5,577.6",97.1
,high,42.0,13.0,8.7,13.4,2.5,1.0,337.9,"5,555.2",98.0
,low,36.5,12.8,8.0,13.4,2.0,1.0,331.0,"5,600.0",94.3
New York Jets,Jets,35.3,12.6,8.0,12.4,2.7,1.0,383.7,"5,558.7",95.0
,high,37.6,13.0,8.1,12.4,3.0,1.0,395.4,"5,436.8",95.0
,low,33.0,12.3,8.0,12.4,2.5,1.0,372.0,"5,680.6",93.1
Jacksonville Jaguars,Jaguars,38.4,11.5,8.3,13.2,2.4,1.0,409.5,"5,911.8",94.3
,high,39.0,12.0,8.6,13.2,2.8,1.0,417.9,"5,831.6",97.0
,low,37.8,11.0,8.0,13.2,2.0,1.0,401.0,"5,992.0",95.6
Carolina Panthers,Panthers,40.3,11.9,7.7,11.4,1.8,2.0,430.9,"6,036.1",94.2
,high,44.0,13.0,8.0,11.4,2.6,2.0,435.0,"6,027.4",96.0
,low,36.7,10.8,7.4,11.4,1.0,2.0,426.9,"6,044.8",88.3
Chicago Bears,Bears,36.0,10.8,10.9,16.8,1.9,1.0,330.9,"5,467.5",93.0
,high,38.0,11.0,11.0,16.8,2.8,1.0,340.8,"5,459.8",98.0
,low,34.0,10.6,10.9,16.8,1.0,1.0,321.0,"5,475.2",86.0
Arizona Cardinals,Cardinals,41.0,9.6,9.5,15.5,2.3,0.0,411.3,"5,987.6",92.9
,high,43.0,12.2,10.1,15.5,2.5,0.0,431.0,"5,837.6",98.8
,low,39.1,7.0,9.0,15.5,2.0,0.0,391.6,"6,137.6",87.0
Washington Football Team,Team,40.1,10.9,9.5,14.0,1.9,0.0,408.1,"5,965.6",92.4
,high,45.0,11.7,10.0,14.0,2.8,0.0,430.0,"5,876.9",97.0
,low,35.3,10.0,9.1,14.0,1.0,0.0,386.2,"6,054.4",93.8
Dallas Cowboys,Cowboys,40.3,10.7,10.0,13.7,1.8,0.0,335.8,"5,425.2",92.4
,high,41.7,13.3,11.0,13.7,2.6,0.0,344.7,"5,251.2",101.8
,low,39.0,8.0,8.9,13.7,1.0,0.0,327.0,"5,599.2",83.0
Green Bay Packers,Packers,40.0,13.0,7.9,11.8,1.7,0.0,349.8,"5,744.7",92.0
,high,42.0,14.0,8.0,11.8,2.4,0.0,359.6,"5,659.2",92.0
,low,38.0,12.1,7.7,11.8,1.0,0.0,340.0,"5,830.1",91.9
New York Giants,Giants,35.8,12.6,7.7,12.9,2.3,1.0,414.0,"5,974.0",92.0
,high,37.6,13.0,8.4,12.9,2.5,1.0,435.0,"5,964.1",94.0
,low,34.0,12.2,7.0,12.9,2.0,1.0,393.0,"5,984.0",93.9
Tennessee Titans,Titans,38.3,12.5,7.4,10.6,2.2,0.0,337.9,"5,712.8",91.5
,high,39.6,13.1,8.0,10.6,2.4,0.0,349.0,"5,687.9",94.0
,low,37.0,12.0,6.9,10.6,2.0,0.0,326.8,"5,737.6",89.0
Detroit Lions,Lions,35.2,11.7,10.0,15.5,2.1,0.0,388.4,"5,977.8",91.2
,high,38.4,12.4,10.1,15.5,3.2,0.0,424.0,"5,734.9",102.4
,low,32.0,11.0,10.0,15.5,1.0,0.0,352.8,"6,220.8",92.0
Cincinnati Bengals,Bengals,35.3,12.2,7.1,12.5,2.4,1.0,400.8,"6,081.4",90.0
,high,37.6,12.3,8.1,12.5,2.8,1.0,436.0,"5,665.1",95.0
,low,33.0,12.0,6.0,12.5,2.0,1.0,365.6,"6,497.6",83.0
Las Vegas Raiders,Raiders,35.1,11.6,7.7,12.8,2.3,1.0,398.3,"5,810.8",89.2
,high,37.2,13.3,8.3,12.8,2.5,1.0,425.0,"5,788.8",95.4
,low,33.0,10.0,7.0,12.8,2.0,1.0,371.7,"5,832.9",81.0
Miami Dolphins,Dolphins,32.4,13.0,8.2,14.5,2.0,1.0,403.0,"6,005.1",88.9
,high,36.9,14.0,9.4,14.5,3.0,1.0,437.0,"5,701.4",97.8
,low,28.0,12.1,7.0,14.5,1.0,1.0,369.0,"6,308.8",84.0
Atlanta Falcons,Falcons,34.8,11.8,7.4,13.6,2.3,0.0,394.1,"5,884.3",87.0
,high,36.6,13.0,8.9,13.6,2.6,0.0,407.0,"5,840.0",91.0
,low,33.0,10.7,6.0,13.6,2.0,0.0,381.1,"5,928.6",83.0
Los Angeles Chargers,Chargers,35.7,11.5,7.4,10.4,1.9,0.0,352.0,"5,515.4",85.0
,high,36.4,12.0,8.0,10.4,2.9,0.0,375.0,"5,476.8",89.1
,low,35.0,11.1,6.8,10.4,1.0,0.0,329.0,"5,554.1",87.0
